"PC1","PC2","group","Diet","name"
-6.26625212997101,3.29361743049689,"Control","Control","C01"
-10.3512683105841,8.00124004397973,"Control","Control","C02"
-8.95336227483316,5.44445983525505,"Control","Control","C03"
-10.9933530960861,8.48607006108563,"Control","Control","C04"
-8.69722235472496,8.29864612937084,"Control","Control","C05"
-8.77764805231573,6.67033313424797,"Control","Control","C06"
-6.06645909325704,1.22634447946296,"Control","Control","C07"
-7.29988905927267,5.19466744899518,"Control","Control","C08"
29.0451852233696,-191.452912178088,"Control","Control","C09"
-2.63313374761159,2.08539854565925,"Control","Control","C10"
-6.80843991366347,3.32230160252004,"Carcass","Carcass","Car1"
-6.30618711134933,3.44651094316111,"Carcass","Carcass","Car2"
-8.00332107332321,4.30652259143094,"VitE","VitE","VE1.1"
-9.04128284151669,6.63588773302539,"VitE","VitE","VE1.2"
-7.33383788224498,5.03578042217578,"VitE","VitE","VE2.01"
-3.55652420877156,4.57616609778833,"VitE","VitE","VE2.02"
-8.96427189580969,6.7002278868286,"VitE","VitE","VE2.03"
-8.62649561700416,6.85489369877068,"VitE","VitE","VE2.04"
-10.1632595783696,7.078415277148,"VitE","VitE","VE2.05"
-9.25649839149587,5.94960553439274,"VitE","VitE","VE2.06"
-7.50590236919306,2.13746517585504,"VitE","VitE","VE2.07"
-8.58306222936447,4.45587294932355,"VitE","VitE","VE2.08"
-9.28531112049238,5.94573428703769,"VitE","VitE","VE2.09"
-6.74486484386266,3.6121033200542,"VitE","VitE","VE2.10"
-11.896038276496,11.3508996937072,"VitE","VitE","VE2.11"
-8.69581432887615,4.82871512079104,"VitE","VitE","VE2.12"
-8.17565403972647,4.66747023797575,"VitE","VitE","VE2.13"
207.431670950422,33.5051694598563,"Wild","Wild","W1"
-7.16157272248234,4.00325200517392,"Wild","Wild","W2"
-9.62118992080881,6.73333585935503,"Wild","Wild","W3"
-10.708739690285,7.60580517316354,"Wild","Wild","W4"
