ID	Animal_ID	Name	Location	Diet	Cell_count	BirthDate	Age	Sample_year
NA001	9469	Doublemint	FCC	Carcass	167441.8605	09-06-19	2y8m	2021
NA002	9571	Rockbiter	FCC	Carcass	406250	05-06-19	2y8m	2021
NA003	9592	Arthur	FCC	Control	152212.3894	26-06-19	2y7m	2021
NA004	9051	Bannner	FCC	Control	226923.0769	14-06-19	2y7m	2021
NA005	8995	Boatman	LZG	Control	32258.06452	01-05-19	2y9m	2021
NA006	8593	Calo	FCC	Control	236734.6939	28-06-19	2y7m	2021
NA007	9519	Cushman	FCC	Control	473015.873	03-06-19	2y8m	2021
NA008	9227	Hawksbill	FCC	Control	239062.5	15-05-18	3y8m	2021
NA009	9430	Kibosh	FCC	Control	163636.3636	21-06-18	3y7m	2021
NA010	9247	Meusli	LZG	Control	62857.14286	04-06-19	2y8m	2021
NA011	9219	Pikachu	FCC	Control	410000	26-06-19	2y7m	2021
NA012	9476	Wilde	LZG	Control	238709.6774	12-06-18	3y8m	2021
NA013	9311	CaptainBarnacles	FCC	VitE_1stgen	354545.4545	13-06-17	4y7m	2021
NA014	9350	Dash	FCC	VitE_1stgen	343421.0526	16-04-16	5y9m	2021
NA015	9072	Tater	FCC	Var	196052.6316	19-06-17	4y7m	2021
NA016	9128	Woodford	FCC	Var	256000	22-06-17	4y7m	2021
NA017	9135	Balthasar	FCC	VuitE_2dgen	500000	05-06-18	3y8m	2021
NA018	9150	Bosler	FCC	VuitE_2dgen	271428.5714	07-06-18	3y8m	2021
NA019	9181	Cameron	FCC	VuitE_2dgen	255223.8806	03-06-18	3y8m	2021
NA020	9194	Flatback	FCC	VuitE_2dgen	237931.0345	10-06-19	2y8m	2021
NA021	9195	Heavenly	FCC	VuitE_2dgen	NA	16-05-18	3y8m	2021
NA022	9276	HopperStoppeer	FCC	VuitE_2dgen	535937.5	25-06-18	3y7m	2021
NA023	9291	Martini	FCC	VuitE_2dgen	230769.2308	09-05-19	2y9m	2021
NA024	9318	Myrcenary	FCC	VuitE_2dgen	305263.1579	01-07-18	3y7m	2021
NA025	9373	Oslo	FCC	VuitE_2dgen	437878.7879	28-05-18	3y8m	2021
NA026	9443	Statler	FCC	VuitE_2dgen	363636.3636	30-05-18	3y8m	2021
NA027	9452	Waldorf	FCC	VuitE_2dgen	75000	30-05-18	3y8m	2021
NA028	9568	Wellington	FCC	VuitE_2dgen	226923.0769	25-06-19	2y7m	2021
NA029	9576	WillFerret	FCC	VuitE_2dgen	116666.6667	20-05-18	3y8m	2021
NA030	13	RMA13	RMA	Wild	NA	NA	NA	2020
NA031	14	RMA14	RMA	Wild	NA	NA	NA	2020
NA032	15	RMA15	RMA	Wild	NA	NA	NA	2020
NA033	16	RMA16	RMA	Wild	NA	NA	NA	2020
