ID,Diet ,Seq_ID,Animal_ID,Name,Age,Location
C01,Control,NA-002,9571,Arthur,2y7m,FCC
C02,Control,NA-003,9592,Calo,2y7m,FCC
C03,Control,NA-007,9519,Bannner,2y9m,FCC
C04,Control,NA-009,9430,Cushman,2y7m,LZG
C05,Control,NA-014,9350,Boatman,2y8m,FCC
C06,Control,NA-016,9128,Hawksbill,3y8m,FCC
C07,Control,NA-022,9276,Wilde,3y7m,RMA
C08,Control,NA-023,9291,Kibosh,2y8m,FCC
C09,Control,NA-026,9443,Meusli,2y7m,FCC
C10,Control,NA-029,9576,Pikachu,3y8m,FCC
Car1,Carcass,NA-001,9469,Doublemint,2y8m,FCC
Car2,Carcass,NA-027,9452,Rockbiter,2y8m,FCC
Var1,Various,NA-004,9051,Tater,4y7m,FCC
Var2,Various,NA-015,9072,Woodford,4y7m,RMA
VE1.1,1st.gen.VitE,NA-005,8995,CaptainBarnacles,4y7m,FCC
VE1.2,1st.gen.VitE,NA-006,8593,Dash,5y9m,FCC
VE2.01,2d.gen.VitE,NA-008,9227,Balthasar,3y8m,FCC
VE2.02,2d.gen.VitE,NA-010,9247,Bosler,3y8m,LZG
VE2.03,2d.gen.VitE,NA-011,9219,Cameron,3y8m,LZG
VE2.04,2d.gen.VitE,NA-012,9476,Flatback,2y8m,FCC
VE2.05,2d.gen.VitE,NA-013,9311,HopperStoppeer,3y8m,FCC
VE2.06,2d.gen.VitE,NA-017,9135,Heavenly,3y7m,FCC
VE2.07,2d.gen.VitE,NA-018,9150,WillFerret,2y9m,RMA
VE2.08,2d.gen.VitE,NA-019,9181,Oslo,3y7m,FCC
VE2.09,2d.gen.VitE,NA-020,9194,Statler,3y8m,FCC
VE2.10,2d.gen.VitE,NA-021,9195,Waldorf,3y8m,FCC
VE2.11,2d.gen.VitE,NA-024,9318,Myrcenary,3y8m,FCC
VE2.12,2d.gen.VitE,NA-025,9373,Martini,2y7m,FCC
VE2.13,2d.gen.VitE,NA-028,9568,Wellington,3y8m,RMA
W1,Wild,NA-030,RMA13,RMA13,NA,FCC
W2,Wild,NA-031,RMA14,RMA14,NA,FCC
W3,Wild,NA-032,RMA15,RMA15,NA,FCC
W4,Wild,NA-033,RMA16,RMA16,NA,FCC
