ID,Diet ,Seq_ID,Animal_ID,Name,Age,Location,Sample_number,Cell_count
C01,Control,NA-002,9571,Arthur,2y7m,FCC,2,152212.3894
C02,Control,NA-003,9592,Calo,2y7m,FCC,16,236734.6939
C03,Control,NA-007,9519,Bannner,2y9m,FCC,7,226923.0769
C04,Control,NA-009,9430,Cushman,2y7m,LZG,26,473015.873
C05,Control,NA-014,9350,Boatman,2y8m,FCC,9,32258.06452
C06,Control,NA-016,9128,Hawksbill,3y8m,FCC,4,239062.5
C07,Control,NA-022,9276,Wilde,3y7m,RMA,31,238709.6774
C08,Control,NA-023,9291,Kibosh,2y8m,FCC,6,163636.3636
C10,Control,NA-029,9576,Pikachu,3y8m,FCC,13,410000
Car1,Carcass,NA-001,9469,Doublemint,2y8m,FCC,1,167441.8605
Car2,Carcass,NA-027,9452,Rockbiter,2y8m,FCC,21,406250
Var1,Various,NA-004,9051,Tater,4y7m,FCC,25,196052.6316
Var2,Various,NA-015,9072,Woodford,4y7m,RMA,33,256000
VE1.1,1st.gen.VitE,NA-005,8995,CaptainBarnacles,4y7m,FCC,23,354545.4545
VE1.2,1st.gen.VitE,NA-006,8593,Dash,5y9m,FCC,29,343421.0526
VE2.01,2d.gen.VitE,NA-008,9227,Balthasar,3y8m,FCC,3,500000
VE2.02,2d.gen.VitE,NA-010,9247,Bosler,3y8m,LZG,14,271428.5714
VE2.03,2d.gen.VitE,NA-011,9219,Cameron,3y8m,LZG,22,255223.8806
VE2.04,2d.gen.VitE,NA-012,9476,Flatback,2y8m,FCC,27,237931.0345
VE2.05,2d.gen.VitE,NA-013,9311,HopperStoppeer,3y8m,FCC,5,535937.5
VE2.06,2d.gen.VitE,NA-017,9135,Heavenly,3y7m,FCC,15,NA
VE2.07,2d.gen.VitE,NA-018,9150,WillFerret,2y9m,RMA,32,116666.6667
VE2.08,2d.gen.VitE,NA-019,9181,Oslo,3y7m,FCC,12,437878.7879
VE2.09,2d.gen.VitE,NA-020,9194,Statler,3y8m,FCC,24,429411.7647
VE2.10,2d.gen.VitE,NA-021,9195,Waldorf,3y8m,FCC,28,75000
VE2.11,2d.gen.VitE,NA-024,9318,Myrcenary,3y8m,FCC,11,305263.1579
VE2.12,2d.gen.VitE,NA-025,9373,Martini,2y7m,FCC,8,230769.2308
VE2.13,2d.gen.VitE,NA-028,9568,Wellington,3y8m,RMA,30,226923.0769
W2,Wild,NA-031,RMA14,RMA14,NA,FCC,18,NA
W3,Wild,NA-032,RMA15,RMA15,NA,FCC,19,NA
W4,Wild,NA-033,RMA16,RMA16,NA,FCC,20,NA
