Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0070373~negative regulation of ERK1 and ERK2 cascade	3	9.375	0.007333363418225045	EPHA4, ERRFI1, SEMA6A	30	86	19349	22.498837209302327	0.8524665022348197	1.0	1.0
GOTERM_BP_DIRECT	GO:1900246~positive regulation of RIG-I signaling pathway	2	6.25	0.016367842735433836	USP15, ZC3HAV1	30	11	19349	117.26666666666667	0.9863067421055324	1.0	1.0
UP_SEQ_FEATURE	INTRAMEM:Helical; Name=Pore helix	2	6.25	0.02039308481428333	KCNS1, KCNB2	31	14	20406	94.036866359447	0.9975106493063479	1.0	1.0
GOTERM_BP_DIRECT	GO:0032727~positive regulation of interferon-alpha production	2	6.25	0.03537828825417379	ZC3HAV1, HSPD1	30	24	19349	53.74722222222222	0.9999143300463961	1.0	1.0
INTERPRO	IPR003968:Potassium channel, voltage dependent, Kv	2	6.25	0.04301338489887283	KCNS1, KCNB2	32	27	19066	44.13425925925926	0.9962412393490533	1.0	1.0
GOTERM_MF_DIRECT	GO:0005251~delayed rectifier potassium channel activity	2	6.25	0.04978653705462923	KCNS1, KCNB2	30	33	18770	37.91919191919192	0.9986915614939311	1.0	1.0
GOTERM_BP_DIRECT	GO:0042100~B cell proliferation	2	6.25	0.051186531138160615	IFNA5, HSPD1	30	35	19349	36.85523809523809	0.999998833140191	1.0	1.0
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	9	28.125	0.05565616591350448	EPHA4, ABCC1, SEMA6A, IGSF3, KCNS1, KCNB2, OR2B11, OR2B6, OR13A1	31	2924	20406	2.026102113763735	0.9999999420740233	1.0	1.0
UP_KW_DISEASE	KW-0209~Deafness	3	9.375	0.06043335480042659	GPSM2, ABCC1, ERAL1	8	254	4280	6.318897637795276	0.4638628413467262	0.6043335480042659	0.6043335480042659
UP_SEQ_FEATURE	TRANSMEM:Helical; Voltage-sensor; Name=Segment S4	2	6.25	0.06412861847651087	KCNS1, KCNB2	31	45	20406	29.255913978494622	0.999999995793658	1.0	1.0
GOTERM_BP_DIRECT	GO:1904646~cellular response to beta-amyloid	2	6.25	0.06674449984892702	EPHA4, ABCC1	30	46	19349	28.042028985507248	0.9999999841457715	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=Segment S5	2	6.25	0.07918913246055603	KCNS1, KCNB2	31	56	20406	23.50921658986175	0.9999999999625375	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=Segment S6	2	6.25	0.07918913246055603	KCNS1, KCNB2	31	56	20406	23.50921658986175	0.9999999999625375	1.0	1.0
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	2	6.25	0.07929026561935873	DNAJA1, HSPD1	30	55	19349	23.453333333333333	0.9999999995302021	1.0	1.0
INTERPRO	IPR003131:Potassium channel tetramerisation-type BTB domain	2	6.25	0.07974002454271395	KCNS1, KCNB2	32	51	19066	23.36519607843137	0.9999739001629919	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=Segment S1	2	6.25	0.08190211937584062	KCNS1, KCNB2	31	58	20406	22.698553948832036	0.9999999999841257	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=Segment S2	2	6.25	0.08190211937584062	KCNS1, KCNB2	31	58	20406	22.698553948832036	0.9999999999841257	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=Segment S3	2	6.25	0.08190211937584062	KCNS1, KCNB2	31	58	20406	22.698553948832036	0.9999999999841257	1.0	1.0
UP_KW_DOMAIN	KW-0677~Repeat	14	43.75	0.08304512749692428	ZNF485, GPSM2, EPHA4, ABCC1, TNXB, ANKRD35, IGSF3, PRDM2, ZC3HAV1, CHD2, DNAJA1, ADAMTS5, LNX1, KPNA6	28	5003	14899	1.4890065960423746	0.6146746437546324	0.913496402466167	0.913496402466167
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	10	31.25	0.08964093971957764	EPHA4, ABCC1, SEMA6A, SAMD8, IGSF3, KCNS1, KCNB2, OR2B11, OR2B6, OR13A1	31	3792	20406	1.7359126173948551	0.9999999999986482	1.0	1.0
GOTERM_CC_DIRECT	GO:0030173~integral component of Golgi membrane	2	6.25	0.08966791221700098	SLC35A4, SAMD8	31	63	20164	20.64925755248336	0.999207154270321	1.0	1.0
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	11	34.375	0.08991217505750601	ADAMTS5, EPHA4, ABCC1, SEMA6A, TNXB, IGSF3, KCNB2, HHIPL2, OR2B11, OR2B6, OR13A1	31	4372	20406	1.6561845173095653	0.9999999999987605	1.0	1.0
UP_SEQ_FEATURE	MOTIF:Selectivity filter	2	6.25	0.0913368581172522	KCNS1, KCNB2	31	65	20406	20.25409429280397	0.9999999999992143	1.0	1.0
GOTERM_MF_DIRECT	GO:0005249~voltage-gated potassium channel activity	2	6.25	0.09717571381982311	KCNS1, KCNB2	30	66	18770	18.95959595959596	0.9999983079222532	1.0	1.0
