Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	3.7037037037037033	0.0054269652462735655	ECM2, THBS1	52	2	18770	360.9615384615385	0.5881122379963262	0.6625631630398576	0.6625631630398576
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	3.7037037037037033	0.008129609362452241	DROSHA, MRPL44	52	3	18770	240.64102564102566	0.7356660670768044	0.6625631630398576	0.6625631630398576
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	21	38.88888888888889	0.008934328807130982	PIGR, RSC1A1, BRPF1, SLC22A5, ANXA2, DAPK1, SERPINC1, WWP1, SORBS1, PHF7, MRPL44, PANX1, ADCY9, RASA1, SLITRK3, EXOC4, PCDH1, TAS2R3, CCR5, TRPM3, OR52B6	50	4959	20164	1.7077797943133695	0.6593628721755704	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Polar residues	27	50.0	0.013113384878106973	FHOD3, CREBZF, PIGR, RSC1A1, FEN1, CHD7, GPATCH2L, ZNF608, MECOM, MYO18A, ZSWIM8, DROSHA, PCDH1, TRPM3, NFE2, BRPF1, BORA, ZNF281, SPRY4, WWP1, SORBS1, KIAA0232, LRRC37B, DCLK1, FAM135B, ADCY9, ZFAT	54	6819	20406	1.4962604487461504	0.9931919329543485	1.0	1.0
GOTERM_BP_DIRECT	GO:0043584~nose development	2	3.7037037037037033	0.014794383018780853	RDH10, CHD7	49	6	19349	131.62585034013603	0.9986636064280181	1.0	1.0
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	3	5.555555555555555	0.015538765590349954	PANX1, ANXA2, TRPM3	52	70	18770	15.46978021978022	0.9221291417616764	0.8442729304090142	0.8442729304090142
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	23	42.592592592592595	0.017262959804172667	FHOD3, PIGR, FEN1, ECM2, BRPF1, SERPINC1, ZNF281, CHD7, FCF1, KIAA0232, SORBS1, GPATCH2L, THBS1, PDGFRL, ZNF608, ADCY9, MECOM, ZFAT, MYO18A, ZSWIM8, DROSHA, PCDH1, TRPM3	54	5560	20406	1.5632094324540369	0.9986154489944769	1.0	1.0
UP_SEQ_FEATURE	MUTAGEN:R->A: No effect.	2	3.7037037037037033	0.020593797384672423	WWP1, CHST2	54	8	20406	94.47222222222221	0.9996163304475875	1.0	1.0
UP_SEQ_FEATURE	NP_BIND:ATP	8	14.814814814814813	0.024719713654031476	ADCY9, SLC22A5, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1	54	1117	20406	2.706455784342982	0.999922208794569	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0255~Endonuclease	3	5.555555555555555	0.026731186826395928	FEN1, DROSHA, MRPL44	34	90	11639	11.410784313725491	0.6428532695482061	1.0	1.0
GOTERM_BP_DIRECT	GO:0030422~production of siRNA involved in RNA interference	2	3.7037037037037033	0.026959143397570617	DROSHA, MRPL44	49	11	19349	71.79591836734694	0.9999946272359286	1.0	1.0
GOTERM_BP_DIRECT	GO:0031053~primary miRNA processing	2	3.7037037037037033	0.026959143397570617	DROSHA, MRPL44	49	11	19349	71.79591836734694	0.9999946272359286	1.0	1.0
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	3.7037037037037033	0.03213162898432866	ANXA2, PTX3	52	12	18770	60.160256410256416	0.995124080383851	1.0	1.0
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	3	5.555555555555555	0.034132522955940076	PANX1, ANXA2, TRPM3	49	117	19349	10.125065410779698	0.999999798910716	1.0	1.0
GOTERM_BP_DIRECT	GO:0031054~pre-miRNA processing	2	3.7037037037037033	0.034187273844904435	DROSHA, MRPL44	49	14	19349	56.411078717201164	0.9999998039088038	1.0	1.0
GOTERM_MF_DIRECT	GO:0002020~protease binding	3	5.555555555555555	0.03483233579587954	PANX1, ANXA2, SERPINC1	52	108	18770	10.026709401709402	0.9969079220355361	1.0	1.0
GOTERM_BP_DIRECT	GO:0016075~rRNA catabolic process	2	3.7037037037037033	0.03897679157117821	DROSHA, MRPL44	49	16	19349	49.35969387755102	0.9999999784304596	1.0	1.0
UP_KW_DOMAIN	KW-0677~Repeat	21	38.88888888888889	0.04114293255213197	PIGR, ZNF583, ECM2, BRPF1, ANXA2, DAPK1, ZNF281, CHD7, WWP1, SORBS1, THBS1, LRRC37B, PDGFRL, DCLK1, ADCY9, MECOM, RASA1, ZFAT, SLITRK3, DROSHA, PCDH1	43	5003	14899	1.4543785356692962	0.4894221403568496	0.6582869208341116	0.6582869208341116
UP_SEQ_FEATURE	ZN_FING:C2HC pre-PHD-type	2	3.7037037037037033	0.04575164308423056	BRPF1, PHF7	54	18	20406	41.98765432098765	0.9999999794875719	1.0	1.0
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	3	5.555555555555555	0.04966115284428203	CHD7, WWP1, DCLK1	49	144	19349	8.226615646258503	0.9999999998493233	1.0	1.0
UP_KW_DISEASE	KW-0956~Kallmann syndrome	2	3.7037037037037033	0.05027496426897497	CHD7, SPRY4	12	20	4280	35.666666666666664	0.37139044305443947	0.3246289636225347	0.3246289636225347
UP_SEQ_FEATURE	DOMAIN:DRBM	2	3.7037037037037033	0.050706583568661256	DROSHA, MRPL44	54	20	20406	37.788888888888884	0.9999999971333329	1.0	1.0
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	2	3.7037037037037033	0.053206232116217195	RASA1, THBS1	49	22	19349	35.89795918367347	0.9999999999713323	1.0	1.0
