Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	3.7037037037037033	0.0054269652462735655	ECM2, THBS1	52	2	18770	360.9615384615385	0.5881122379963262	0.6625631630398576	0.6625631630398576
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	3.7037037037037033	0.008129609362452241	DROSHA, MRPL44	52	3	18770	240.64102564102566	0.7356660670768044	0.6625631630398576	0.6625631630398576
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	21	38.88888888888889	0.008934328807130982	PIGR, RSC1A1, BRPF1, SLC22A5, ANXA2, DAPK1, SERPINC1, WWP1, SORBS1, PHF7, MRPL44, PANX1, ADCY9, RASA1, SLITRK3, EXOC4, PCDH1, TAS2R3, CCR5, TRPM3, OR52B6	50	4959	20164	1.7077797943133695	0.6593628721755704	1.0	1.0
GOTERM_BP_DIRECT	GO:0043584~nose development	2	3.7037037037037033	0.014794383018780853	RDH10, CHD7	49	6	19349	131.62585034013603	0.9986833775463859	1.0	1.0
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	3	5.555555555555555	0.015538765590349954	PANX1, ANXA2, TRPM3	52	70	18770	15.46978021978022	0.9221291417616764	0.8442729304090142	0.8442729304090142
GOTERM_BP_DIRECT	GO:0031053~primary miRNA processing	2	3.7037037037037033	0.026959143397570617	DROSHA, MRPL44	49	11	19349	71.79591836734694	0.9999947720810456	1.0	1.0
GOTERM_BP_DIRECT	GO:0030422~production of siRNA involved in RNA interference	2	3.7037037037037033	0.026959143397570617	DROSHA, MRPL44	49	11	19349	71.79591836734694	0.9999947720810456	1.0	1.0
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	3.7037037037037033	0.03213162898432866	ANXA2, PTX3	52	12	18770	60.160256410256416	0.995124080383851	1.0	1.0
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	3	5.555555555555555	0.034132522955940076	PANX1, ANXA2, TRPM3	49	117	19349	10.125065410779698	0.9999998057744006	1.0	1.0
GOTERM_BP_DIRECT	GO:0031054~pre-miRNA processing	2	3.7037037037037033	0.034187273844904435	DROSHA, MRPL44	49	14	19349	56.411078717201164	0.9999998106126273	1.0	1.0
GOTERM_MF_DIRECT	GO:0002020~protease binding	3	5.555555555555555	0.03483233579587954	PANX1, ANXA2, SERPINC1	52	108	18770	10.026709401709402	0.9969079220355361	1.0	1.0
GOTERM_BP_DIRECT	GO:0016075~rRNA catabolic process	2	3.7037037037037033	0.03897679157117821	DROSHA, MRPL44	49	16	19349	49.35969387755102	0.9999999792711711	1.0	1.0
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	3	5.555555555555555	0.04966115284428203	CHD7, WWP1, DCLK1	49	144	19349	8.226615646258503	0.9999999998568061	1.0	1.0
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	2	3.7037037037037033	0.053206232116217195	RASA1, THBS1	49	22	19349	35.89795918367347	0.9999999999728576	1.0	1.0
GOTERM_BP_DIRECT	GO:0040037~negative regulation of fibroblast growth factor receptor signaling pathway	2	3.7037037037037033	0.053206232116217195	SPRY4, THBS1	49	22	19349	35.89795918367347	0.9999999999728576	1.0	1.0
GOTERM_BP_DIRECT	GO:0046580~negative regulation of Ras protein signal transduction	2	3.7037037037037033	0.06257769780633057	RASA1, SPRY4	49	26	19349	30.37519623233909	0.9999999999996755	1.0	1.0
GOTERM_CC_DIRECT	GO:0009986~cell surface	5	9.25925925925926	0.06298876032909395	ANXA2, SLITRK3, MYO18A, CCR5, THBS1	50	619	20164	3.2575121163166396	0.9995932045880715	1.0	1.0
GOTERM_BP_DIRECT	GO:0006812~cation transport	2	3.7037037037037033	0.0695466320902239	PANX1, TRPM3	49	29	19349	27.232934553131592	0.9999999999999882	1.0	1.0
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	4	7.4074074074074066	0.07807031430128004	PTX3, CCR5, THBS1, CHST2	49	403	19349	3.9193801590114954	0.9999999999999998	1.0	1.0
GOTERM_MF_DIRECT	GO:0008201~heparin binding	3	5.555555555555555	0.07952755219134645	ECM2, SERPINC1, THBS1	52	172	18770	6.2958407871198565	0.9999986393095666	1.0	1.0
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	3	5.555555555555555	0.08212999880918107	RPL32, CHD7, FCF1	49	192	19349	6.169961734693877	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	6	11.11111111111111	0.09211525224611944	RSC1A1, ZNF583, BRPF1, ZFAT, ZNF281, CHD7	49	973	19349	2.435010592109403	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001701~in utero embryonic development	3	5.555555555555555	0.09561994723987939	ADCY9, RDH10, CHD7	49	210	19349	5.641107871720116	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	4	7.4074074074074066	0.0980184810288899	ADCY9, DAPK1, RASA1, DCLK1	49	445	19349	3.5494611327677137	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0001580~detection of chemical stimulus involved in sensory perception of bitter taste	2	3.7037037037037033	0.0991636813403932	PIGR, TAS2R3	49	42	19349	18.803692905733723	1.0	1.0	1.0
