Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	32	37.2093023255814	0.003463829535374662	GPSM2, PIGR, RSC1A1, ERRFI1, USP15, SLC22A5, SERPINC1, PHF7, HSPD1, PANX1, SLITRK3, TAS2R3, CCR5, OR2B6, PCDH1, TRPM3, OR52B6, EPHA4, ABCC1, BRPF1, ANXA2, DAPK1, KCNB2, WWP1, SORBS1, MRPL44, ADCY9, KCNS1, RASA1, EXOC4, OR2B11, OR13A1	81	4959	20164	1.6063772315704827	0.42999747144677036	0.5611403847306953	0.5611403847306953
GOTERM_BP_DIRECT	GO:0070373~negative regulation of ERK1 and ERK2 cascade	4	4.651162790697675	0.005072877605398604	EPHA4, ERRFI1, SEMA6A, SPRY4	79	86	19349	11.391816308507506	0.9619997255353488	1.0	1.0
UP_SEQ_FEATURE	NP_BIND:ATP	12	13.953488372093023	0.005980501280110559	EPHA4, ABCC1, ADCY9, SLC22A5, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, CHD2, DCLK1, HSPD1	85	1117	20406	2.57909315919743	0.9721543436716463	1.0	1.0
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	5.813953488372093	0.0065514822088518125	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	82	172	18770	6.654140669313669	0.8104264974605974	1.0	1.0
UP_KW_DOMAIN	KW-0677~Repeat	35	40.69767441860465	0.006556715344000929	GPSM2, PIGR, TNXB, ECM2, ANKRD35, IGSF3, CHD7, PRDM2, ZC3HAV1, CHD2, THBS1, ADAMTS5, MECOM, SLITRK3, KPNA6, DROSHA, PCDH1, ZNF485, ZNF583, EPHA4, ABCC1, BRPF1, ANXA2, DAPK1, ZNF281, WWP1, SORBS1, LRRC37B, PDGFRL, DCLK1, DNAJA1, ADCY9, ZFAT, RASA1, LNX1	71	5003	14899	1.468034672154454	0.10580480206415555	0.11146416084801579	0.11146416084801579
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	2.3255813953488373	0.008612400098467692	ECM2, THBS1	82	2	18770	228.90243902439028	0.8879011702144644	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Polar residues	40	46.51162790697674	0.008880848114852147	FHOD3, CREBZF, PIGR, RSC1A1, ERRFI1, USP15, FEN1, TNXB, ANKRD35, CHD7, PRDM2, GPATCH2L, ZC3HAV1, CHD2, ZNF608, MECOM, MYO18A, ZSWIM8, DROSHA, PCDH1, TRPM3, NFE2, SEMA6A, BRPF1, BORA, KCNB2, ZNF281, SPRY4, WWP1, SORBS1, KIAA0232, LARP4, LRRC37B, DCLK1, FAM135B, ADCY9, KCNS1, ZFAT, LNX1, HHIPL2	85	6819	20406	1.408245128231671	0.9951343218503343	1.0	1.0
GOTERM_CC_DIRECT	GO:0009986~cell surface	8	9.30232558139535	0.011419049970416225	EPHA4, IGSF3, ANXA2, SLITRK3, MYO18A, CCR5, THBS1, HSPD1	81	619	20164	3.2172959173497673	0.8444097245294762	0.9249430476037143	0.9249430476037143
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	2.3255813953488373	0.012891086990154196	DROSHA, MRPL44	82	3	18770	152.60162601626018	0.962471296852589	1.0	1.0
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	28	32.55813953488372	0.014525825889528401	PIGR, TNXB, ECM2, SLC22A5, IGSF3, SERPINC1, THBS1, PANX1, ADAMTS5, SLITRK3, SOSTDC1, TAS2R3, OR2B6, PCDH1, OR52B6, EPHA4, ABCC1, SEMA6A, KCNK12, KCNB2, LRRC37B, PDGFRL, ADCY9, HHIPL2, OR2B11, PTX3, OR13A1, CHST2	85	4372	20406	1.5375060545718744	0.9998392271548057	1.0	1.0
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	5	5.813953488372093	0.01892271269374118	ADAMTS5, ECM2, TNXB, PTX3, THBS1	81	256	20164	4.86207561728395	0.9547183862720213	1.0	1.0
UP_SEQ_FEATURE	ZN_FING:C2H2-type 7; atypical	2	2.3255813953488373	0.020415411874765615	MECOM, PRDM2	85	5	20406	96.02823529411764	0.999995512128629	1.0	1.0
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	3	3.488372093023256	0.02075485545502126	DNAJA1, THBS1, HSPD1	79	55	19349	13.359493670886076	0.9999986094472937	1.0	1.0
GOTERM_BP_DIRECT	GO:0043584~nose development	2	2.3255813953488373	0.02394790542816069	RDH10, CHD7	79	6	19349	81.64135021097046	0.9999998297302233	1.0	1.0
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	20	23.25581395348837	0.02690634892214138	PIGR, EPHA4, ABCC1, SEMA6A, SLC22A5, IGSF3, KCNB2, LRRC37B, PANX1, ADCY9, KCNS1, SLITRK3, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, OR52B6	85	2924	20406	1.642069686971916	0.9999999152149077	1.0	1.0
UP_SEQ_FEATURE	CARBOHYD:O-linked (Fuc...) serine	2	2.3255813953488373	0.028465773294684995	ADAMTS5, THBS1	85	7	20406	68.59159663865546	0.9999999674546606	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	5	5.813953488372093	0.0296874948181676	ADAMTS5, ECM2, TNXB, ANXA2, THBS1	76	272	17441	4.218508126934984	0.4847051200515563	0.6531248859996872	0.6531248859996872
GOTERM_MF_DIRECT	GO:0005524~ATP binding	13	15.11627906976744	0.03205451428490486	EPHA4, ABCC1, SLC22A5, DAPK1, CHD7, KIAA0232, CHD2, DCLK1, HSPD1, DNAJA1, ADCY9, GRK7, MYO18A	82	1540	18770	1.932293316439658	0.9997368051576021	1.0	1.0
UP_SEQ_FEATURE	MUTAGEN:R->A: No effect.	2	2.3255813953488373	0.03246640445550873	WWP1, CHST2	85	8	20406	60.01764705882353	0.999999997229015	1.0	1.0
GOTERM_MF_DIRECT	GO:0005178~integrin binding	4	4.651162790697675	0.03249365907308481	ADAMTS5, ECM2, TNXB, THBS1	82	161	18770	5.6870171186183915	0.9997653522121052	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Chromo 2	2	2.3255813953488373	0.03645075694149199	CHD7, CHD2	85	9	20406	53.34901960784313	0.9999999997641005	1.0	1.0
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	3	3.488372093023256	0.03676898713450264	PANX1, ANXA2, TRPM3	82	70	18770	9.810104529616725	0.9999234745981931	1.0	1.0
GOTERM_MF_DIRECT	GO:0003725~double-stranded RNA binding	3	3.488372093023256	0.03968347691360063	DROSHA, HSPD1, MRPL44	82	73	18770	9.406949548947544	0.9999644496778778	1.0	1.0
GOTERM_BP_DIRECT	GO:0030422~production of siRNA involved in RNA interference	2	2.3255813953488373	0.04347131987158903	DROSHA, MRPL44	79	11	19349	44.53164556962025	0.999999999999612	1.0	1.0
GOTERM_BP_DIRECT	GO:0031053~primary miRNA processing	2	2.3255813953488373	0.04347131987158903	DROSHA, MRPL44	79	11	19349	44.53164556962025	0.999999999999612	1.0	1.0
GOTERM_BP_DIRECT	GO:1900246~positive regulation of RIG-I signaling pathway	2	2.3255813953488373	0.04347131987158903	USP15, ZC3HAV1	79	11	19349	44.53164556962025	0.999999999999612	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Acidic residues	9	10.465116279069768	0.048167137264048795	USP15, ECM2, IGSF3, MECOM, CHD7, MYO18A, DROSHA, PRDM2, CHD2	85	979	20406	2.206981914318332	0.9999999999998412	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Chromo 1	2	2.3255813953488373	0.048306795500544945	CHD7, CHD2	85	12	20406	40.01176470588236	0.9999999999998546	1.0	1.0
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	2.3255813953488373	0.050587652475168006	ANXA2, PTX3	82	12	18770	38.150406504065046	0.9999980226500864	1.0	1.0
UP_SEQ_FEATURE	MOTIF:Cell attachment site	3	3.488372093023256	0.0510430888583888	ECM2, TNXB, THBS1	85	88	20406	8.18422459893048	0.9999999999999739	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0631~Potassium channel	3	3.488372093023256	0.05166955312795382	KCNS1, KCNB2, KCNK12	57	76	11639	8.060249307479223	0.9173761125774947	1.0	1.0
UP_SEQ_FEATURE	MUTAGEN:S->A: No effect.	2	2.3255813953488373	0.05222668513135184	ABCC1, CHST2	85	13	20406	36.93393665158371	0.9999999999999877	1.0	1.0
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	23	26.744186046511626	0.05324240280034748	PIGR, EPHA4, ABCC1, SAMD8, SEMA6A, SLC22A5, IGSF3, KCNB2, KCNK12, LRRC37B, PANX1, ADCY9, KCNS1, SLITRK3, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, CHST2, OR52B6	85	3792	20406	1.4561243484735666	0.9999999999999934	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	31	36.04651162790697	0.05495360503528744	FHOD3, PIGR, FEN1, ECM2, ANKRD35, SERPINC1, CHD7, FCF1, PRDM2, GPATCH2L, CHD2, THBS1, ADAMTS5, ZNF608, MECOM, MYO18A, ZSWIM8, KPNA6, DROSHA, PCDH1, TRPM3, BRPF1, KCNB2, ZNF281, SORBS1, KIAA0232, LARP4, PDGFRL, DNAJA1, ADCY9, ZFAT	85	5560	20406	1.3385230639018197	0.9999999999999978	1.0	1.0
GOTERM_BP_DIRECT	GO:0031054~pre-miRNA processing	2	2.3255813953488373	0.0549997921112788	DROSHA, MRPL44	79	14	19349	34.98915009041591	0.9999999999999999	1.0	1.0
UP_SEQ_FEATURE	INTRAMEM:Helical; Name=Pore helix	2	2.3255813953488373	0.05613062072027226	KCNS1, KCNB2	85	14	20406	34.29579831932773	0.999999999999999	1.0	1.0
GOTERM_MF_DIRECT	GO:0030165~PDZ domain binding	3	3.488372093023256	0.05772553332371474	SLC22A5, LNX1, EXOC4	82	90	18770	7.630081300813008	0.9999997069862437	1.0	1.0
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	11	12.790697674418606	0.059647391147207844	PIGR, EPHA4, ABCC1, ADCY9, SEMA6A, SAMD8, KCNK12, CCR5, PCDH1, DCLK1, TRPM3	81	1447	20164	1.8924125692151492	0.9999528915438708	1.0	1.0
GOTERM_BP_DIRECT	GO:0016075~rRNA catabolic process	2	2.3255813953488373	0.06260912613473318	DROSHA, MRPL44	79	16	19349	30.615506329113924	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	6	6.976744186046512	0.0639888211191457	DNAJA1, DAPK1, RASA1, MYO18A, THBS1, HSPD1	79	533	19349	2.757118768850785	1.0	1.0	1.0
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	8	9.30232558139535	0.06503137765462047	ZNF485, ZNF583, ZNF608, BRPF1, MECOM, ZFAT, ZNF281, PRDM2	84	817	19066	2.222533076878242	0.999999908359867	1.0	1.0
