Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0060236~regulation of mitotic spindle organization	2	8.695652173913043	0.01656967087667007	GPSM2, BORA	20	17	19349	113.81764705882352	0.9545466806484328	1.0	1.0
GOTERM_CC_DIRECT	GO:0005829~cytosol	12	52.17391304347826	0.016977517604487347	GPSM2, ERRFI1, USP15, SLC22A5, SAMD8, BORA, MECOM, PPP2R5E, KPNA6, LARP4, PHF7, HSPD1	23	5404	20164	1.946770508158208	0.6481395255337519	1.0	1.0
GOTERM_MF_DIRECT	GO:0042910~xenobiotic transporter activity	2	8.695652173913043	0.023246178049003332	ABCC1, SLC22A5	22	21	18770	81.25541125541126	0.8904023580811831	1.0	1.0
UP_SEQ_FEATURE	REGION:Disordered	20	86.95652173913044	0.03197486023099755	CREBZF, ERRFI1, USP15, ABCC1, SAMD8, TNXB, ECM2, SLC22A5, BORA, KCNB2, FCF1, LARP4, PHF7, CHD2, LRRC37B, MECOM, PPP2R5E, KPNA6, HHIPL2, TRPM3	23	13517	20406	1.3127430514231677	0.9996157924021687	1.0	1.0
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	3	13.043478260869565	0.06361819567593024	ABCC1, CHD2, HSPD1	22	370	18770	6.917690417690417	0.9979270978671385	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=12	2	8.695652173913043	0.06478549646345025	ABCC1, SLC22A5	23	62	20406	28.61991584852735	0.999999908689973	1.0	1.0
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	10	43.47826086956522	0.06807706258632862	GPSM2, ERRFI1, USP15, ABCC1, SLC22A5, KCNB2, OR2B6, PHF7, TRPM3, HSPD1	23	4959	20164	1.7678879858316454	0.986442485727492	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=11	2	8.695652173913043	0.06983177114320065	ABCC1, SLC22A5	23	67	20406	26.484101232965607	0.9999999753462284	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=10	2	8.695652173913043	0.07485204819510045	ABCC1, SLC22A5	23	72	20406	24.644927536231883	0.999999993345608	1.0	1.0
GOTERM_CC_DIRECT	GO:0016328~lateral plasma membrane	2	8.695652173913043	0.07875048549384434	GPSM2, ABCC1	23	75	20164	23.37855072463768	0.9932855013357464	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Polar residues	12	52.17391304347826	0.07990251486826218	CREBZF, ERRFI1, USP15, BORA, TNXB, MECOM, KCNB2, HHIPL2, LARP4, CHD2, LRRC37B, TRPM3	23	6819	20406	1.5613152508655481	0.999999998230746	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=9	2	8.695652173913043	0.08481511917743288	ABCC1, SLC22A5	23	82	20406	21.639448568398727	0.9999999995156732	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Acidic residues	4	17.391304347826086	0.08608128061009927	USP15, ECM2, MECOM, CHD2	23	979	20406	3.624994448638806	0.9999999996535563	1.0	1.0
UP_SEQ_FEATURE	MOTIF:Cell attachment site	2	8.695652173913043	0.09074371304634983	ECM2, TNXB	23	88	20406	20.16403162055336	0.9999999998995182	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=8	2	8.695652173913043	0.09074371304634983	ABCC1, SLC22A5	23	88	20406	20.16403162055336	0.9999999998995182	1.0	1.0
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	2	8.695652173913043	0.09648238081224003	ABCC1, HSPD1	20	103	19349	18.785436893203887	0.9999999929485925	1.0	1.0
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	2	8.695652173913043	0.0991557856561727	ECM2, TNXB	20	106	19349	18.25377358490566	0.9999999959243834	1.0	1.0
