Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0009986~cell surface	8	12.307692307692308	0.002123459975602868	EPHA4, IGSF3, ANXA2, SLITRK3, MYO18A, CCR5, THBS1, HSPD1	60	619	20164	4.343349488422186	0.2636894827105958	0.30577823648681296	0.30577823648681296
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	3.076923076923077	0.00971846594695173	DROSHA, MRPL44	62	3	18770	201.82795698924733	0.8622751858868019	1.0	1.0
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	24	36.92307692307693	0.010035832080137731	PIGR, RSC1A1, EPHA4, BRPF1, ANXA2, DAPK1, SERPINC1, WWP1, SORBS1, PHF7, HSPD1, MRPL44, PANX1, ADCY9, KCNS1, RASA1, SLITRK3, EXOC4, OR2B11, PCDH1, TAS2R3, CCR5, OR13A1, OR52B6	60	4959	20164	1.626456946965114	0.7660061383319006	0.7225799097699166	0.7225799097699166
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	3	4.615384615384616	0.01223783916713093	DNAJA1, THBS1, HSPD1	60	55	19349	17.59	0.9987364489885023	1.0	1.0
GOTERM_BP_DIRECT	GO:0043584~nose development	2	3.076923076923077	0.018158944215466398	RDH10, CHD7	60	6	19349	107.49444444444444	0.9999514349309179	1.0	1.0
UP_KW_DOMAIN	KW-0677~Repeat	27	41.53846153846154	0.018498462559874716	PIGR, ANKRD35, IGSF3, CHD7, PRDM2, ZC3HAV1, THBS1, ADAMTS5, SLITRK3, DROSHA, PCDH1, ZNF485, ZNF583, EPHA4, BRPF1, ANXA2, DAPK1, ZNF281, WWP1, SORBS1, PDGFRL, DCLK1, DNAJA1, ADCY9, ZFAT, RASA1, LNX1	55	5003	14899	1.4619337488416042	0.2582530869763663	0.29597540095799546	0.29597540095799546
UP_SEQ_FEATURE	NP_BIND:ATP	9	13.846153846153847	0.021069509528875357	EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1, HSPD1	64	1117	20406	2.569018576544315	0.9999110158333152	1.0	1.0
UP_SEQ_FEATURE	CARBOHYD:O-linked (Fuc...) serine	2	3.076923076923077	0.02141527364538482	ADAMTS5, THBS1	64	7	20406	91.09821428571429	0.9999237721486918	1.0	1.0
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	6	9.230769230769232	0.023022422797160706	DNAJA1, DAPK1, RASA1, MYO18A, THBS1, HSPD1	60	533	19349	3.630206378986867	0.9999967080656015	1.0	1.0
GOTERM_MF_DIRECT	GO:0003725~double-stranded RNA binding	3	4.615384615384616	0.023551747659764807	DROSHA, HSPD1, MRPL44	62	73	18770	12.441449403446752	0.9920787414831796	1.0	1.0
UP_SEQ_FEATURE	MUTAGEN:R->A: No effect.	2	3.076923076923077	0.024437521684763756	WWP1, CHST2	64	8	20406	79.7109375	0.9999803334274683	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	8	12.307692307692308	0.02791167875388226	ZNF485, RSC1A1, ZNF583, BRPF1, ZFAT, ZNF281, CHD7, PRDM2	60	973	19349	2.651455978074683	0.9999997829782674	1.0	1.0
GOTERM_BP_DIRECT	GO:0070373~negative regulation of ERK1 and ERK2 cascade	3	4.615384615384616	0.028364704364412553	EPHA4, SEMA6A, SPRY4	60	86	19349	11.249418604651163	0.9999998314304325	1.0	1.0
GOTERM_BP_DIRECT	GO:0031053~primary miRNA processing	2	3.076923076923077	0.033043457653577066	DROSHA, MRPL44	60	11	19349	58.63333333333333	0.9999999876811482	1.0	1.0
GOTERM_BP_DIRECT	GO:0030422~production of siRNA involved in RNA interference	2	3.076923076923077	0.033043457653577066	DROSHA, MRPL44	60	11	19349	58.63333333333333	0.9999999876811482	1.0	1.0
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	3.076923076923077	0.03831986002691073	ANXA2, PTX3	62	12	18770	50.45698924731183	0.9996408950320637	1.0	1.0
GOTERM_BP_DIRECT	GO:0031054~pre-miRNA processing	2	3.076923076923077	0.0418674547500396	DROSHA, MRPL44	60	14	19349	46.06904761904762	0.9999999999143611	1.0	1.0
GOTERM_BP_DIRECT	GO:0016075~rRNA catabolic process	2	3.076923076923077	0.04770609228368703	DROSHA, MRPL44	60	16	19349	40.31041666666667	0.9999999999968819	1.0	1.0
GOTERM_MF_DIRECT	GO:0002020~protease binding	3	4.615384615384616	0.048187028880348676	PANX1, ANXA2, SERPINC1	62	108	18770	8.409498207885305	0.9999557433381276	1.0	1.0
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	7	10.76923076923077	0.0490747419445231	ZNF485, ZNF583, ZNF608, BRPF1, ZFAT, ZNF281, PRDM2	63	817	19066	2.592955256357949	0.9999529040185603	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0255~Endonuclease	3	4.615384615384616	0.04913690702225381	FEN1, DROSHA, MRPL44	47	90	11639	8.254609929078015	0.8964119658459327	1.0	1.0
UP_SEQ_FEATURE	CARBOHYD:C-linked (Man) tryptophan	2	3.076923076923077	0.05415926944561405	ADAMTS5, THBS1	64	18	20406	35.42708333333333	0.9999999999743971	1.0	1.0
UP_SEQ_FEATURE	ZN_FING:C2HC pre-PHD-type	2	3.076923076923077	0.05415926944561405	BRPF1, PHF7	64	18	20406	35.42708333333333	0.9999999999743971	1.0	1.0
UP_KW_DISEASE	KW-0956~Kallmann syndrome	2	3.076923076923077	0.05472436710703719	CHD7, SPRY4	13	20	4280	32.92307692307693	0.5188726807791457	0.5098786724696158	0.5098786724696158
GOTERM_BP_DIRECT	GO:0043032~positive regulation of macrophage activation	2	3.076923076923077	0.05927863369337524	THBS1, HSPD1	60	20	19349	32.248333333333335	0.9999999999999959	1.0	1.0
GOTERM_BP_DIRECT	GO:0033198~response to ATP	2	3.076923076923077	0.05927863369337524	PANX1, HSPD1	60	20	19349	32.248333333333335	0.9999999999999959	1.0	1.0
