Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0009986~cell surface	8	12.307692307692308	0.002123459975602868	EPHA4, IGSF3, ANXA2, SLITRK3, MYO18A, CCR5, THBS1, HSPD1	60	619	20164	4.343349488422186	0.2636894827105958	0.30577823648681296	0.30577823648681296
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	3.076923076923077	0.00971846594695173	DROSHA, MRPL44	62	3	18770	201.82795698924733	0.8622751858868019	1.0	1.0
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	24	36.92307692307693	0.010035832080137731	PIGR, RSC1A1, EPHA4, BRPF1, ANXA2, DAPK1, SERPINC1, WWP1, SORBS1, PHF7, HSPD1, MRPL44, PANX1, ADCY9, KCNS1, RASA1, SLITRK3, EXOC4, OR2B11, PCDH1, TAS2R3, CCR5, OR13A1, OR52B6	60	4959	20164	1.626456946965114	0.7660061383319006	0.7225799097699166	0.7225799097699166
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	3	4.615384615384616	0.01223783916713093	DNAJA1, THBS1, HSPD1	60	55	19349	17.59	0.9987519121225605	1.0	1.0
GOTERM_BP_DIRECT	GO:0043584~nose development	2	3.076923076923077	0.018158944215466398	RDH10, CHD7	60	6	19349	107.49444444444444	0.9999523168212981	1.0	1.0
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	6	9.230769230769232	0.023022422797160706	DNAJA1, DAPK1, RASA1, MYO18A, THBS1, HSPD1	60	533	19349	3.630206378986867	0.999996783853907	1.0	1.0
GOTERM_MF_DIRECT	GO:0003725~double-stranded RNA binding	3	4.615384615384616	0.023551747659764807	DROSHA, HSPD1, MRPL44	62	73	18770	12.441449403446752	0.9920787414831796	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	8	12.307692307692308	0.02791167875388226	ZNF485, RSC1A1, ZNF583, BRPF1, ZFAT, ZNF281, CHD7, PRDM2	60	973	19349	2.651455978074683	0.9999997890357083	1.0	1.0
GOTERM_BP_DIRECT	GO:0070373~negative regulation of ERK1 and ERK2 cascade	3	4.615384615384616	0.028364704364412553	EPHA4, SEMA6A, SPRY4	60	86	19349	11.249418604651163	0.9999998362118584	1.0	1.0
GOTERM_BP_DIRECT	GO:0030422~production of siRNA involved in RNA interference	2	3.076923076923077	0.033043457653577066	DROSHA, MRPL44	60	11	19349	58.63333333333333	0.9999999880882056	1.0	1.0
GOTERM_BP_DIRECT	GO:0031053~primary miRNA processing	2	3.076923076923077	0.033043457653577066	DROSHA, MRPL44	60	11	19349	58.63333333333333	0.9999999880882056	1.0	1.0
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	3.076923076923077	0.03831986002691073	ANXA2, PTX3	62	12	18770	50.45698924731183	0.9996408950320637	1.0	1.0
GOTERM_BP_DIRECT	GO:0031054~pre-miRNA processing	2	3.076923076923077	0.0418674547500396	DROSHA, MRPL44	60	14	19349	46.06904761904762	0.9999999999179466	1.0	1.0
GOTERM_BP_DIRECT	GO:0016075~rRNA catabolic process	2	3.076923076923077	0.04770609228368703	DROSHA, MRPL44	60	16	19349	40.31041666666667	0.9999999999970307	1.0	1.0
GOTERM_MF_DIRECT	GO:0002020~protease binding	3	4.615384615384616	0.048187028880348676	PANX1, ANXA2, SERPINC1	62	108	18770	8.409498207885305	0.9999557433381276	1.0	1.0
GOTERM_BP_DIRECT	GO:0043032~positive regulation of macrophage activation	2	3.076923076923077	0.05927863369337524	THBS1, HSPD1	60	20	19349	32.248333333333335	0.9999999999999961	1.0	1.0
GOTERM_BP_DIRECT	GO:0033198~response to ATP	2	3.076923076923077	0.05927863369337524	PANX1, HSPD1	60	20	19349	32.248333333333335	0.9999999999999961	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	10	15.384615384615385	0.059762550000755324	DNAJA1, EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1, HSPD1	62	1540	18770	1.9658567239212401	0.9999963083399935	1.0	1.0
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	2	3.076923076923077	0.06501294832814504	RASA1, THBS1	60	22	19349	29.316666666666666	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0040037~negative regulation of fibroblast growth factor receptor signaling pathway	2	3.076923076923077	0.06501294832814504	SPRY4, THBS1	60	22	19349	29.316666666666666	0.9999999999999999	1.0	1.0
GOTERM_BP_DIRECT	GO:0032727~positive regulation of interferon-alpha production	2	3.076923076923077	0.07071289744398826	ZC3HAV1, HSPD1	60	24	19349	26.87361111111111	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	3	4.615384615384616	0.07148842045641975	CHD7, WWP1, DCLK1	60	144	19349	6.718402777777778	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0046580~negative regulation of Ras protein signal transduction	2	3.076923076923077	0.07637868346513685	RASA1, SPRY4	60	26	19349	24.806410256410256	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1903671~negative regulation of sprouting angiogenesis	2	3.076923076923077	0.08201050763829423	SEMA6A, THBS1	60	28	19349	23.03452380952381	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005912~adherens junction	3	4.615384615384616	0.0867862447712128	EPHA4, ANXA2, SORBS1	60	168	20164	6.001190476190476	0.999997898971256	1.0	1.0
GOTERM_BP_DIRECT	GO:0007628~adult walking behavior	2	3.076923076923077	0.08760857004926398	EPHA4, CHD7	60	30	19349	21.49888888888889	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0050840~extracellular matrix binding	2	3.076923076923077	0.096058644580187	ADAMTS5, THBS1	62	31	18770	19.531737773152965	0.9999999987512602	1.0	1.0
