Annotation Cluster 1	Enrichment Score: 0.7933318772390247
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0255~Endonuclease	3	4.615384615384616	0.04913690702225381	FEN1, DROSHA, MRPL44	47	90	11639	8.254609929078015	0.8964119658459327	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0540~Nuclease	3	4.615384615384616	0.11839820476462906	FEN1, DROSHA, MRPL44	47	150	11639	4.952765957446808	0.9965544308963036	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	7	10.76923076923077	0.7165581419413505	ADAMTS5, FEN1, CHD7, DROSHA, BAAT, PADI1, MRPL44	47	1763	11639	0.9832490556474094	1.0	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.6820674427012957
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	NP_BIND:ATP	9	13.846153846153847	0.021069509528875357	EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1, HSPD1	64	1117	20406	2.569018576544315	0.9999110158333152	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	10	15.384615384615385	0.059762550000755324	DNAJA1, EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1, HSPD1	62	1540	18770	1.9658567239212401	0.9999963083399935	1.0	1.0
UP_SEQ_FEATURE	BINDING:ATP	6	9.230769230769232	0.06755978706110563	EPHA4, ADCY9, DAPK1, GRK7, DCLK1, HSPD1	64	709	20406	2.698254583921016	0.9999999999999506	1.0	1.0
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	3	4.615384615384616	0.10350534942912322	EPHA4, DAPK1, GRK7	60	179	19349	5.4047486033519565	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	4	6.153846153846154	0.12327135154314832	EPHA4, DAPK1, GRK7, DCLK1	62	376	18770	3.2206588881262865	0.9999999999974787	1.0	1.0
INTERPRO	IPR017441:Protein kinase, ATP binding site	4	6.153846153846154	0.13289058706289925	EPHA4, DAPK1, GRK7, DCLK1	63	389	19066	3.1119272044721913	0.9999999999994522	1.0	1.0
SMART	SM00220:S_TKc	4	6.153846153846154	0.16725765161377848	EPHA4, DAPK1, GRK7, DCLK1	41	365	10317	2.757634480454394	0.9999931892912663	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Protein kinase	4	6.153846153846154	0.20609788277327687	EPHA4, DAPK1, GRK7, DCLK1	64	507	20406	2.5155325443786984	1.0	1.0	1.0
INTERPRO	IPR000719:Protein kinase, catalytic domain	4	6.153846153846154	0.22272742260259143	EPHA4, DAPK1, GRK7, DCLK1	63	501	19066	2.4162468713366914	1.0	1.0	1.0
INTERPRO	IPR011009:Protein kinase-like domain	4	6.153846153846154	0.2618218004029226	EPHA4, DAPK1, GRK7, DCLK1	63	546	19066	2.217105645677074	1.0	1.0	1.0
UP_SEQ_FEATURE	ACT_SITE:Proton acceptor	5	7.6923076923076925	0.269395263046285	EPHA4, DAPK1, GRK7, RDH10, DCLK1	64	853	20406	1.868955158264947	1.0	1.0	1.0
INTERPRO	IPR008271:Serine/threonine-protein kinase, active site	3	4.615384615384616	0.27447219784049615	DAPK1, GRK7, DCLK1	63	316	19066	2.8731163351416513	1.0	1.0	1.0
UP_KW_LIGAND	KW-0067~ATP-binding	9	13.846153846153847	0.3552296870952149	EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1, HSPD1	33	1431	6804	1.2967409948542024	0.994837496049992	1.0	1.0
GOTERM_MF_DIRECT	GO:0004712~protein serine/threonine/tyrosine kinase activity	3	4.615384615384616	0.40908492434929433	EPHA4, DAPK1, DCLK1	62	430	18770	2.112153038259565	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	3	4.615384615384616	0.45804837268789944	DAPK1, GRK7, DCLK1	60	505	19349	1.915742574257426	1.0	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0723~Serine/threonine-protein kinase	3	4.615384615384616	0.46461912582434667	DAPK1, GRK7, DCLK1	47	394	11639	1.8855707959822874	0.9999999999993836	1.0	1.0
UP_KW_LIGAND	KW-0547~Nucleotide-binding	10	15.384615384615385	0.5166605135866348	EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, ERAL1, DCLK1, HSPD1	33	1846	6804	1.1169112577563283	0.9998374349001041	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	9	13.846153846153847	0.5606932547305503	EPHA4, DAPK1, GRK7, LNX1, WWP1, PRDM2, BAAT, DCLK1, CHST2	47	2024	11639	1.101158439155664	0.9999999999999999	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0418~Kinase	4	6.153846153846154	0.5717925620414656	EPHA4, DAPK1, GRK7, DCLK1	47	745	11639	1.3296015993145793	1.0	1.0	1.0

Annotation Cluster 3	Enrichment Score: 0.6225507806640005
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	20	30.76923076923077	0.06599390488873544	PIGR, EPHA4, SEMA6A, IGSF3, SERPINC1, KCNK12, THBS1, PDGFRL, PANX1, ADAMTS5, ADCY9, SLITRK3, OR2B11, SOSTDC1, PTX3, PCDH1, TAS2R3, OR13A1, CHST2, OR52B6	64	4372	20406	1.4585715919487647	0.999999999999897	1.0	1.0
GOTERM_CC_DIRECT	GO:0005615~extracellular space	10	15.384615384615385	0.10254593164270043	IFNA5, PIGR, ADAMTS5, SEMA6A, ANXA2, SERPINC1, SOSTDC1, PTX3, THBS1, HSPD1	60	1911	20164	1.7585906157334728	0.9999998286984809	1.0	1.0
