Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005829~cytosol	12	66.66666666666666	5.479117825527118E-4	DNAJA1, GPSM2, ERRFI1, USP15, SLC22A5, SAMD8, PPP2R5E, KPNA6, ERAL1, LARP4, PADI1, HSPD1	17	5404	20164	2.633865981625811	0.027564139613197813	0.0279435009101883	0.0279435009101883
UP_KW_PTM	KW-0597~Phosphoprotein	13	72.22222222222221	0.010621817792953507	GPSM2, ERRFI1, USP15, ABCC1, SLC22A5, ERAL1, LARP4, CHD2, HSPD1, DNAJA1, PPP2R5E, LNX1, KPNA6	14	8305	14062	1.5722542358303948	0.08188172405983762	0.09559636013658157	0.09559636013658157
GOTERM_MF_DIRECT	GO:0042910~xenobiotic transporter activity	2	11.11111111111111	0.017758517198823244	ABCC1, SLC22A5	17	21	18770	105.15406162464986	0.7858237244550856	0.8332876865575964	0.8332876865575964
GOTERM_MF_DIRECT	GO:0003723~RNA binding	5	27.77777777777778	0.030803191916733214	FCF1, ERAL1, LARP4, CHD2, HSPD1	17	1455	18770	3.7942187184152014	0.93216874297174	0.8332876865575964	0.8332876865575964
GOTERM_MF_DIRECT	GO:0005524~ATP binding	5	27.77777777777778	0.036971832032851024	DNAJA1, ABCC1, SLC22A5, CHD2, HSPD1	17	1540	18770	3.5847975553857907	0.9608300377566226	0.8332876865575964	0.8332876865575964
UP_KW_LIGAND	KW-0547~Nucleotide-binding	6	33.33333333333333	0.03835252557264875	GPSM2, ABCC1, SLC22A5, ERAL1, CHD2, HSPD1	9	1846	6804	2.457204767063922	0.2394789003519684	0.2684676790085413	0.2684676790085413
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	9	50.0	0.0384983813621876	GPSM2, ERRFI1, USP15, SLC22A5, PPP2R5E, KPNA6, LNX1, PADI1, HSPD1	17	5361	20164	1.9912439514138058	0.8649635525278481	0.9817087247357837	0.9817087247357837
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	3	16.666666666666664	0.038757566816632394	ABCC1, CHD2, HSPD1	17	370	18770	8.952305246422894	0.966608776526839	0.8332876865575964	0.8332876865575964
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	2	11.11111111111111	0.04454043807064117	DNAJA1, HSPD1	17	55	19349	41.38823529411764	0.9995673936590307	1.0	1.0
UP_KW_DISEASE	KW-0209~Deafness	3	16.666666666666664	0.04489443608495351	GPSM2, ABCC1, ERAL1	7	254	4280	7.221597300337458	0.30751399591665685	0.3591554886796281	0.3591554886796281
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=12	2	11.11111111111111	0.050434173389352514	ABCC1, SLC22A5	18	62	20406	36.56989247311827	0.9998408751696707	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=11	2	11.11111111111111	0.0543953523774829	ABCC1, SLC22A5	18	67	20406	33.840796019900495	0.9999214905243173	1.0	1.0
GOTERM_CC_DIRECT	GO:0016328~lateral plasma membrane	2	11.11111111111111	0.05790125380391014	GPSM2, ABCC1	17	75	20164	31.629803921568627	0.9522561193047402	0.9843213146664723	0.9843213146664723
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=10	2	11.11111111111111	0.058340975237285285	ABCC1, SLC22A5	18	72	20406	31.490740740740737	0.9999612714947157	1.0	1.0
GOTERM_BP_DIRECT	GO:0030509~BMP signaling pathway	2	11.11111111111111	0.06183023882615777	USP15, SOSTDC1	17	77	19349	29.56302521008403	0.9999805981459955	1.0	1.0
UP_SEQ_FEATURE	NP_BIND:ATP	4	22.22222222222222	0.06265943707655161	ABCC1, SLC22A5, CHD2, HSPD1	18	1117	20406	4.0596836765144735	0.9999821900578139	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=9	2	11.11111111111111	0.06618578151898871	ABCC1, SLC22A5	18	82	20406	27.650406504065042	0.999990580637481	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=8	2	11.11111111111111	0.07086309721480634	ABCC1, SLC22A5	18	88	20406	25.765151515151516	0.9999959684607658	1.0	1.0
GOTERM_MF_DIRECT	GO:0030165~PDZ domain binding	2	11.11111111111111	0.07404857640803313	SLC22A5, LNX1	17	90	18770	24.535947712418302	0.9986616012564898	1.0	1.0
UP_KW_PTM	KW-0007~Acetylation	7	38.88888888888889	0.07447683668593208	DNAJA1, ERRFI1, USP15, PPP2R5E, KPNA6, LARP4, HSPD1	14	3455	14062	2.0350217076700434	0.4616083206204197	0.33514576508669436	0.33514576508669436
GOTERM_BP_DIRECT	GO:0050729~positive regulation of inflammatory response	2	11.11111111111111	0.08188541384334812	ABCC1, HSPD1	17	103	19349	22.10051399200457	0.9999995074267651	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0690~Ribosome biogenesis	2	11.11111111111111	0.08906944541750911	FCF1, ERAL1	13	86	11111	19.876565295169947	0.8590092374515959	1.0	1.0
GOTERM_MF_DIRECT	GO:0051087~chaperone binding	2	11.11111111111111	0.08979023154250836	DNAJA1, HSPD1	17	110	18770	20.074866310160427	0.9996936849612618	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	4	22.22222222222222	0.09150883039875425	DNAJA1, USP15, ERAL1, HSPD1	16	1274	17441	3.422488226059655	0.616992653872622	0.7482070925662322	0.7482070925662322
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	4	22.22222222222222	0.09752541553824771	DNAJA1, USP15, ERAL1, HSPD1	17	1416	20164	3.350614822200067	0.9946643911235717	1.0	1.0
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	2	11.11111111111111	0.09831187639708412	ABCC1, PPP2R5E	8	119	8112	17.04201680672269	0.916564208945734	1.0	1.0
