Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	7.246376811594203	0.002984493193729894	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	66	172	18770	8.267265680056378	0.4516163197556947	0.5998831319397087	0.5998831319397087
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	27	39.130434782608695	0.003367525318910744	PIGR, RSC1A1, SERPINC1, PHF7, HSPD1, PANX1, SLITRK3, TAS2R3, CCR5, OR2B6, PCDH1, TRPM3, OR52B6, EPHA4, BRPF1, ANXA2, DAPK1, KCNB2, WWP1, SORBS1, MRPL44, ADCY9, KCNS1, RASA1, EXOC4, OR2B11, OR13A1	65	4959	20164	1.6890129833868492	0.3888961679313212	0.24753579809590637	0.24753579809590637
GOTERM_CC_DIRECT	GO:0009986~cell surface	8	11.594202898550725	0.003390901343779539	EPHA4, IGSF3, ANXA2, SLITRK3, MYO18A, CCR5, THBS1, HSPD1	65	619	20164	4.00924568162048	0.39098529655773473	0.24753579809590637	0.24753579809590637
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	25	36.231884057971016	0.004785761201677459	PIGR, TNXB, ECM2, IGSF3, SERPINC1, THBS1, PANX1, ADAMTS5, SLITRK3, TAS2R3, OR2B6, PCDH1, OR52B6, EPHA4, SEMA6A, KCNK12, KCNB2, LRRC37B, PDGFRL, ADCY9, HHIPL2, OR2B11, PTX3, OR13A1, CHST2	68	4372	20406	1.7159665787632528	0.8950957577945251	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Polar residues	34	49.275362318840585	0.005194859403725677	FHOD3, CREBZF, PIGR, RSC1A1, FEN1, TNXB, CHD7, PRDM2, GPATCH2L, ZC3HAV1, ZNF608, MECOM, MYO18A, ZSWIM8, DROSHA, PCDH1, TRPM3, NFE2, SEMA6A, BRPF1, BORA, KCNB2, ZNF281, SPRY4, WWP1, SORBS1, KIAA0232, LRRC37B, DCLK1, FAM135B, ADCY9, KCNS1, ZFAT, HHIPL2	68	6819	20406	1.4962604487461504	0.9135291409667712	1.0	1.0
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	2.898550724637681	0.006914137343342974	ECM2, THBS1	66	2	18770	284.39393939393943	0.7520599508469943	0.6936867231006804	0.6936867231006804
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	5	7.246376811594203	0.008887901573768514	ADAMTS5, ECM2, TNXB, PTX3, THBS1	65	256	20164	6.058894230769231	0.7284026520600242	0.4325445432567343	0.4325445432567343
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	2.898550724637681	0.01035353318060717	DROSHA, MRPL44	66	3	18770	189.5959595959596	0.8765486681289154	0.6936867231006804	0.6936867231006804
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	18	26.08695652173913	0.011848682190578913	PIGR, EPHA4, SEMA6A, IGSF3, KCNB2, LRRC37B, PANX1, ADCY9, KCNS1, SLITRK3, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, OR52B6	68	2924	20406	1.8473283978434054	0.9963100247320692	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	5	7.246376811594203	0.014251931688406574	ADAMTS5, ECM2, TNXB, ANXA2, THBS1	61	272	17441	5.25584619093539	0.2602505880430259	0.29929056545653804	0.29929056545653804
