Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	7.246376811594203	0.002984493193729894	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	66	172	18770	8.267265680056378	0.4516163197556947	0.5998831319397087	0.5998831319397087
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	27	39.130434782608695	0.003367525318910744	PIGR, RSC1A1, SERPINC1, PHF7, HSPD1, PANX1, SLITRK3, TAS2R3, CCR5, OR2B6, PCDH1, TRPM3, OR52B6, EPHA4, BRPF1, ANXA2, DAPK1, KCNB2, WWP1, SORBS1, MRPL44, ADCY9, KCNS1, RASA1, EXOC4, OR2B11, OR13A1	65	4959	20164	1.6890129833868492	0.3888961679313212	0.24753579809590637	0.24753579809590637
GOTERM_CC_DIRECT	GO:0009986~cell surface	8	11.594202898550725	0.003390901343779539	EPHA4, IGSF3, ANXA2, SLITRK3, MYO18A, CCR5, THBS1, HSPD1	65	619	20164	4.00924568162048	0.39098529655773473	0.24753579809590637	0.24753579809590637
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	2.898550724637681	0.006914137343342974	ECM2, THBS1	66	2	18770	284.39393939393943	0.7520599508469943	0.6936867231006804	0.6936867231006804
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	5	7.246376811594203	0.008887901573768514	ADAMTS5, ECM2, TNXB, PTX3, THBS1	65	256	20164	6.058894230769231	0.7284026520600242	0.4325445432567343	0.4325445432567343
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	2.898550724637681	0.01035353318060717	DROSHA, MRPL44	66	3	18770	189.5959595959596	0.8765486681289154	0.6936867231006804	0.6936867231006804
GOTERM_MF_DIRECT	GO:0005178~integrin binding	4	5.797101449275362	0.018357080954646637	ADAMTS5, ECM2, TNXB, THBS1	66	161	18770	7.065687935253153	0.975864228864826	0.8879091412328061	0.8879091412328061
GOTERM_BP_DIRECT	GO:0043584~nose development	2	2.898550724637681	0.019074888132823067	RDH10, CHD7	63	6	19349	102.37566137566137	0.9999707158810951	1.0	1.0
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	3	4.3478260869565215	0.024517983457417805	PANX1, ANXA2, TRPM3	66	70	18770	12.188311688311689	0.9931911660222738	0.8879091412328061	0.8879091412328061
GOTERM_MF_DIRECT	GO:0003725~double-stranded RNA binding	3	4.3478260869565215	0.026504750484561374	DROSHA, HSPD1, MRPL44	66	73	18770	11.687422166874223	0.9954803880029675	0.8879091412328061	0.8879091412328061
