Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	32	37.2093023255814	0.003463829535374662	GPSM2, PIGR, RSC1A1, ERRFI1, USP15, SLC22A5, SERPINC1, PHF7, HSPD1, PANX1, SLITRK3, TAS2R3, CCR5, OR2B6, PCDH1, TRPM3, OR52B6, EPHA4, ABCC1, BRPF1, ANXA2, DAPK1, KCNB2, WWP1, SORBS1, MRPL44, ADCY9, KCNS1, RASA1, EXOC4, OR2B11, OR13A1	81	4959	20164	1.6063772315704827	0.42999747144677036	0.5611403847306953	0.5611403847306953
GOTERM_BP_DIRECT	GO:0070373~negative regulation of ERK1 and ERK2 cascade	4	4.651162790697675	0.005072877605398604	EPHA4, ERRFI1, SEMA6A, SPRY4	79	86	19349	11.391816308507506	0.9621924962766796	1.0	1.0
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	5.813953488372093	0.0065514822088518125	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	82	172	18770	6.654140669313669	0.8104264974605974	1.0	1.0
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	2.3255813953488373	0.008612400098467692	ECM2, THBS1	82	2	18770	228.90243902439028	0.8879011702144644	1.0	1.0
GOTERM_CC_DIRECT	GO:0009986~cell surface	8	9.30232558139535	0.011419049970416225	EPHA4, IGSF3, ANXA2, SLITRK3, MYO18A, CCR5, THBS1, HSPD1	81	619	20164	3.2172959173497673	0.8444097245294762	0.9249430476037143	0.9249430476037143
GOTERM_MF_DIRECT	GO:0004525~ribonuclease III activity	2	2.3255813953488373	0.012891086990154196	DROSHA, MRPL44	82	3	18770	152.60162601626018	0.962471296852589	1.0	1.0
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	5	5.813953488372093	0.01892271269374118	ADAMTS5, ECM2, TNXB, PTX3, THBS1	81	256	20164	4.86207561728395	0.9547183862720213	1.0	1.0
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	3	3.488372093023256	0.02075485545502126	DNAJA1, THBS1, HSPD1	79	55	19349	13.359493670886076	0.999998638308014	1.0	1.0
GOTERM_BP_DIRECT	GO:0043584~nose development	2	2.3255813953488373	0.02394790542816069	RDH10, CHD7	79	6	19349	81.64135021097046	0.9999998338078279	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	13	15.11627906976744	0.03205451428490486	EPHA4, ABCC1, SLC22A5, DAPK1, CHD7, KIAA0232, CHD2, DCLK1, HSPD1, DNAJA1, ADCY9, GRK7, MYO18A	82	1540	18770	1.932293316439658	0.9997368051576021	1.0	1.0
