Annotation Cluster 1	Enrichment Score: 0.9587949767817111
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005524~ATP binding	5	27.77777777777778	0.036971832032851024	DNAJA1, ABCC1, SLC22A5, CHD2, HSPD1	17	1540	18770	3.5847975553857907	0.9608300377566226	0.8332876865575964	0.8332876865575964
UP_KW_LIGAND	KW-0547~Nucleotide-binding	6	33.33333333333333	0.03835252557264875	GPSM2, ABCC1, SLC22A5, ERAL1, CHD2, HSPD1	9	1846	6804	2.457204767063922	0.2394789003519684	0.2684676790085413	0.2684676790085413
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	3	16.666666666666664	0.038757566816632394	ABCC1, CHD2, HSPD1	17	370	18770	8.952305246422894	0.966608776526839	0.8332876865575964	0.8332876865575964
UP_SEQ_FEATURE	NP_BIND:ATP	4	22.22222222222222	0.06265943707655161	ABCC1, SLC22A5, CHD2, HSPD1	18	1117	20406	4.0596836765144735	0.9999821900578139	1.0	1.0
UP_KW_LIGAND	KW-0067~ATP-binding	4	22.22222222222222	0.22613454826716467	ABCC1, SLC22A5, CHD2, HSPD1	9	1431	6804	2.1132075471698113	0.8337895941842564	0.7914709189350764	0.7914709189350764
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	4	22.22222222222222	0.2542402456926566	DNAJA1, ABCC1, SLC22A5, HSPD1	17	2217	20164	2.1400408607285946	0.9999996819128918	1.0	1.0
UP_KW_DISEASE	KW-0225~Disease variant	4	22.22222222222222	0.9813321161991441	SLC22A5, ERAL1, CHD2, HSPD1	7	3400	4280	0.719327731092437	0.9999999999999852	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.025679721763044103
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	3	16.666666666666664	0.8519944400244104	ABCC1, SLC22A5, SAMD8	18	3792	20406	0.8968881856540084	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	3	16.666666666666664	0.95334334195071	ABCC1, SLC22A5, SAMD8	17	5401	20164	0.6588322423951992	1.0	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical	3	16.666666666666664	0.9589937877740267	ABCC1, SLC22A5, SAMD8	18	5323	20406	0.6389254179973698	1.0	1.0	1.0
UP_KW_DOMAIN	KW-1133~Transmembrane helix	3	16.666666666666664	0.9765595306387906	ABCC1, SLC22A5, SAMD8	13	5792	14899	0.5936171908202295	0.9999999999999979	1.0	1.0
UP_KW_DOMAIN	KW-0812~Transmembrane	3	16.666666666666664	0.9781394520281407	ABCC1, SLC22A5, SAMD8	13	5857	14899	0.5870293271693305	0.9999999999999989	1.0	1.0

