Annotation Cluster 1	Enrichment Score: 1.4040984802386225
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	7.246376811594203	0.002984493193729894	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	66	172	18770	8.267265680056378	0.4516163197556947	0.5998831319397087	0.5998831319397087
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	5	7.246376811594203	0.008887901573768514	ADAMTS5, ECM2, TNXB, PTX3, THBS1	65	256	20164	6.058894230769231	0.7284026520600242	0.4325445432567343	0.4325445432567343
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	5	7.246376811594203	0.014251931688406574	ADAMTS5, ECM2, TNXB, ANXA2, THBS1	61	272	17441	5.25584619093539	0.2602505880430259	0.29929056545653804	0.29929056545653804
GOTERM_MF_DIRECT	GO:0005178~integrin binding	4	5.797101449275362	0.018357080954646637	ADAMTS5, ECM2, TNXB, THBS1	66	161	18770	7.065687935253153	0.975864228864826	0.8879091412328061	0.8879091412328061
UP_SEQ_FEATURE	MOTIF:Cell attachment site	3	4.3478260869565215	0.03392188756146139	ECM2, TNXB, THBS1	68	88	20406	10.230280748663102	0.9999999096861998	1.0	1.0
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	4	5.797101449275362	0.050824462014803555	ADAMTS5, ECM2, PTX3, THBS1	63	260	19349	4.725030525030524	0.9999999999994448	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	11	15.942028985507244	0.18408081414146837	IFNA5, PIGR, ADAMTS5, ECM2, TNXB, ANXA2, SERPINC1, HHIPL2, PTX3, THBS1, PDGFRL	61	2111	17441	1.489861847776285	0.9860494909881012	1.0	1.0
GOTERM_CC_DIRECT	GO:0005576~extracellular region	10	14.492753623188406	0.22563927923371052	IFNA5, ADAMTS5, ECM2, TNXB, ANXA2, SERPINC1, HHIPL2, PTX3, THBS1, PDGFRL	65	2117	20164	1.4653537298790016	0.9999999999999999	1.0	1.0
UP_KW_PTM	KW-1015~Disulfide bond	17	24.637681159420293	0.46429121100303444	IFNA5, PIGR, TNXB, SEMA6A, IGSF3, SERPINC1, THBS1, PDGFRL, ADAMTS5, HHIPL2, OR2B11, PTX3, OR2B6, CCR5, OR13A1, CHST2, OR52B6	58	3769	14062	1.093558155918061	0.9997007225252289	1.0	1.0

Annotation Cluster 2	Enrichment Score: 1.058379741858144
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	27	39.130434782608695	0.003367525318910744	PIGR, RSC1A1, SERPINC1, PHF7, HSPD1, PANX1, SLITRK3, TAS2R3, CCR5, OR2B6, PCDH1, TRPM3, OR52B6, EPHA4, BRPF1, ANXA2, DAPK1, KCNB2, WWP1, SORBS1, MRPL44, ADCY9, KCNS1, RASA1, EXOC4, OR2B11, OR13A1	65	4959	20164	1.6890129833868492	0.3888961679313212	0.24753579809590637	0.24753579809590637
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	25	36.231884057971016	0.004785761201677459	PIGR, TNXB, ECM2, IGSF3, SERPINC1, THBS1, PANX1, ADAMTS5, SLITRK3, TAS2R3, OR2B6, PCDH1, OR52B6, EPHA4, SEMA6A, KCNK12, KCNB2, LRRC37B, PDGFRL, ADCY9, HHIPL2, OR2B11, PTX3, OR13A1, CHST2	68	4372	20406	1.7159665787632528	0.8950957577945251	1.0	1.0
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	18	26.08695652173913	0.011848682190578913	PIGR, EPHA4, SEMA6A, IGSF3, KCNB2, LRRC37B, PANX1, ADCY9, KCNS1, SLITRK3, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, OR52B6	68	2924	20406	1.8473283978434054	0.9963100247320692	1.0	1.0
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	20	28.985507246376812	0.033224618223029925	PIGR, EPHA4, SEMA6A, IGSF3, KCNB2, KCNK12, LRRC37B, PANX1, ADCY9, KCNS1, SLITRK3, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, CHST2, OR52B6	68	3792	20406	1.5827438570364856	0.9999998732278205	1.0	1.0
UP_KW_PTM	KW-0325~Glycoprotein	27	39.130434782608695	0.03909967235141781	PIGR, TNXB, ECM2, IGSF3, SERPINC1, THBS1, PANX1, ADAMTS5, SLITRK3, TAS2R3, CCR5, OR2B6, PCDH1, OR52B6, EPHA4, SEMA6A, KCNK12, KCNB2, SORBS1, LRRC37B, PDGFRL, ADCY9, HHIPL2, OR2B11, PTX3, OR13A1, CHST2	58	4722	14062	1.3862989089953117	0.40458682658997824	0.5473954129198493	0.5473954129198493
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	18	26.08695652173913	0.1395711325509825	PIGR, RSC1A1, EPHA4, SEMA6A, KCNB2, SPRY4, WWP1, SORBS1, PANX1, ADCY9, KCNS1, OR2B11, OR2B6, PCDH1, CCR5, OR13A1, TRPM3, OR52B6	61	3790	17441	1.3579220554522253	0.9574387451473543	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical	20	28.985507246376812	0.38016626072918985	PIGR, EPHA4, SLC35A4, SEMA6A, IGSF3, KCNK12, LRRC37B, PANX1, ADCY9, KCNS1, RDH10, SLITRK3, OR2B11, OR2B6, PCDH1, CCR5, OR13A1, TRPM3, CHST2, OR52B6	68	5323	20406	1.1275154435247705	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	19	27.536231884057973	0.45122620257619195	EPHA4, SLC35A4, SEMA6A, IGSF3, KCNB2, LRRC37B, PANX1, ADCY9, KCNS1, RDH10, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, CHST2, OR52B6	65	5401	20164	1.0912964835571761	1.0	1.0	1.0
UP_KW_DOMAIN	KW-1133~Transmembrane helix	22	31.88405797101449	0.7071387625778535	PIGR, EPHA4, SLC35A4, SEMA6A, IGSF3, KCNB2, KCNK12, LRRC37B, PANX1, ADCY9, KCNS1, RDH10, SLITRK3, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, CHST2, OR52B6	59	5792	14899	0.9591780597434216	0.9999999970718705	1.0	1.0
UP_KW_DOMAIN	KW-0812~Transmembrane	22	31.88405797101449	0.7301101827355377	PIGR, EPHA4, SLC35A4, SEMA6A, IGSF3, KCNB2, KCNK12, LRRC37B, PANX1, ADCY9, KCNS1, RDH10, SLITRK3, OR2B11, OR2B6, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3, CHST2, OR52B6	59	5857	14899	0.9485332631097657	0.9999999992075279	1.0	1.0
