Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0030165~PDZ domain binding	3	9.67741935483871	0.007925453215943514	SLC22A5, LNX1, EXOC4	29	90	18770	21.57471264367816	0.6301391107782461	0.7672008630907432	0.7672008630907432
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	6.451612903225806	0.017759926116003428	ANXA2, PTX3	29	12	18770	107.87356321839081	0.8935351888727537	0.7672008630907432	0.7672008630907432
GOTERM_MF_DIRECT	GO:0003723~RNA binding	7	22.58064516129032	0.01841282071417784	RPL32, ANXA2, FCF1, CHD2, LARP4, HSPD1, MRPL44	29	1455	18770	3.113876051664889	0.90202626422234	0.7672008630907432	0.7672008630907432
GOTERM_CC_DIRECT	GO:0005829~cytosol	14	45.16129032258064	0.027710867914655993	GPSM2, ERRFI1, USP15, SAMD8, SLC22A5, ANXA2, RPL32, LARP4, BAAT, HSPD1, DNAJA1, PPP2R5E, KPNA6, EXOC4	30	5404	20164	1.7412780656303972	0.9224852669080315	1.0	1.0
GOTERM_MF_DIRECT	GO:0042910~xenobiotic transporter activity	2	6.451612903225806	0.03087986908654393	ABCC1, SLC22A5	29	21	18770	61.64203612479474	0.9801755168630848	0.9649959089544978	0.9649959089544978
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	13	41.935483870967744	0.03458323071883844	GPSM2, ERRFI1, USP15, ABCC1, SLC22A5, ANXA2, HSPD1, MRPL44, SLITRK3, EXOC4, OR2B11, OR2B6, OR52B6	30	4959	20164	1.7619950258788735	0.9593509612725835	1.0	1.0
GOTERM_MF_DIRECT	GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	2	6.451612903225806	0.055202398777302604	RDH10, IDH3B	29	38	18770	34.06533575317604	0.9991733003660814	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	8	25.806451612903224	0.06085625905679693	DNAJA1, ABCC1, RPL32, ANXA2, KPNA6, EXOC4, LARP4, HSPD1	30	2511	20164	2.1414044869242	0.9966992074727318	1.0	1.0
GOTERM_MF_DIRECT	GO:0031267~small GTPase binding	3	9.67741935483871	0.06339675116005708	ERRFI1, ANXA2, EXOC4	29	276	18770	7.035232383808096	0.9997217357023463	1.0	1.0
GOTERM_CC_DIRECT	GO:0005782~peroxisomal matrix	2	6.451612903225806	0.07353445376640094	BAAT, HSPD1	30	53	20164	25.363522012578617	0.9990417830146424	1.0	1.0
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	2	6.451612903225806	0.07929026561935873	DNAJA1, HSPD1	30	55	19349	23.453333333333333	0.9999999998846554	1.0	1.0
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	5	16.129032258064516	0.09391244834392837	GPSM2, OR2B11, OR2B6, PDGFRL, OR52B6	30	1165	19349	2.7680972818311873	0.9999999999986319	1.0	1.0
