Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	33	58.92857142857143	8.586902213475009E-5	FHOD3, CREBZF, PIGR, RSC1A1, FEN1, TNXB, ANKRD35, CHD7, PRDM2, GPATCH2L, ZC3HAV1, ZNF608, MECOM, MYO18A, ZSWIM8, DROSHA, PCDH1, TRPM3, NFE2, SEMA6A, BRPF1, BORA, KCNB2, ZNF281, SPRY4, WWP1, SORBS1, KIAA0232, DCLK1, ADCY9, KCNS1, ZFAT, HHIPL2	55	6819	20406	1.7955125384953803	0.03798822839888427	0.03872692898277229	0.03872692898277229
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	8.928571428571429	0.0014052982855438055	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	54	172	18770	10.104435831180016	0.2126392342821034	0.23890070854244694	0.23890070854244694
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	25	44.642857142857146	0.0048788039521461945	FHOD3, PIGR, FEN1, ECM2, ANKRD35, SERPINC1, CHD7, PRDM2, GPATCH2L, THBS1, ADAMTS5, ZNF608, MECOM, MYO18A, ZSWIM8, DROSHA, PCDH1, TRPM3, BRPF1, KCNB2, ZNF281, SORBS1, KIAA0232, ADCY9, ZFAT	55	5560	20406	1.668247220405494	0.8898294456363642	1.0	1.0
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	3.571428571428571	0.005639486528049353	ECM2, THBS1	54	2	18770	347.5925925925926	0.6176528220142214	0.47935635488419504	0.47935635488419504
UP_SEQ_FEATURE	NP_BIND:ATP	9	16.071428571428573	0.008692055602581137	EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1, HSPD1	55	1117	20406	2.989403434524294	0.9804982951038987	1.0	1.0
UP_SEQ_FEATURE	REGION:Disordered	45	80.35714285714286	0.010335143290138658	FHOD3, CREBZF, PIGR, RSC1A1, FEN1, TNXB, ECM2, ANKRD35, IGSF3, SERPINC1, CHD7, PRDM2, GPATCH2L, ZC3HAV1, PHF7, THBS1, PANX1, ADAMTS5, ZNF608, MECOM, MYO18A, ZSWIM8, DROSHA, PCDH1, TRPM3, NFE2, ZNF583, SEMA6A, BRPF1, BORA, KCNB2, ZNF281, SPRY4, C7ORF25, WWP1, SORBS1, ERAL1, KIAA0232, DCLK1, ADCY9, KCNS1, ZFAT, RASA1, HHIPL2, CHST2	55	13517	20406	1.2351718711117987	0.9907709919472706	1.0	1.0
GOTERM_MF_DIRECT	GO:0005178~integrin binding	4	7.142857142857142	0.01060463218579939	ADAMTS5, ECM2, TNXB, THBS1	54	161	18770	8.635840809753853	0.8367405363354978	0.6009291571952988	0.6009291571952988
UP_SEQ_FEATURE	ZN_FING:C2H2-type 7; atypical	2	3.571428571428571	0.013162842924199341	MECOM, PRDM2	55	5	20406	148.4072727272727	0.9974606792564802	1.0	1.0
UP_SEQ_FEATURE	CARBOHYD:O-linked (Fuc...) serine	2	3.571428571428571	0.018380232537521673	ADAMTS5, THBS1	55	7	20406	106.0051948051948	0.9997674982373577	1.0	1.0
GOTERM_CC_DIRECT	GO:0009986~cell surface	6	10.714285714285714	0.01972298262454776	EPHA4, IGSF3, MYO18A, CCR5, THBS1, HSPD1	52	619	20164	3.7586678265191997	0.8859693874210205	0.8177074069772466	0.8177074069772466
