Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	8.928571428571429	0.0014052982855438055	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	54	172	18770	10.104435831180016	0.2126392342821034	0.23890070854244694	0.23890070854244694
GOTERM_MF_DIRECT	GO:0070052~collagen V binding	2	3.571428571428571	0.005639486528049353	ECM2, THBS1	54	2	18770	347.5925925925926	0.6176528220142214	0.47935635488419504	0.47935635488419504
GOTERM_MF_DIRECT	GO:0005178~integrin binding	4	7.142857142857142	0.01060463218579939	ADAMTS5, ECM2, TNXB, THBS1	54	161	18770	8.635840809753853	0.8367405363354978	0.6009291571952988	0.6009291571952988
GOTERM_CC_DIRECT	GO:0009986~cell surface	6	10.714285714285714	0.01972298262454776	EPHA4, IGSF3, MYO18A, CCR5, THBS1, HSPD1	52	619	20164	3.7586678265191997	0.8859693874210205	0.8177074069772466	0.8177074069772466
GOTERM_BP_DIRECT	GO:0070373~negative regulation of ERK1 and ERK2 cascade	3	5.357142857142857	0.020059013109270593	EPHA4, SEMA6A, SPRY4	50	86	19349	13.499302325581395	0.999902912169942	1.0	1.0
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	4	7.142857142857142	0.02693232704365098	ADAMTS5, ECM2, TNXB, THBS1	52	256	20164	6.058894230769231	0.9489974513546907	0.8177074069772466	0.8177074069772466
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	9	16.071428571428573	0.02779766705697855	PIGR, EPHA4, ADCY9, SEMA6A, KCNK12, CCR5, PCDH1, DCLK1, TRPM3	52	1447	20164	2.4118335016745522	0.9537112109569951	0.8177074069772466	0.8177074069772466
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	3	5.357142857142857	0.029582232679543206	ECM2, TNXB, SORBS1	50	106	19349	10.952264150943396	0.9999988697222779	1.0	1.0
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	20	35.714285714285715	0.03000761126522006	PIGR, RSC1A1, EPHA4, BRPF1, DAPK1, SERPINC1, KCNB2, WWP1, SORBS1, PHF7, HSPD1, PANX1, ADCY9, KCNS1, RASA1, PCDH1, TAS2R3, CCR5, OR13A1, TRPM3	52	4959	20164	1.5639009105433788	0.963880012831974	0.8177074069772466	0.8177074069772466
GOTERM_BP_DIRECT	GO:0009615~response to virus	3	5.357142857142857	0.03380572356568615	CREBZF, ZC3HAV1, DCLK1	50	114	19349	10.183684210526316	0.9999998453343126	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	7	12.5	0.03529635777062655	RSC1A1, ZNF583, BRPF1, ZFAT, ZNF281, CHD7, PRDM2	50	973	19349	2.7840287769784178	0.9999999235061182	1.0	1.0
GOTERM_BP_DIRECT	GO:0071805~potassium ion transmembrane transport	3	5.357142857142857	0.042904814191590264	KCNS1, KCNB2, KCNK12	50	130	19349	8.930307692307691	0.9999999979320499	1.0	1.0
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	5	8.928571428571429	0.04555250813888767	DAPK1, RASA1, MYO18A, THBS1, HSPD1	50	533	19349	3.630206378986867	0.9999999994153032	1.0	1.0
GOTERM_BP_DIRECT	GO:0033198~response to ATP	2	3.571428571428571	0.0494721340238051	PANX1, HSPD1	50	20	19349	38.698	0.9999999999104691	1.0	1.0
GOTERM_BP_DIRECT	GO:0043032~positive regulation of macrophage activation	2	3.571428571428571	0.0494721340238051	THBS1, HSPD1	50	20	19349	38.698	0.9999999999104691	1.0	1.0
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	3	5.357142857142857	0.05152795118951254	CHD7, WWP1, DCLK1	50	144	19349	8.062083333333334	0.9999999999666429	1.0	1.0
GOTERM_BP_DIRECT	GO:0040037~negative regulation of fibroblast growth factor receptor signaling pathway	2	3.571428571428571	0.05428542298389168	SPRY4, THBS1	50	22	19349	35.18	0.9999999999911571	1.0	1.0
GOTERM_BP_DIRECT	GO:0001953~negative regulation of cell-matrix adhesion	2	3.571428571428571	0.05428542298389168	RASA1, THBS1	50	22	19349	35.18	0.9999999999911571	1.0	1.0
GOTERM_BP_DIRECT	GO:0032727~positive regulation of interferon-alpha production	2	3.571428571428571	0.05907483333444658	ZC3HAV1, HSPD1	50	24	19349	32.248333333333335	0.9999999999991268	1.0	1.0
GOTERM_BP_DIRECT	GO:0046580~negative regulation of Ras protein signal transduction	2	3.571428571428571	0.06384048107527393	RASA1, SPRY4	50	26	19349	29.767692307692307	0.9999999999999138	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	9	16.071428571428573	0.06581023411868678	EPHA4, ADCY9, DAPK1, GRK7, CHD7, MYO18A, KIAA0232, DCLK1, HSPD1	54	1540	18770	2.0313852813852815	0.9999905818003528	1.0	1.0
GOTERM_BP_DIRECT	GO:1903671~negative regulation of sprouting angiogenesis	2	3.571428571428571	0.06858248166631506	SEMA6A, THBS1	50	28	19349	27.641428571428573	0.9999999999999915	1.0	1.0
GOTERM_BP_DIRECT	GO:0006812~cation transport	2	3.571428571428571	0.0709446502077288	PANX1, TRPM3	50	29	19349	26.688275862068966	0.9999999999999973	1.0	1.0
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	5	8.928571428571429	0.07118014844345409	CREBZF, NFE2, MECOM, ZNF281, PRDM2	54	555	18770	3.1314647981314647	0.9999964652954233	1.0	1.0
GOTERM_BP_DIRECT	GO:0007628~adult walking behavior	2	3.571428571428571	0.07330095001006003	EPHA4, CHD7	50	30	19349	25.798666666666666	0.9999999999999991	1.0	1.0
GOTERM_BP_DIRECT	GO:0046777~protein autophosphorylation	3	5.357142857142857	0.07544904127964838	EPHA4, DAPK1, GRK7	50	179	19349	6.485698324022347	0.9999999999999997	1.0	1.0
GOTERM_MF_DIRECT	GO:0050840~extracellular matrix binding	2	3.571428571428571	0.08398939708715888	ADAMTS5, THBS1	54	31	18770	22.42532855436081	0.9999996665082316	1.0	1.0
GOTERM_BP_DIRECT	GO:0042100~B cell proliferation	2	3.571428571428571	0.0849949164137288	IFNA5, HSPD1	50	35	19349	22.113142857142858	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0007596~blood coagulation	3	5.357142857142857	0.08584152241792584	IFNA5, NFE2, SERPINC1	50	193	19349	6.0152331606217615	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0005251~delayed rectifier potassium channel activity	2	3.571428571428571	0.08916376052406512	KCNS1, KCNB2	54	33	18770	21.066217732884397	0.9999998726932978	1.0	1.0
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	4	7.142857142857142	0.08986229018628664	EPHA4, DAPK1, GRK7, DCLK1	54	376	18770	3.6977935382190696	0.9999998882600396	1.0	1.0
KEGG_PATHWAY	hsa04360:Axon guidance	3	5.357142857142857	0.09315618313952742	EPHA4, SEMA6A, RASA1	24	182	8112	5.571428571428571	0.9999786904351546	1.0	1.0
GOTERM_MF_DIRECT	GO:0001530~lipopolysaccharide binding	2	3.571428571428571	0.09430944342744339	DROSHA, HSPD1	54	35	18770	19.86243386243386	0.999999951407112	1.0	1.0
