Annotation Cluster 1	Enrichment Score: 1.1538525317811124
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	8.928571428571429	0.0014052982855438055	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	54	172	18770	10.104435831180016	0.2126392342821034	0.23890070854244694	0.23890070854244694
GOTERM_MF_DIRECT	GO:0005178~integrin binding	4	7.142857142857142	0.01060463218579939	ADAMTS5, ECM2, TNXB, THBS1	54	161	18770	8.635840809753853	0.8367405363354978	0.6009291571952988	0.6009291571952988
UP_SEQ_FEATURE	MOTIF:Cell attachment site	3	5.357142857142857	0.02275724299898493	ECM2, TNXB, THBS1	55	88	20406	12.648347107438017	0.9999690179905829	1.0	1.0
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	4	7.142857142857142	0.02693232704365098	ADAMTS5, ECM2, TNXB, THBS1	52	256	20164	6.058894230769231	0.9489974513546907	0.8177074069772466	0.8177074069772466
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	4	7.142857142857142	0.03878273410154156	ADAMTS5, ECM2, TNXB, THBS1	49	272	17441	5.234393757503001	0.5283610092043449	0.7368719479292897	0.7368719479292897
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	3	5.357142857142857	0.14053995312483203	ADAMTS5, ECM2, THBS1	50	260	19349	4.465153846153846	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	3	5.357142857142857	0.18204758923678424	ADAMTS5, SERPINC1, THBS1	52	307	20164	3.7892758707090954	0.9999999996928461	1.0	1.0
GOTERM_CC_DIRECT	GO:0005615~extracellular space	8	14.285714285714285	0.20516160332003916	IFNA5, PIGR, ADAMTS5, SEMA6A, TNXB, SERPINC1, THBS1, HSPD1	52	1911	20164	1.623314414523206	0.9999999999864981	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	8	14.285714285714285	0.3608380185441071	IFNA5, PIGR, ADAMTS5, ECM2, TNXB, SERPINC1, HHIPL2, THBS1	49	2111	17441	1.348891617281683	0.999797414781495	1.0	1.0
GOTERM_CC_DIRECT	GO:0005576~extracellular region	7	12.5	0.4493744135465915	IFNA5, ADAMTS5, ECM2, TNXB, SERPINC1, HHIPL2, THBS1	52	2117	20164	1.2821845136441261	1.0	1.0	1.0
