Annotation Cluster 1	Enrichment Score: 1.0389213945095848
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008201~heparin binding	5	8.928571428571429	0.0014052982855438055	ADAMTS5, ECM2, TNXB, SERPINC1, THBS1	54	172	18770	10.104435831180016	0.2126392342821034	0.23890070854244694	0.23890070854244694
GOTERM_MF_DIRECT	GO:0005178~integrin binding	4	7.142857142857142	0.01060463218579939	ADAMTS5, ECM2, TNXB, THBS1	54	161	18770	8.635840809753853	0.8367405363354978	0.6009291571952988	0.6009291571952988
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	4	7.142857142857142	0.02693232704365098	ADAMTS5, ECM2, TNXB, THBS1	52	256	20164	6.058894230769231	0.9489974513546907	0.8177074069772466	0.8177074069772466
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	3	5.357142857142857	0.14053995312483203	ADAMTS5, ECM2, THBS1	50	260	19349	4.465153846153846	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	3	5.357142857142857	0.18204758923678424	ADAMTS5, SERPINC1, THBS1	52	307	20164	3.7892758707090954	0.9999999996928461	1.0	1.0
GOTERM_CC_DIRECT	GO:0005615~extracellular space	8	14.285714285714285	0.20516160332003916	IFNA5, PIGR, ADAMTS5, SEMA6A, TNXB, SERPINC1, THBS1, HSPD1	52	1911	20164	1.623314414523206	0.9999999999864981	1.0	1.0
KEGG_PATHWAY	hsa05165:Human papillomavirus infection	3	5.357142857142857	0.2410394102922841	IFNA5, TNXB, THBS1	24	331	8112	3.0634441087613293	0.9999999999999333	1.0	1.0
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	3	5.357142857142857	0.2655499397509408	IFNA5, TNXB, THBS1	24	354	8112	2.864406779661017	0.9999999999999982	1.0	1.0
GOTERM_CC_DIRECT	GO:0005576~extracellular region	7	12.5	0.4493744135465915	IFNA5, ADAMTS5, ECM2, TNXB, SERPINC1, HHIPL2, THBS1	52	2117	20164	1.2821845136441261	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	6	10.714285714285714	0.6734798768346968	PIGR, TNXB, SERPINC1, WWP1, THBS1, HSPD1	52	2217	20164	1.0494431143957532	1.0	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.7578411002588942
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	7	12.5	0.03529635777062655	RSC1A1, ZNF583, BRPF1, ZFAT, ZNF281, CHD7, PRDM2	50	973	19349	2.7840287769784178	0.9999999235061182	1.0	1.0
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	5	8.928571428571429	0.07118014844345409	CREBZF, NFE2, MECOM, ZNF281, PRDM2	54	555	18770	3.1314647981314647	0.9999964652954233	1.0	1.0
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	8	14.285714285714285	0.13897481748934623	CREBZF, NFE2, ZNF583, ZNF608, BRPF1, MECOM, PRDM2, HSPD1	50	1713	19349	1.8072621132516054	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	3	5.357142857142857	0.2378496466090334	NFE2, ZNF281, PRDM2	54	329	18770	3.1695373184734885	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	4	7.142857142857142	0.23831199231170352	NFE2, BRPF1, MECOM, ZNF281	50	667	19349	2.32071964017991	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	6	10.714285714285714	0.25228105940183865	NFE2, ZNF583, MECOM, ZFAT, ZNF281, CHD7	54	1205	18770	1.730751498386353	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0003677~DNA binding	6	10.714285714285714	0.2861900806996725	CREBZF, NFE2, FEN1, BRPF1, MECOM, MYO18A	54	1267	18770	1.6460580548978339	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	6	10.714285714285714	0.293423567953808	CREBZF, NFE2, ZNF583, ZFAT, ZNF281, PRDM2	54	1280	18770	1.6293402777777777	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	5	8.928571428571429	0.36051436836212314	CREBZF, MECOM, ZFAT, CHD7, PRDM2	50	1198	19349	1.6151085141903172	1.0	1.0	1.0

