Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	5	16.129032258064516	0.0017432398052257259	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	359	20581	9.24656303351604	0.15863637524668617	0.17258074071734686	0.17258074071734686
UP_SEQ_FEATURE	short sequence motif:Selectivity filter	3	9.67741935483871	0.0030649312941556798	KCNJ5, KCNB2, KCNJ3	30	57	20063	35.19824561403509	0.5183674499912532	0.7325185793032074	0.7325185793032074
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	4	12.903225806451612	0.005065173289462683	P2RX7, KCNJ5, SPAM1, KCNJ3	31	213	18224	11.039830380130242	0.281128681060239	0.2985207114495381	0.2985207114495381
GOTERM_BP_DIRECT	GO:0099625~ventricular cardiac muscle cell membrane repolarization	2	6.451612903225806	0.005172403528157123	KCNJ5, KCNJ3	30	3	16792	373.15555555555557	0.7822990732901997	0.657333766774546	0.657333766774546
GOTERM_MF_DIRECT	GO:0086089~voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	2	6.451612903225806	0.007090284945210631	KCNJ5, KCNJ3	31	4	16881	272.2741935483871	0.4380592028061042	0.47613617651577916	0.47613617651577916
GOTERM_BP_DIRECT	GO:0098914~membrane repolarization during atrial cardiac muscle cell action potential	2	6.451612903225806	0.008606311616523173	KCNJ5, KCNJ3	30	5	16792	223.89333333333332	0.9212287011505287	0.657333766774546	0.657333766774546
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	9.67741935483871	0.008780361415265846	KCNJ5, KCNB2, KCNJ3	30	82	16792	20.478048780487804	0.9251916644155698	0.657333766774546	0.657333766774546
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	3	9.67741935483871	0.009185252659985788	KCNJ5, KCNB2, KCNJ3	31	88	18224	20.04105571847507	0.45107876524279367	0.2985207114495381	0.2985207114495381
KEGG_PATHWAY	hsa04713:Circadian entrainment	3	9.67741935483871	0.011383095703139277	GUCY1A3, KCNJ5, KCNJ3	13	95	6879	16.71012145748988	0.3301445029874728	0.3984083496098747	0.3984083496098747
UP_KEYWORDS	Potassium transport	3	9.67741935483871	0.012359568422074516	KCNJ5, KCNB2, KCNJ3	31	116	20581	17.169911012235815	0.7080643066889487	0.26668448378610365	0.26668448378610365
INTERPRO	IPR014756:Immunoglobulin E-set	3	9.67741935483871	0.012894589570719846	KCNJ5, REL, KCNJ3	31	107	18559	16.78534820621043	0.783779526151971	1.0	1.0
UP_SEQ_FEATURE	short sequence motif:Nuclear localization signal	4	12.903225806451612	0.013127251891081503	MECOM, KPNA6, REL, DTL	30	344	20063	7.776356589147287	0.9569319494793823	1.0	1.0
UP_KEYWORDS	Ion transport	5	16.129032258064516	0.013501522447418368	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	642	20581	5.170585870766757	0.7396572334801435	0.26668448378610365	0.26668448378610365
GOTERM_BP_DIRECT	GO:0032963~collagen metabolic process	2	6.451612903225806	0.013735724617755345	P2RX7, TNXB	30	8	16792	139.93333333333334	0.9828592080366613	0.657333766774546	0.657333766774546
GOTERM_BP_DIRECT	GO:0098915~membrane repolarization during ventricular cardiac muscle cell action potential	2	6.451612903225806	0.013735724617755345	KCNJ5, KCNJ3	30	8	16792	139.93333333333334	0.9828592080366613	0.657333766774546	0.657333766774546
GOTERM_MF_DIRECT	GO:1902282~voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	2	6.451612903225806	0.014131961992762097	KCNJ5, KCNJ3	31	8	16881	136.13709677419354	0.6842657156159828	0.47613617651577916	0.47613617651577916
UP_KEYWORDS	Potassium	3	9.67741935483871	0.015120718458642246	KCNJ5, KCNB2, KCNJ3	31	129	20581	15.439609902475617	0.7787327453516302	0.26668448378610365	0.26668448378610365
GOTERM_BP_DIRECT	GO:1990573~potassium ion import across plasma membrane	2	6.451612903225806	0.01543982757212013	KCNJ5, KCNJ3	30	9	16792	124.3851851851852	0.9896907870041851	0.657333766774546	0.657333766774546
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	3	9.67741935483871	0.015650803970822524	KCNJ5, KCNB2, KCNJ3	30	111	16792	15.12792792792793	0.9903202948280255	0.657333766774546	0.657333766774546
GOTERM_MF_DIRECT	GO:0015467~G-protein activated inward rectifier potassium channel activity	2	6.451612903225806	0.017634673204288118	KCNJ5, KCNJ3	31	10	16881	108.90967741935484	0.7633453431022696	0.47613617651577916	0.47613617651577916
UP_KEYWORDS	Transmembrane helix	15	48.38709677419355	0.01846669976845816	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	31	5634	20581	1.7675804733931086	0.8420212038285637	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Transmembrane	15	48.38709677419355	0.01895898276530847	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	31	5651	20581	1.7622630308081357	0.8496756302781271	0.26668448378610365	0.26668448378610365
GOTERM_CC_DIRECT	GO:0005622~intracellular	7	22.58064516129032	0.01961298716860189	GUCY1A3, TNXB, KCNB2, ZNF879, INTS2, ITSN1, RAPGEF2	31	1332	18224	3.0894119926377988	0.7240434420608641	0.42494805531970764	0.42494805531970764
UP_KEYWORDS	Voltage-gated channel	3	9.67741935483871	0.020084645148959288	KCNJ5, KCNB2, KCNJ3	31	150	20581	13.278064516129032	0.865826196877866	0.26668448378610365	0.26668448378610365
UP_SEQ_FEATURE	site:Role in the control of polyamine-mediated channel gating and in the blocking by intracellular magnesium	2	6.451612903225806	0.021471109217578235	KCNJ5, KCNJ3	30	15	20063	89.16888888888889	0.9942914038624403	1.0	1.0
UP_KEYWORDS	Phosphoprotein	19	61.29032258064516	0.02155026131604878	GUCY1A3, CREBZF, KCNJ5, USP15, BORA, KCNB2, ITSN1, UTP18, P2RX7, TNRC6C, MECOM, PTPRZ1, REL, KPNA6, HIVEP1, NF1, RAPGEF2, DTL, KCNJ3	31	8246	20581	1.5297309350379071	0.8843052538655769	0.26668448378610365	0.26668448378610365
UP_SEQ_FEATURE	region of interest:H5 (pore-forming helix)	2	6.451612903225806	0.022886578981879336	KCNJ5, KCNJ3	30	16	20063	83.59583333333333	0.9959551270178081	1.0	1.0
GOTERM_BP_DIRECT	GO:0043409~negative regulation of MAPK cascade	2	6.451612903225806	0.023917787991408253	P2RX7, NF1	30	14	16792	79.96190476190476	0.999189036876536	0.8789787086842533	0.8789787086842533
PIR_SUPERFAMILY	PIRSF005465:G protein-activated inward rectifier potassium channel	2	6.451612903225806	0.024632315815949483	KCNJ5, KCNJ3	4	14	1692	60.42857142857143	0.09494817194958927	0.09852926326379793	0.09852926326379793
INTERPRO	IPR013518:Potassium channel, inwardly rectifying, Kir, cytoplasmic	2	6.451612903225806	0.025562466676964685	KCNJ5, KCNJ3	31	16	18559	74.83467741935483	0.9529052559312536	1.0	1.0
INTERPRO	IPR016449:Potassium channel, inwardly rectifying, Kir	2	6.451612903225806	0.025562466676964685	KCNJ5, KCNJ3	31	16	18559	74.83467741935483	0.9529052559312536	1.0	1.0
KEGG_PATHWAY	hsa04921:Oxytocin signaling pathway	3	9.67741935483871	0.027012472752731404	GUCY1A3, KCNJ5, KCNJ3	13	150	6879	10.583076923076925	0.616509546245313	0.4727182731727996	0.4727182731727996
GOTERM_BP_DIRECT	GO:0048593~camera-type eye morphogenesis	2	6.451612903225806	0.02728919854774122	TENM3, NF1	30	16	16792	69.96666666666667	0.9997067627591205	0.8914471525595465	0.8914471525595465
UP_KEYWORDS	Polymorphism	24	77.41935483870968	0.030430392678001208	GUCY1A3, KCNJ5, TENM3, TNXB, ECM2, BORA, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, SERPINB8, P2RX7, TNRC6C, UBOX5, MECOM, PTPRZ1, HIVEP1, NF1, DTL, TRPM3, SPAM1, KCNJ3	31	12043	20581	1.3230654670227384	0.9530840682226982	0.3162738398172953	0.3162738398172953
UP_KEYWORDS	Cell adhesion	4	12.903225806451612	0.031946852506797505	TENM3, TNXB, PCDH19, SPAM1	31	479	20581	5.544077042225066	0.9598189822031878	0.3162738398172953	0.3162738398172953
GOTERM_MF_DIRECT	GO:0005242~inward rectifier potassium channel activity	2	6.451612903225806	0.03496855368807309	KCNJ5, KCNJ3	31	20	16881	54.45483870967742	0.9440424491995268	0.7081132121834801	0.7081132121834801
UP_SEQ_FEATURE	domain:EGF-like 8	2	6.451612903225806	0.03693297921078222	TENM3, TNXB	30	26	20063	51.44358974358975	0.9998711009679551	1.0	1.0
