Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	5	15.625	0.001974280028038276	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	32	359	20581	8.957607938718663	0.17932093121848525	0.19742800280382758	0.19742800280382758
UP_SEQ_FEATURE	short sequence motif:Selectivity filter	3	9.375	0.003277884159161194	KCNJ5, KCNB2, KCNJ3	31	57	20063	34.06281833616299	0.5467301492451571	0.793247966517009	0.793247966517009
GOTERM_BP_DIRECT	GO:0099625~ventricular cardiac muscle cell membrane repolarization	2	6.25	0.0053504434249740844	KCNJ5, KCNJ3	31	3	16792	361.1182795698925	0.7978434488750814	0.7108209335663118	0.7108209335663118
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	4	12.5	0.005560121439929731	P2RX7, KCNJ5, SPAM1, KCNJ3	32	213	18224	10.694835680751174	0.3117255717374239	0.32790250304660734	0.32790250304660734
GOTERM_MF_DIRECT	GO:0086089~voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	2	6.25	0.007325976527736502	KCNJ5, KCNJ3	32	4	16881	263.765625	0.45680901132917606	0.5040215043346961	0.5040215043346961
GOTERM_BP_DIRECT	GO:0098914~membrane repolarization during atrial cardiac muscle cell action potential	2	6.25	0.008902020525244912	KCNJ5, KCNJ3	31	5	16792	216.67096774193547	0.9303783928180727	0.7108209335663118	0.7108209335663118
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	9.375	0.009377936010111313	KCNJ5, KCNB2, KCNJ3	31	82	16792	19.81746656176239	0.9396630952593968	0.7108209335663118	0.7108209335663118
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	3	9.375	0.009788134419301712	KCNJ5, KCNB2, KCNJ3	32	88	18224	19.414772727272727	0.48265000393070434	0.32790250304660734	0.32790250304660734
KEGG_PATHWAY	hsa04713:Circadian entrainment	3	9.375	0.011383095703139277	GUCY1A3, KCNJ5, KCNJ3	13	95	6879	16.71012145748988	0.3301445029874728	0.3984083496098747	0.3984083496098747
UP_KEYWORDS	Potassium transport	3	9.375	0.013163750593936747	KCNJ5, KCNB2, KCNJ3	32	116	20581	16.63335129310345	0.7342278909449562	0.2890415570717078	0.2890415570717078
UP_KEYWORDS	Phosphoprotein	20	62.5	0.013684938388126067	GUCY1A3, CREBZF, KCNJ5, USP15, BORA, KCNB2, ITSN1, UTP18, P2RX7, TNRC6C, MECOM, PTPRZ1, REL, KPNA6, HIVEP1, NF1, RAPGEF2, LRRFIP1, DTL, KCNJ3	32	8246	20581	1.5599229929662868	0.7479036773248018	0.2890415570717078	0.2890415570717078
INTERPRO	IPR014756:Immunoglobulin E-set	3	9.375	0.013732515632595477	KCNJ5, REL, KCNJ3	32	107	18559	16.260806074766354	0.8070827200313364	1.0	1.0
GOTERM_BP_DIRECT	GO:0098915~membrane repolarization during ventricular cardiac muscle cell action potential	2	6.25	0.014206410903022744	KCNJ5, KCNJ3	31	8	16792	135.4193548387097	0.9859322427274211	0.7108209335663118	0.7108209335663118
GOTERM_BP_DIRECT	GO:0032963~collagen metabolic process	2	6.25	0.014206410903022744	P2RX7, TNXB	31	8	16792	135.4193548387097	0.9859322427274211	0.7108209335663118	0.7108209335663118
UP_SEQ_FEATURE	short sequence motif:Nuclear localization signal	4	12.5	0.014404006318445801	MECOM, KPNA6, REL, DTL	31	344	20063	7.525506376594149	0.9697000436267463	1.0	1.0
GOTERM_MF_DIRECT	GO:1902282~voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	2	6.25	0.0146000021264219	KCNJ5, KCNJ3	32	8	16881	131.8828125	0.7049862682754278	0.5040215043346961	0.5040215043346961
UP_KEYWORDS	Ion transport	5	15.625	0.015128190459836661	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	32	642	20581	5.009005062305296	0.78224373405898	0.2890415570717078	0.2890415570717078
GOTERM_BP_DIRECT	GO:1990573~potassium ion import across plasma membrane	2	6.25	0.015968434715876362	KCNJ5, KCNJ3	31	9	16792	120.37275985663082	0.9917454982705196	0.7108209335663118	0.7108209335663118
UP_KEYWORDS	Potassium	3	9.375	0.016097932788647393	KCNJ5, KCNB2, KCNJ3	32	129	20581	14.957122093023255	0.8026726407816589	0.2890415570717078	0.2890415570717078
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	3	9.375	0.01669713602336974	KCNJ5, KCNB2, KCNJ3	31	111	16792	14.639930252833478	0.9933806305691844	0.7108209335663118	0.7108209335663118
GOTERM_MF_DIRECT	GO:0015467~G-protein activated inward rectifier potassium channel activity	2	6.25	0.018217644734989012	KCNJ5, KCNJ3	32	10	16881	105.50625	0.7825980284072098	0.5040215043346961	0.5040215043346961
UP_KEYWORDS	Voltage-gated channel	3	9.375	0.02136851250639241	KCNJ5, KCNB2, KCNJ3	32	150	20581	12.863125	0.8846763157129293	0.2890415570717078	0.2890415570717078
UP_SEQ_FEATURE	site:Role in the control of polyamine-mediated channel gating and in the blocking by intracellular magnesium	2	6.25	0.022203760379215662	KCNJ5, KCNJ3	31	15	20063	86.29247311827957	0.9955346508855827	1.0	1.0
