Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR020904:Short-chain dehydrogenase/reductase, conserved site	2	50.0	0.00596933080680048	RDH10, HSD11B1L	4	37	18559	250.79729729729726	0.05245890064838843	0.04133737144115881	0.04133737144115881
INTERPRO	IPR002347:Glucose/ribitol dehydrogenase	2	50.0	0.009186082542479735	RDH10, HSD11B1L	4	57	18559	162.79824561403507	0.07970113921067135	0.04133737144115881	0.04133737144115881
UP_SEQ_FEATURE	nucleotide phosphate-binding region:NADP	2	50.0	0.011024929999103936	RDH10, HSD11B1L	4	74	20063	135.5608108108108	0.19886283079353084	0.23152352998118267	0.23152352998118267
UP_KEYWORDS	NADP	2	50.0	0.02686938995820573	RDH10, HSD11B1L	4	186	20581	55.325268817204304	0.35324746799705065	0.4299102393312917	0.4299102393312917
INTERPRO	IPR016040:NAD(P)-binding domain	2	50.0	0.028658101900142827	RDH10, HSD11B1L	4	179	18559	51.84078212290503	0.23025106102670012	0.08597430570042848	0.08597430570042848
UP_SEQ_FEATURE	binding site:Substrate	2	50.0	0.04433853091648734	RDH10, HSD11B1L	4	301	20063	33.32724252491695	0.5962788288057219	0.46555457462311706	0.46555457462311706
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	2	50.0	0.06926888537062782	RDH10, HSD11B1L	3	592	16792	18.90990990990991	0.8752895776924057	1.0	1.0
UP_SEQ_FEATURE	signal peptide	3	75.0	0.07415024211912928	HSD11B1L, PTX3, LRRC37B	4	3346	20063	4.497086072922893	0.7858044979815212	0.510090471017431	0.510090471017431
UP_KEYWORDS	Oxidoreductase	2	50.0	0.08246301174886815	RDH10, HSD11B1L	4	582	20581	17.68127147766323	0.7476651165581943	0.5655316068356058	0.5655316068356058
UP_SEQ_FEATURE	active site:Proton acceptor	2	50.0	0.0971600897176059	RDH10, HSD11B1L	4	672	20063	14.927827380952381	0.8705163364281926	0.510090471017431	0.510090471017431
