Annotation Cluster 1	Enrichment Score: 2.0761665023868945
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	5	16.129032258064516	0.0017432398052257259	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	359	20581	9.24656303351604	0.15863637524668617	0.17258074071734686	0.17258074071734686
UP_SEQ_FEATURE	short sequence motif:Selectivity filter	3	9.67741935483871	0.0030649312941556798	KCNJ5, KCNB2, KCNJ3	30	57	20063	35.19824561403509	0.5183674499912532	0.7325185793032074	0.7325185793032074
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	4	12.903225806451612	0.005065173289462683	P2RX7, KCNJ5, SPAM1, KCNJ3	31	213	18224	11.039830380130242	0.281128681060239	0.2985207114495381	0.2985207114495381
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	9.67741935483871	0.008780361415265846	KCNJ5, KCNB2, KCNJ3	30	82	16792	20.478048780487804	0.9251916644155698	0.657333766774546	0.657333766774546
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	3	9.67741935483871	0.009185252659985788	KCNJ5, KCNB2, KCNJ3	31	88	18224	20.04105571847507	0.45107876524279367	0.2985207114495381	0.2985207114495381
UP_KEYWORDS	Potassium transport	3	9.67741935483871	0.012359568422074516	KCNJ5, KCNB2, KCNJ3	31	116	20581	17.169911012235815	0.7080643066889487	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Ion transport	5	16.129032258064516	0.013501522447418368	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	642	20581	5.170585870766757	0.7396572334801435	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Potassium	3	9.67741935483871	0.015120718458642246	KCNJ5, KCNB2, KCNJ3	31	129	20581	15.439609902475617	0.7787327453516302	0.26668448378610365	0.26668448378610365
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	3	9.67741935483871	0.015650803970822524	KCNJ5, KCNB2, KCNJ3	30	111	16792	15.12792792792793	0.9903202948280255	0.657333766774546	0.657333766774546
UP_KEYWORDS	Voltage-gated channel	3	9.67741935483871	0.020084645148959288	KCNJ5, KCNB2, KCNJ3	31	150	20581	13.278064516129032	0.865826196877866	0.26668448378610365	0.26668448378610365

Annotation Cluster 2	Enrichment Score: 1.4576539167741387
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Transmembrane helix	15	48.38709677419355	0.01846669976845816	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	31	5634	20581	1.7675804733931086	0.8420212038285637	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Transmembrane	15	48.38709677419355	0.01895898276530847	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	31	5651	20581	1.7622630308081357	0.8496756302781271	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Membrane	17	54.83870967741935	0.04324435208566281	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, RAPGEF2, DTL, TRPM3, SPAM1, KCNJ3	31	7494	20581	1.5060521535507976	0.987430950741636	0.3891991687709653	0.3891991687709653
UP_SEQ_FEATURE	topological domain:Extracellular	8	25.806451612903224	0.09755524367012394	P2RX7, KCNJ5, TENM3, PTPRZ1, GPR55, PCDH19, TRPM3, KCNJ3	30	2787	20063	1.9196746800621936	0.9999999999754468	1.0	1.0

