Annotation Cluster 1	Enrichment Score: 1.960793967127529
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	5	16.129032258064516	0.0017432398052257259	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	359	20581	9.24656303351604	0.15863637524668617	0.17258074071734686	0.17258074071734686
UP_SEQ_FEATURE	short sequence motif:Selectivity filter	3	9.67741935483871	0.0030649312941556798	KCNJ5, KCNB2, KCNJ3	30	57	20063	35.19824561403509	0.5183674499912532	0.7325185793032074	0.7325185793032074
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	4	12.903225806451612	0.005065173289462683	P2RX7, KCNJ5, SPAM1, KCNJ3	31	213	18224	11.039830380130242	0.281128681060239	0.2985207114495381	0.2985207114495381
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	9.67741935483871	0.008780361415265846	KCNJ5, KCNB2, KCNJ3	30	82	16792	20.478048780487804	0.9251916644155698	0.657333766774546	0.657333766774546
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	3	9.67741935483871	0.009185252659985788	KCNJ5, KCNB2, KCNJ3	31	88	18224	20.04105571847507	0.45107876524279367	0.2985207114495381	0.2985207114495381
UP_KEYWORDS	Potassium transport	3	9.67741935483871	0.012359568422074516	KCNJ5, KCNB2, KCNJ3	31	116	20581	17.169911012235815	0.7080643066889487	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Ion transport	5	16.129032258064516	0.013501522447418368	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	642	20581	5.170585870766757	0.7396572334801435	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Potassium	3	9.67741935483871	0.015120718458642246	KCNJ5, KCNB2, KCNJ3	31	129	20581	15.439609902475617	0.7787327453516302	0.26668448378610365	0.26668448378610365
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	3	9.67741935483871	0.015650803970822524	KCNJ5, KCNB2, KCNJ3	30	111	16792	15.12792792792793	0.9903202948280255	0.657333766774546	0.657333766774546
UP_KEYWORDS	Voltage-gated channel	3	9.67741935483871	0.020084645148959288	KCNJ5, KCNB2, KCNJ3	31	150	20581	13.278064516129032	0.865826196877866	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Transport	6	19.35483870967742	0.1559306127337952	P2RX7, KCNJ5, KCNB2, KPNA6, TRPM3, KCNJ3	31	1978	20581	2.013862161192472	0.9999999485439073	1.0	1.0

Annotation Cluster 2	Enrichment Score: 1.2383899667388922
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	5	16.129032258064516	0.0017432398052257259	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	359	20581	9.24656303351604	0.15863637524668617	0.17258074071734686	0.17258074071734686
UP_KEYWORDS	Ion transport	5	16.129032258064516	0.013501522447418368	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	31	642	20581	5.170585870766757	0.7396572334801435	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Transmembrane helix	15	48.38709677419355	0.01846669976845816	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	31	5634	20581	1.7675804733931086	0.8420212038285637	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Transmembrane	15	48.38709677419355	0.01895898276530847	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	31	5651	20581	1.7622630308081357	0.8496756302781271	0.26668448378610365	0.26668448378610365
UP_KEYWORDS	Membrane	17	54.83870967741935	0.04324435208566281	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, RAPGEF2, DTL, TRPM3, SPAM1, KCNJ3	31	7494	20581	1.5060521535507976	0.987430950741636	0.3891991687709653	0.3891991687709653
UP_SEQ_FEATURE	topological domain:Extracellular	8	25.806451612903224	0.09755524367012394	P2RX7, KCNJ5, TENM3, PTPRZ1, GPR55, PCDH19, TRPM3, KCNJ3	30	2787	20063	1.9196746800621936	0.9999999999754468	1.0	1.0
UP_SEQ_FEATURE	topological domain:Cytoplasmic	9	29.03225806451613	0.1123016774028703	P2RX7, KCNJ5, TENM3, PTPRZ1, KCNB2, GPR55, PCDH19, TRPM3, KCNJ3	30	3456	20063	1.741579861111111	0.9999999999995134	1.0	1.0
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	13	41.935483870967744	0.11378582261355312	GUCY1A3, KCNJ5, TENM3, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, PTPRZ1, TRPM3, SPAM1, KCNJ3	31	5163	18224	1.4802096805433202	0.9996109413503589	0.7794499771078596	0.7794499771078596
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	11	35.483870967741936	0.11991538109351685	P2RX7, GUCY1A3, KCNJ5, KCNB2, ITSN1, GPR55, RAPGEF2, PCDH19, SPAM1, TRPM3, KCNJ3	31	4121	18224	1.5691775406846131	0.9997522075824951	0.7794499771078596	0.7794499771078596
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	5	16.129032258064516	0.2007111080652565	P2RX7, TENM3, PTPRZ1, GPR55, RAPGEF2	31	1415	18224	2.0772825715262737	0.9999995260358068	1.0	1.0
UP_SEQ_FEATURE	transmembrane region	10	32.25806451612903	0.2961508568896978	P2RX7, KCNJ5, TENM3, PTPRZ1, KCNB2, INTS2, GPR55, PCDH19, TRPM3, KCNJ3	30	5056	20063	1.3227188818565399	1.0	1.0	1.0
UP_KEYWORDS	Receptor	4	12.903225806451612	0.43527377152921065	P2RX7, PTPRZ1, GPR55, TRPM3	31	1648	20581	1.611415596617601	1.0	1.0	1.0

Annotation Cluster 3	Enrichment Score: 0.8101010310859355
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	short sequence motif:Nuclear localization signal	4	12.903225806451612	0.013127251891081503	MECOM, KPNA6, REL, DTL	30	344	20063	7.776356589147287	0.9569319494793823	1.0	1.0
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	6	19.35483870967742	0.4926908570720989	MECOM, INTS2, KPNA6, REL, UTP18, DTL	31	2784	18224	1.2669632925472747	1.0	1.0	1.0
UP_KEYWORDS	Acetylation	6	19.35483870967742	0.574048497946385	USP15, MECOM, KPNA6, NF1, REL, DTL	31	3424	20581	1.1633818209225204	1.0	1.0	1.0

Annotation Cluster 4	Enrichment Score: 0.5285459590245682
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell adhesion	4	12.903225806451612	0.031946852506797505	TENM3, TNXB, PCDH19, SPAM1	31	479	20581	5.544077042225066	0.9598189822031878	0.3162738398172953	0.3162738398172953
GOTERM_CC_DIRECT	GO:0005578~proteinaceous extracellular matrix	3	9.67741935483871	0.07159821280888862	ECM2, TNXB, PTPRZ1	31	268	18224	6.580645161290322	0.9920046421259305	0.7756473054296267	0.7756473054296267
UP_SEQ_FEATURE	topological domain:Cytoplasmic	9	29.03225806451613	0.1123016774028703	P2RX7, KCNJ5, TENM3, PTPRZ1, KCNB2, GPR55, PCDH19, TRPM3, KCNJ3	30	3456	20063	1.741579861111111	0.9999999999995134	1.0	1.0
UP_KEYWORDS	Glycoprotein	10	32.25806451612903	0.20172692717375312	P2RX7, TENM3, ECM2, TNXB, PTPRZ1, KCNB2, GPR55, PCDH19, SPAM1, KCNJ3	31	4551	20581	1.4588073518049913	0.9999999997944126	1.0	1.0
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	9	29.03225806451613	0.2563750601438173	P2RX7, TENM3, ECM2, TNXB, PTPRZ1, KCNB2, GPR55, PCDH19, SPAM1	30	4234	20063	1.4215635333018422	1.0	1.0	1.0
UP_KEYWORDS	Cell membrane	7	22.58064516129032	0.31295536764430965	P2RX7, PTPRZ1, KCNB2, GPR55, RAPGEF2, PCDH19, SPAM1	31	3175	20581	1.4637236474472948	0.9999999999999999	1.0	1.0
UP_SEQ_FEATURE	signal peptide	5	16.129032258064516	0.7364405578370059	ECM2, TNXB, PTPRZ1, PCDH19, SPAM1	30	3346	20063	0.9993524606495316	1.0	1.0	1.0
