Annotation Cluster 1	Enrichment Score: 2.0422753164044622
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	5	15.625	0.001974280028038276	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	32	359	20581	8.957607938718663	0.17932093121848525	0.19742800280382758	0.19742800280382758
UP_SEQ_FEATURE	short sequence motif:Selectivity filter	3	9.375	0.003277884159161194	KCNJ5, KCNB2, KCNJ3	31	57	20063	34.06281833616299	0.5467301492451571	0.793247966517009	0.793247966517009
GOTERM_CC_DIRECT	GO:0009897~external side of plasma membrane	4	12.5	0.005560121439929731	P2RX7, KCNJ5, SPAM1, KCNJ3	32	213	18224	10.694835680751174	0.3117255717374239	0.32790250304660734	0.32790250304660734
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	9.375	0.009377936010111313	KCNJ5, KCNB2, KCNJ3	31	82	16792	19.81746656176239	0.9396630952593968	0.7108209335663118	0.7108209335663118
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	3	9.375	0.009788134419301712	KCNJ5, KCNB2, KCNJ3	32	88	18224	19.414772727272727	0.48265000393070434	0.32790250304660734	0.32790250304660734
UP_KEYWORDS	Potassium transport	3	9.375	0.013163750593936747	KCNJ5, KCNB2, KCNJ3	32	116	20581	16.63335129310345	0.7342278909449562	0.2890415570717078	0.2890415570717078
UP_KEYWORDS	Ion transport	5	15.625	0.015128190459836661	P2RX7, KCNJ5, KCNB2, TRPM3, KCNJ3	32	642	20581	5.009005062305296	0.78224373405898	0.2890415570717078	0.2890415570717078
UP_KEYWORDS	Potassium	3	9.375	0.016097932788647393	KCNJ5, KCNB2, KCNJ3	32	129	20581	14.957122093023255	0.8026726407816589	0.2890415570717078	0.2890415570717078
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	3	9.375	0.01669713602336974	KCNJ5, KCNB2, KCNJ3	31	111	16792	14.639930252833478	0.9933806305691844	0.7108209335663118	0.7108209335663118
UP_KEYWORDS	Voltage-gated channel	3	9.375	0.02136851250639241	KCNJ5, KCNB2, KCNJ3	32	150	20581	12.863125	0.8846763157129293	0.2890415570717078	0.2890415570717078

Annotation Cluster 2	Enrichment Score: 1.3869964768431948
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Transmembrane helix	15	46.875	0.02536193043231862	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	32	5634	20581	1.712343583599574	0.9233808903403333	0.2890415570717078	0.2890415570717078
UP_KEYWORDS	Transmembrane	15	46.875	0.026013740136453703	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, TRPM3, SPAM1, KCNJ3	32	5651	20581	1.7071923110953815	0.9283389729925429	0.2890415570717078	0.2890415570717078
UP_KEYWORDS	Membrane	17	53.125	0.05986290102174018	GUCY1A3, KCNJ5, TENM3, KCNB2, INTS2, GPR55, ITSN1, ZNF804A, PCDH19, UTP18, P2RX7, PTPRZ1, RAPGEF2, DTL, TRPM3, SPAM1, KCNJ3	32	7494	20581	1.4589880237523352	0.9979149374780389	0.544208191106729	0.544208191106729
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	12	37.5	0.07169208792087935	P2RX7, GUCY1A3, KCNJ5, KCNB2, ITSN1, GPR55, RAPGEF2, LRRFIP1, PCDH19, SPAM1, TRPM3, KCNJ3	32	4121	18224	1.6583353554962388	0.9931550940560714	0.6928017244156787	0.6928017244156787

