Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	4	13.793103448275861	0.003498397065051415	P2RX7, KCNJ5, KCNB2, KCNJ3	27	182	15333	12.481074481074481	0.08388490179676256	0.03863677504903092	0.0356647154298747
UP_KEYWORDS	Potassium transport	3	10.344827586206897	0.0036129069679347097	KCNJ5, KCNB2, KCNJ3	27	53	15333	32.144654088050316	0.0865130892729069	0.03863677504903092	0.0356647154298747
UP_KEYWORDS	Potassium	3	10.344827586206897	0.004458089428734337	KCNJ5, KCNB2, KCNJ3	27	59	15333	28.875706214689263	0.10568874868514777	0.03863677504903092	0.0356647154298747
UP_KEYWORDS	Ion transport	4	13.793103448275861	0.008720118612889358	P2RX7, KCNJ5, KCNB2, KCNJ3	27	253	15333	8.978480456741325	0.19664537169626584	0.050488659350058446	0.04660491632313087
GOTERM_MF_DIRECT	GO:0015467~G-protein activated inward rectifier potassium channel activity	2	6.896551724137931	0.008931687411765813	KCNJ5, KCNJ3	23	4	9821	213.5	0.26949082757056	0.31260905941180345	0.31260905941180345
UP_KEYWORDS	Transport	5	17.24137931034483	0.009709357567318931	P2RX7, KCNJ5, KCNB2, KPNA6, KCNJ3	27	504	15333	5.633818342151675	0.21644969840777128	0.050488659350058446	0.04660491632313087
INTERPRO	IPR014756:Immunoglobulin E-set	3	10.344827586206897	0.011665841266490505	KCNJ5, REL, KCNJ3	26	95	14426	17.521457489878543	0.6562471426853995	0.7793867242778537	0.7793867242778537
GOTERM_BP_DIRECT	GO:0048593~camera-type eye morphogenesis	2	6.896551724137931	0.023462395144781586	TENM3, NF1	20	13	10419	80.14615384615385	0.9879177233534687	1.0	1.0
GOTERM_BP_DIRECT	GO:0045671~negative regulation of osteoclast differentiation	2	6.896551724137931	0.023462395144781586	GPR55, NF1	20	13	10419	80.14615384615385	0.9879177233534687	1.0	1.0
INTERPRO	IPR016449:Potassium channel, inwardly rectifying, Kir	2	6.896551724137931	0.02569406783333584	KCNJ5, KCNJ3	26	15	14426	73.97948717948718	0.906399846836075	0.7793867242778537	0.7793867242778537
INTERPRO	IPR013518:Potassium channel, inwardly rectifying, Kir, cytoplasmic	2	6.896551724137931	0.02569406783333584	KCNJ5, KCNJ3	26	15	14426	73.97948717948718	0.906399846836075	0.7793867242778537	0.7793867242778537
GOTERM_CC_DIRECT	GO:0098793~presynapse	2	6.896551724137931	0.05407444368195396	P2RX7, NF1	24	30	12438	34.55	0.8721480118927121	1.0	1.0
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	2	6.896551724137931	0.08070095046395115	UBOX5, DTL	20	46	10419	22.650000000000002	0.9999998404242609	1.0	1.0
