Annotation Cluster 1	Enrichment Score: 1.4433479211556364
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ion channel	4	13.793103448275861	0.003498397065051415	P2RX7, KCNJ5, KCNB2, KCNJ3	27	182	15333	12.481074481074481	0.08388490179676256	0.03863677504903092	0.0356647154298747
UP_KEYWORDS	Potassium transport	3	10.344827586206897	0.0036129069679347097	KCNJ5, KCNB2, KCNJ3	27	53	15333	32.144654088050316	0.0865130892729069	0.03863677504903092	0.0356647154298747
UP_KEYWORDS	Potassium	3	10.344827586206897	0.004458089428734337	KCNJ5, KCNB2, KCNJ3	27	59	15333	28.875706214689263	0.10568874868514777	0.03863677504903092	0.0356647154298747
UP_KEYWORDS	Ion transport	4	13.793103448275861	0.008720118612889358	P2RX7, KCNJ5, KCNB2, KCNJ3	27	253	15333	8.978480456741325	0.19664537169626584	0.050488659350058446	0.04660491632313087
UP_KEYWORDS	Transport	5	17.24137931034483	0.009709357567318931	P2RX7, KCNJ5, KCNB2, KPNA6, KCNJ3	27	504	15333	5.633818342151675	0.21644969840777128	0.050488659350058446	0.04660491632313087
UP_KEYWORDS	Transmembrane helix	9	31.03448275862069	0.2952123303269759	P2RX7, KCNJ5, TENM3, PTPRZ1, KCNB2, GPR55, PCDH19, TRPM3, KCNJ3	27	3763	15333	1.3582248206218441	0.9998409779176279	0.9261206275566377	0.8548805792830502
UP_KEYWORDS	Transmembrane	9	31.03448275862069	0.2965891564298049	P2RX7, KCNJ5, TENM3, PTPRZ1, KCNB2, GPR55, PCDH19, TRPM3, KCNJ3	27	3768	15333	1.3564225053078556	0.9998485649258141	0.9261206275566377	0.8548805792830502
UP_KEYWORDS	Membrane	9	31.03448275862069	0.3205802172311438	P2RX7, KCNJ5, TENM3, PTPRZ1, KCNB2, GPR55, PCDH19, TRPM3, KCNJ3	27	3854	15333	1.3261546445251684	0.9999364003532578	0.9261206275566377	0.8548805792830502
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	6	20.689655172413794	0.7639319723888207	KCNJ5, TENM3, PTPRZ1, PCDH19, TRPM3, KCNJ3	24	3276	12438	0.9491758241758241	1.0	1.0	1.0

