Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0098505~G-rich strand telomeric DNA binding	3	2.6548672566371683	7.589520021356865E-4	CTC1, TERF2IP, HNRNPA1	104	7	16881	69.56456043956044	0.149319066846904	0.16165677645490123	0.16165677645490123
GOTERM_BP_DIRECT	GO:0001656~metanephros development	3	2.6548672566371683	0.01140036366485237	OSR2, NIPBL, RDH10	102	27	16792	18.29193899782135	0.999209798070284	1.0	1.0
GOTERM_BP_DIRECT	GO:0035115~embryonic forelimb morphogenesis	3	2.6548672566371683	0.015799591684126632	OSR2, NIPBL, RDH10	102	32	16792	15.433823529411764	0.9999509040164697	1.0	1.0
KEGG_PATHWAY	hsa04740:Olfactory transduction	7	6.1946902654867255	0.029413459099850242	OR52J3, OR5H2, OR10G2, OR13G1, OR2K2, OR13A1, OR2A2	42	399	6879	2.8734335839598995	0.8725428326834969	1.0	1.0
GOTERM_BP_DIRECT	GO:0010833~telomere maintenance via telomere lengthening	2	1.7699115044247788	0.0355554987032056	CTC1, TERF2IP	102	6	16792	54.87581699346405	0.9999999998397783	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	1.7699115044247788	0.0355554987032056	ANXA2, S100A10	102	6	16792	54.87581699346405	0.9999999998397783	1.0	1.0
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	12	10.619469026548673	0.03766224610519514	ZNF485, SF3B4, OSR2, DDX58, ERI1, WBP4, ZNF317, ZNF614, HNRNPA1, ZNF566, ZNF169, RBM44	104	985	16881	1.977469738383444	0.9997189635578313	1.0	1.0
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	3	2.6548672566371683	0.03909465272376857	ACSM4, BAAT, MORC2	102	52	16792	9.497737556561086	0.9999999999837812	1.0	1.0
GOTERM_BP_DIRECT	GO:0006900~membrane budding	2	1.7699115044247788	0.04135848301310262	ANXA2, S100A10	102	7	16792	47.036414565826334	0.999999999996269	1.0	1.0
GOTERM_BP_DIRECT	GO:0051099~positive regulation of binding	2	1.7699115044247788	0.04135848301310262	ANXA2, S100A10	102	7	16792	47.036414565826334	0.999999999996269	1.0	1.0
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	7	6.1946902654867255	0.043173601007825996	OR52J3, OR5H2, OR10G2, OR13G1, OR2K2, OR13A1, OR2A2	102	425	16792	2.7115109573241063	0.9999999999988544	1.0	1.0
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	7	6.1946902654867255	0.048406007759316666	OR52J3, OR5H2, OR10G2, OR13G1, OR2K2, OR13A1, OR2A2	104	431	16881	2.6362439764411922	0.9999742835928733	1.0	1.0
