Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	15	9.803921568627452	0.0013577368471115441	SLC24A1, RYR2, DNAH7, HPCA, PCDH12, PKD2, PCDH18, PCDH17, ACAN, FSTL5, PCLO, RAPGEF2, DCHS1, FAT3, PCDHB7	132	717	16881	2.675446937999239	0.26738357166530646	0.2448035794815595	0.2448035794815595
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	7	4.57516339869281	0.001386339773164551	TENM3, DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	130	158	16792	5.722687439143136	0.6597019294910667	1.0	1.0
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	5	3.2679738562091507	0.002138022528223227	TRPC7, TMEM37, SLC24A1, RYR2, TRPM3	132	70	16881	9.13474025974026	0.387454039452806	0.2448035794815595	0.2448035794815595
GOTERM_MF_DIRECT	GO:0044212~transcription regulatory region DNA binding	7	4.57516339869281	0.0063724222189727574	ZFHX3, SALL2, HIVEP1, ARID5B, ZNF821, IKZF2, SOX7	132	213	16881	4.202838241570636	0.7686802033740604	0.48642822938158714	0.48642822938158714
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	8	5.228758169934641	0.008591138479685727	ACAN, TNXB, COL1A2, LAMB2, EMILIN2, COL8A1, VIM, CKAP4	143	296	18224	3.444339444339444	0.7847229332714445	0.921064303351348	0.921064303351348
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	5	3.2679738562091507	0.010582751259217212	TMEM37, KCNJ5, KCNB2, SCN3A, KCNJ3	130	111	16792	5.818433818433819	0.999743046922326	1.0	1.0
GOTERM_CC_DIRECT	GO:0005911~cell-cell junction	6	3.9215686274509802	0.011231573261552158	FZD4, THEMIS, RAPGEF2, TEK, PCDH12, PKD2	143	172	18224	4.44560091071719	0.8660825902673487	0.921064303351348	0.921064303351348
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	5	3.2679738562091507	0.01339238594127619	TRPC7, TMEM37, SLC24A1, PKD2, TRPM3	130	119	16792	5.427278603749192	0.9999718000997857	1.0	1.0
GOTERM_BP_DIRECT	GO:0007088~regulation of mitotic nuclear division	3	1.9607843137254901	0.01447203888018203	BORA, FBXO5, MKI67	130	24	16792	16.146153846153847	0.9999879558954915	1.0	1.0
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	4	2.6143790849673203	0.015249483211340417	ACAN, TNXB, COL1A2, TECTA	132	67	16881	7.635006784260515	0.970371901247352	0.7831617408140387	0.7831617408140387
GOTERM_CC_DIRECT	GO:0048788~cytoskeleton of presynaptic active zone	2	1.3071895424836601	0.01552355567446092	PCLO, BSN	143	2	18224	127.44055944055944	0.9382625630912848	0.921064303351348	0.921064303351348
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	7	4.57516339869281	0.015764787643433087	SYNGAP1, GDNF, IRS1, RAPGEF2, TEK, RASAL2, UBA52	130	262	16792	3.451086318261891	0.9999956564572715	1.0	1.0
