Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Polymorphism	196	73.9622641509434	1.2073995083090368E-7	RSC1A1, IPO11, NPFFR1, IFT172, ACSM4, MKI67, SLA2, IKZF2, SLC4A5, LACTB, SYNGAP1, ZNF608, FBXO5, BSN, PELO, ZNF169, CHGB, ACVR1, GLCE, STARD9, MYO7B, ENTPD7, PASK, DOPEY1, FNDC1, PPP1R3C, ZW10, MAP1A, SPATA13, PRR14, TRANK1, OR10T2, PCDH12, ZBTB5, PPL, T, ERI1, VPS8, HIVEP1, SLC19A3, MAP7, ARSG, SCN3A, RALGDS, TRPM3, EXPH5, CTC1, EGR1, SPHKAP, FZD4, IQSEC1, LRBA, LARP4, COL1A2, GALNTL5, FAT3, DCHS1, PCDHB7, WDR49, RYR2, AHCTF1, ECM2, TENM3, TENM4, KIF14, SLC7A14, MIA3, PTPRF, LRRC31, NPAP1, SLC22A13, TRIM6, NIPBL, AKAP10, PCLO, MECOM, ZNF485, PARP4, TSC22D1, ANXA2, MRPS24, EMP1, BAAT, SERPINB8, MRPL44, OR52R1, TGIF2LX, PLIN4, EXOC4, CHST5, SFI1, SPAM1, TNXB, SYNPO2, HSPA14, RAD54B, FSTL5, TCOF1, NTF3, ZNF462, YTHDF2, SPRYD4, OR10G2, KCNB2, OR1L4, TRIP11, RIMBP3, TACC2, RERGL, IRS1, SALL2, SESN1, NUDT19, GGT1, TECTA, GUCY1A3, BORA, THEMIS, C2ORF16, LMO7, TEX2, SLFN14, PKP2, ZNF317, TBC1D25, FSCN3, FAM161B, C17ORF97, DNMT1, HPCA, RASAL2, ARHGAP20, GRK7, MORC2, GAS2L2, ZFHX3, OR5H2, HTR1A, ZFHX4, IGSF10, LRFN2, GDNF, LRIT1, P4HA3, MAP3K19, FAM175A, BRWD1, OR2A2, OR52J3, PKD2, AFF3, AIM1L, EMILIN2, STPG1, ABCC2, DDX58, OR13G1, C10ORF12, URB2, CKAP4, IL1RAPL1, TERF2IP, FAN1, SLC24A1, DNAH7, C1R, DNAH8, WBP4, KIAA1211, DNAH9, CLCN1, ACAN, C15ORF39, NWD1, HNRNPA1, MAPK6, KCNJ3, KCNJ5, ERAP2, KDM4D, LAMB2, SWT1, MGA, FOXJ2, ZNF804A, SOD2, TNRC6C, FAM179A, EIF3L, ASXL2, ZNF614, PTX3, TRIM38, TEK, EVI2B, RBM44	265	12043	20581	1.2639851851619746	3.139189637124673E-5	3.139238721603496E-5	2.94605480027405E-5
UP_KEYWORDS	Phosphoprotein	145	54.71698113207547	1.2174320878874775E-6	IPO11, RPL32, MYT1L, IRS1, RFESD, IKZF2, MKI67, SLA2, ZNF609, SYNGAP1, ZNF608, SALL2, SESN1, FBXO5, BSN, PELO, CHGB, KCMF1, ACVR1, GUCY1A3, SZT2, BORA, STARD9, THEMIS, MYO7B, ARID5B, LMO7, TEX2, PASK, EEF1A1, DOPEY1, DYNC1LI2, FNDC1, ZW10, MAP1A, SPATA13, PKP2, TBC1D25, UBA52, PRR14, DNMT1, PCDH12, RASAL2, ZBTB5, PPL, CACNA1G, ARHGAP20, ERI1, GRK7, VPS8, HIVEP1, MAP7, MORC2, SCN3A, EXPH5, ZFHX3, SPHKAP, IQSEC1, LRBA, LARP4, ZFHX4, IGSF10, HNRNPK, FAM175A, REL, DCHS1, BRWD1, RNF220, CREBZF, RYR2, AHCTF1, TENM4, BNC1, MCM9, SLC7A14, KIF14, MIA3, AFF3, PKD2, PTPRF, TUBA1C, AKAP10, NIPBL, PCLO, MECOM, PHACTR4, TRPC7, STPG1, PARP4, ABCC2, ANXA2, TSC22D1, DDX58, SPATS2, C10ORF12, BAAT, UTP18, CKAP4, HSH2D, PITPNM1, PLIN4, EXOC4, TERF2IP, RAPGEF2, FAN1, SF3B4, HEMGN, SLC24A1, USP15, C1R, DNAH8, SYNPO2, WBP4, KCNA3, KIAA1211, FAM117B, CLCN1, RAD54B, C15ORF39, TCOF1, ANKRD52, HNRNPA1, MAPK6, KCNJ3, ZNF462, KCNJ5, YTHDF2, LAMB2, KCNB2, MGA, FOXJ2, TNRC6C, BOP1, EIF3L, ASXL2, LNX1, TRIP11, RIMBP3, VIM, TACC2, TEK, TRIM38, EVI2B, RBM44, SPC25	265	8246	20581	1.365668431578032	3.16482444399635E-4	1.5826617142537209E-4	1.4852671472227226E-4
UP_SEQ_FEATURE	compositionally biased region:Poly-Ser	22	8.30188679245283	3.5459360782311303E-6	KCMF1, ZFHX3, IRS1, MGA, SWT1, SYNPO2, STARD9, FOXJ2, RASAL2, PCDH12, TEX2, AFF3, ZFHX4, ZNF609, PITPNM1, TCOF1, SALL2, ASXL2, HIVEP1, TBC1D25, BRWD1, RALGDS	262	509	20063	3.3097826902023124	0.00392472812640432	0.003935989046836555	0.003935989046836555
UP_SEQ_FEATURE	sequence variant	193	72.83018867924528	4.9456468098277413E-5	RSC1A1, IPO11, NPFFR1, IFT172, ACSM4, MKI67, SLA2, IKZF2, SLC4A5, LACTB, ZNF608, FBXO5, BSN, PELO, ZNF169, CHGB, ACVR1, GLCE, STARD9, MYO7B, ENTPD7, PASK, DOPEY1, FNDC1, PPP1R3C, ZW10, MAP1A, SPATA13, PRR14, TRANK1, OR10T2, PCDH12, ZBTB5, PPL, T, ERI1, VPS8, HIVEP1, SLC19A3, MAP7, ARSG, SCN3A, RALGDS, TRPM3, EXPH5, CTC1, EGR1, SPHKAP, FZD4, IQSEC1, LRBA, LARP4, COL1A2, GALNTL5, FAT3, DCHS1, PCDHB7, WDR49, RYR2, AHCTF1, ECM2, TENM3, TENM4, KIF14, SLC7A14, MIA3, PTPRF, LRRC31, NPAP1, SLC22A13, TRIM6, NIPBL, AKAP10, PCLO, MECOM, ZNF485, PARP4, TSC22D1, ANXA2, MRPS24, EMP1, BAAT, SERPINB8, MRPL44, OR52R1, TGIF2LX, PLIN4, EXOC4, CHST5, SFI1, SPAM1, TNXB, SYNPO2, HSPA14, RAD54B, FSTL5, TCOF1, NTF3, ZNF462, YTHDF2, SPRYD4, OR10G2, KCNB2, OR1L4, TRIP11, RIMBP3, TACC2, RERGL, IRS1, SALL2, SESN1, NUDT19, GGT1, GUCY1A3, BORA, THEMIS, C2ORF16, LMO7, TEX2, PDGFRL, SLFN14, PKP2, ZNF317, TBC1D25, FSCN3, FAM161B, C17ORF97, DNMT1, HPCA, RASAL2, ARHGAP20, GRK7, GAS2L2, ZFHX3, OR5H2, HTR1A, ZFHX4, IGSF10, LRFN2, GDNF, LRIT1, P4HA3, MAP3K19, FAM175A, BRWD1, OR2A2, OR52J3, PKD2, AFF3, AIM1L, EMILIN2, STPG1, ABCC2, DDX58, OR13G1, C10ORF12, URB2, CKAP4, IL1RAPL1, TERF2IP, FAN1, SLC24A1, DNAH7, C1R, DNAH8, WBP4, KIAA1211, DNAH9, CLCN1, ACAN, C15ORF39, NWD1, HNRNPA1, MAPK6, KCNJ3, ERAP2, KDM4D, LAMB2, SWT1, MGA, FOXJ2, ZNF804A, SOD2, TNRC6C, FAM179A, EIF3L, ASXL2, ZNF614, PTX3, TRIM38, TEK, EVI2B, RBM44	262	12443	20063	1.187754787786505	0.053371523884891525	0.027448339794543964	0.027448339794543964
UP_KEYWORDS	Coiled coil	64	24.150943396226417	5.584523615584044E-5	CREBZF, RYR2, MYT1L, KIF14, MIA3, PKD2, TRIM6, ZNF608, PCLO, SYNGAP1, EMILIN2, BSN, GUCY1A3, KCMF1, ABCC2, TSC22D1, STARD9, LMO7, CKAP4, LRRC37B, ZW10, MAP1A, EXOC4, EXOC3, FAM161B, TRIM54, SFI1, ANGPTL1, FAN1, SLC24A1, TNXB, DNAH7, DNAH8, TRANK1, KIAA1211, DNAH9, RASAL2, HSPA14, PPL, TCOF1, MAP7, ZNF821, SCN3A, MORC2, TRPM3, ZNF462, ZFHX3, IQSEC1, LAMB2, LRBA, MGA, C2ORF78, ZFHX4, TNRC6C, P4HA3, FAM175A, RIMBP3, TRIP11, PTX3, VIM, TACC2, TRIM38, RNF220, SPC25	265	3036	20581	1.6371889526934646	0.014415257603140885	0.004839920466839505	0.004542079207341689
UP_KEYWORDS	Calcium	26	9.811320754716983	1.6992410751312477E-4	SLC24A1, RYR2, C1R, HPCA, NRXN3, PCDH12, PKD2, PCDH18, PCDH17, CACNA1G, ACAN, FSTL5, PCLO, S100A16, ARSG, TRPM3, TRPC7, ANXA2, ENTPD7, TMEM37, COL1A2, PITPNM1, DCHS1, FAT3, S100A8, PCDHB7	265	877	20581	2.3024719777973797	0.0432221269298364	0.01104506698835311	0.010365370558300611
INTERPRO	IPR007087:Zinc finger, C2H2	23	8.679245283018867	0.001163858846149337	ZNF485, ZNF430, KCMF1, ZNF462, OSR2, EGR1, ZFHX3, BNC1, ZNF804A, ZBTB5, IKZF2, ZFHX4, ZNF609, ZNF608, MECOM, SALL2, ZNF879, ZNF614, HIVEP1, ZNF317, ZNF821, ZNF566, ZNF169	250	799	18559	2.1369561952440552	0.4478379431105439	0.5935680115361619	0.5935680115361619
UP_SEQ_FEATURE	compositionally biased region:Poly-Glu	17	6.415094339622642	0.0016638680640693637	SLC24A1, ZFHX3, C17ORF97, ECM2, SYNPO2, STARD9, KIAA1211, TEX2, PKD2, TRIM6, TCOF1, SALL2, TBC1D25, BRWD1, RALGDS, CHGB, PHACTR4	262	531	20063	2.451596440534207	0.8422535840082278	0.6156311837056646	0.6156311837056646
SMART	SM00181:EGF	10	3.7735849056603774	0.0021757952726217944	ACAN, TENM3, TNXB, TENM4, LAMB2, C1R, NRXN3, FAT3, TEK, TECTA	153	188	10057	3.496384369350577	0.2644386805790112	0.306787133439673	0.306787133439673
UP_KEYWORDS	Zinc-finger	38	14.339622641509434	0.0024042909290995333	ZNF430, DNMT1, MYT1L, BNC1, WBP4, ZBTB5, IKZF2, ZNF609, TRIM6, ZNF608, PCLO, MECOM, SALL2, VPS8, HIVEP1, ZNF821, FBXO5, BSN, ZNF566, MORC2, ZNF169, ZNF485, KCMF1, ZNF462, OSR2, EGR1, ZFHX3, ZNF804A, ZFHX4, ASXL2, ZNF879, ZNF317, LNX1, ZNF614, TRIM38, TRIM54, FAN1, RNF220	265	1781	20581	1.6570677910438274	0.465203152336498	0.11054266273913145	0.10374003733980028
