Annotation Cluster 1	Enrichment Score: 2.798120825203202
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell adhesion	13	8.49673202614379	2.3611441173216084E-4	TENM3, TNXB, LAMB2, PCDH12, PCDH18, PTPRF, PCDH17, EMILIN2, COL8A1, DCHS1, FAT3, SPAM1, PCDHB7	153	479	20581	3.650756614406375	0.04838037836110887	0.010665798015928775	0.010107113357951553
UP_SEQ_FEATURE	domain:Cadherin 6	6	3.9215686274509802	3.849720834699243E-4	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	150	83	20063	9.668915662650601	0.2545671732794619	0.08899321484816038	0.08817783198960394
UP_SEQ_FEATURE	domain:Cadherin 5	6	3.9215686274509802	0.0011238225789664009	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	150	105	20063	7.643047619047619	0.5759732833823612	0.14292812983592554	0.14161857890810947
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	15	9.803921568627452	0.0013577368471115441	SLC24A1, RYR2, DNAH7, HPCA, PCDH12, PKD2, PCDH18, PCDH17, ACAN, FSTL5, PCLO, RAPGEF2, DCHS1, FAT3, PCDHB7	132	717	16881	2.675446937999239	0.26738357166530646	0.2448035794815595	0.2448035794815595
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	7	4.57516339869281	0.001386339773164551	TENM3, DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	130	158	16792	5.722687439143136	0.6592295058014381	1.0	1.0
UP_SEQ_FEATURE	domain:Cadherin 4	6	3.9215686274509802	0.001498048468569547	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	150	112	20063	7.165357142857143	0.6814156425346019	0.14292812983592554	0.14161857890810947
UP_SEQ_FEATURE	domain:Cadherin 3	6	3.9215686274509802	0.001498048468569547	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	150	112	20063	7.165357142857143	0.6814156425346019	0.14292812983592554	0.14161857890810947
UP_SEQ_FEATURE	domain:Cadherin 1	6	3.9215686274509802	0.0016837083357635208	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	150	115	20063	6.978434782608695	0.7235574291683662	0.14292812983592554	0.14161857890810947
UP_SEQ_FEATURE	domain:Cadherin 2	6	3.9215686274509802	0.0016837083357635208	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	150	115	20063	6.978434782608695	0.7235574291683662	0.14292812983592554	0.14161857890810947
INTERPRO	IPR020894:Cadherin conserved site	6	3.9215686274509802	0.0018251574412594307	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	144	113	18559	6.843289085545722	0.4606911538984284	0.16049838953993126	0.1590738476209378
