Annotation Cluster 1	Enrichment Score: 1.8793090435690543
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR005821:Ion transport domain	7	2.6415094339622645	0.003066101982454475	TRPC7, RYR2, KCNB2, KCNA3, SCN3A, TRPM3, CACNA1G	250	106	18559	4.902377358490566	0.7911448172602547	0.6973932371291636	0.6973932371291636
UP_KEYWORDS	Voltage-gated channel	8	3.018867924528302	0.0032802043741790576	TMEM37, KCNJ5, KCNB2, KCNA3, SCN3A, CLCN1, KCNJ3, CACNA1G	265	150	20581	4.142088050314466	0.5743998421018544	0.11054266273913145	0.10374003733980028
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	7	2.6415094339622645	0.004243064711668186	TMEM37, KCNJ5, KCNB2, KCNA3, SCN3A, KCNJ3, CACNA1G	231	111	16792	4.584220584220584	0.9943666338688053	1.0	1.0
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	7	2.6415094339622645	0.005944313166423617	TRPC7, TMEM37, SLC24A1, IL1RAPL1, PKD2, TRPM3, CACNA1G	231	119	16792	4.276037687802393	0.9992981409971021	1.0	1.0
UP_KEYWORDS	Ion channel	12	4.528301886792453	0.006854282122548323	TRPC7, TMEM37, KCNJ5, RYR2, KCNB2, KCNA3, PKD2, SCN3A, TRPM3, CLCN1, KCNJ3, CACNA1G	265	359	20581	2.5960161875229937	0.8327472200464338	0.14793357649640776	0.1388299717889365
UP_KEYWORDS	Calcium transport	6	2.2641509433962264	0.008629242303563777	TRPC7, TMEM37, SLC24A1, RYR2, TRPM3, CACNA1G	265	98	20581	4.754948016942626	0.8949521531035588	0.14793357649640776	0.1388299717889365
UP_KEYWORDS	Calcium channel	5	1.8867924528301887	0.010241555295905152	TRPC7, TMEM37, RYR2, TRPM3, CACNA1G	265	66	20581	5.883647798742138	0.9311987817535591	0.14793357649640776	0.1388299717889365
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	5	1.8867924528301887	0.016173878479484958	TRPC7, TMEM37, SLC24A1, RYR2, TRPM3	235	70	16881	5.131003039513677	0.9974407315259866	1.0	1.0
INTERPRO	IPR027359:Voltage-dependent potassium channel, four helix bundle domain	4	1.509433962264151	0.03756204495141954	KCNA3, PKD2, SCN3A, CACNA1G	250	55	18559	5.398981818181818	0.9999999966879396	1.0	1.0
UP_KEYWORDS	Ion transport	14	5.283018867924529	0.07127886593095784	TRPC7, SLC24A1, KCNJ5, RYR2, KCNB2, KCNA3, PKD2, SLC4A5, CLCN1, CACNA1G, TMEM37, SCN3A, TRPM3, KCNJ3	265	642	20581	1.6936107682360548	0.9999999955312566	0.6244177056224851	0.5859920006611015
UP_KEYWORDS	Transport	29	10.943396226415095	0.3195265464031384	SLC24A1, RYR2, AHCTF1, IPO11, KCNA3, SLC7A14, MIA3, PKD2, CLCN1, SLC4A5, CACNA1G, TCOF1, VPS8, SLC19A3, HNRNPA1, SCN3A, TRPM3, KCNJ3, TRPC7, KCNJ5, ABCC2, KCNB2, DOPEY1, TMEM37, DYNC1LI2, PITPNM1, ZW10, EXOC4, EXOC3	265	1978	20581	1.138655398057882	1.0	1.0	0.9420849420849421

Annotation Cluster 2	Enrichment Score: 1.7917030885298384
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell adhesion	15	5.660377358490567	0.003701312547214518	TENM3, TNXB, LAMB2, NRXN3, PCDH12, PCDH18, PTPRF, PCDH17, PKP2, EMILIN2, COL8A1, DCHS1, FAT3, SPAM1, PCDHB7	265	479	20581	2.4320715326742035	0.6186839163838316	0.11054266273913145	0.10374003733980028
UP_SEQ_FEATURE	domain:Cadherin 6	6	2.2641509433962264	0.004564291828335372	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	262	83	20063	5.535638738158742	0.9937388203815662	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	domain:Cadherin 5	6	2.2641509433962264	0.012072769679622043	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	262	105	20063	4.375790621592148	0.9999985875395196	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	domain:Cadherin 3	6	2.2641509433962264	0.015600033756503394	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	262	112	20063	4.102303707742639	0.9999999732518676	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	domain:Cadherin 4	6	2.2641509433962264	0.015600033756503394	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	262	112	20063	4.102303707742639	0.9999999732518676	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	domain:Cadherin 1	6	2.2641509433962264	0.017301947499430686	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	262	115	20063	3.9952870892797874	0.9999999960745832	0.8729618965621846	0.8729618965621846
UP_SEQ_FEATURE	domain:Cadherin 2	6	2.2641509433962264	0.017301947499430686	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	262	115	20063	3.9952870892797874	0.9999999960745832	0.8729618965621846	0.8729618965621846
INTERPRO	IPR020894:Cadherin conserved site	6	2.2641509433962264	0.0181815575747238	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	250	113	18559	3.941734513274336	0.9999137210882814	0.8078433073837855	0.8078433073837855
INTERPRO	IPR002126:Cadherin	6	2.2641509433962264	0.02148957541391408	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	250	118	18559	3.77471186440678	0.9999845693947581	0.8347771171516224	0.8347771171516224
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	7	2.6415094339622645	0.021722986581478504	TENM3, DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	231	158	16792	3.220560030686613	0.9999999999975872	1.0	1.0
INTERPRO	IPR015919:Cadherin-like	6	2.2641509433962264	0.022915450274750417	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	250	120	18559	3.7118	0.9999926650955488	0.8347771171516224	0.8347771171516224
SMART	SM00112:CA	6	2.2641509433962264	0.031086144035927937	DCHS1, FAT3, PCDH12, PCDH18, PCDH17, PCDHB7	153	116	10057	3.3999323867478024	0.9883531498366078	1.0	1.0
INTERPRO	IPR013164:Cadherin, N-terminal	4	1.509433962264151	0.05680793588179244	PCDH12, PCDH18, PCDH17, PCDHB7	250	65	18559	4.568369230769231	0.9999999999998888	1.0	1.0

Annotation Cluster 3	Enrichment Score: 1.549317477963518
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	6	2.2641509433962264	0.005073083028706533	DYNC1LI2, DNAH7, DNAH8, STARD9, KIF14, DNAH9	235	80	16881	5.387553191489362	0.8445566771774631	0.618916129502197	0.618916129502197
UP_KEYWORDS	Motor protein	7	2.6415094339622645	0.007992358299182276	DYNC1LI2, DNAH7, DNAH8, STARD9, MYO7B, KIF14, DNAH9	265	135	20581	4.027030048916841	0.8758620440566127	0.14793357649640776	0.1388299717889365
UP_KEYWORDS	Dynein	4	1.509433962264151	0.008570072244278125	DYNC1LI2, DNAH7, DNAH8, DNAH9	265	33	20581	9.41383647798742	0.8933093428000488	0.14793357649640776	0.1388299717889365
UP_KEYWORDS	Cytoskeleton	25	9.433962264150944	0.011744529721022537	DNAH7, DNAH8, KIF14, DNAH9, PPL, TUBA1C, MAP7, FBXO5, BSN, GAS2L2, PARP4, DDX58, STARD9, MYO7B, CKAP4, DYNC1LI2, ZW10, MAP1A, TRIP11, FSCN3, TACC2, TEK, TRIM54, SFI1, S100A8	265	1138	20581	1.7061544583347152	0.9536554135245877	0.15770354376338877	0.14799871030102638
UP_SEQ_FEATURE	region of interest:AAA 6	3	1.1320754716981132	0.011963572576007655	DNAH7, DNAH8, DNAH9	262	13	20063	17.6714621256606	0.9999984033528605	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	region of interest:AAA 1	3	1.1320754716981132	0.01383876634931188	DNAH7, DNAH8, DNAH9	262	14	20063	16.409214830970555	0.9999998057995543	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	region of interest:AAA 2	3	1.1320754716981132	0.01383876634931188	DNAH7, DNAH8, DNAH9	262	14	20063	16.409214830970555	0.9999998057995543	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	region of interest:AAA 3	3	1.1320754716981132	0.01383876634931188	DNAH7, DNAH8, DNAH9	262	14	20063	16.409214830970555	0.9999998057995543	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	region of interest:AAA 4	3	1.1320754716981132	0.01383876634931188	DNAH7, DNAH8, DNAH9	262	14	20063	16.409214830970555	0.9999998057995543	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	region of interest:AAA 5	3	1.1320754716981132	0.01383876634931188	DNAH7, DNAH8, DNAH9	262	14	20063	16.409214830970555	0.9999998057995543	0.8658018734859384	0.8658018734859384
UP_SEQ_FEATURE	region of interest:Stalk	3	1.1320754716981132	0.01383876634931188	DNAH7, DNAH8, DNAH9	262	14	20063	16.409214830970555	0.9999998057995543	0.8658018734859384	0.8658018734859384
INTERPRO	IPR024317:Dynein heavy chain, P-loop containing D4 domain	3	1.1320754716981132	0.016778842718380885	DNAH7, DNAH8, DNAH9	250	15	18559	14.8472	0.999821301959981	0.8078433073837855	0.8078433073837855
INTERPRO	IPR024743:Dynein heavy chain, coiled coil stalk	3	1.1320754716981132	0.019008077820794955	DNAH7, DNAH8, DNAH9	250	16	18559	13.91925	0.9999438473901865	0.8078433073837855	0.8078433073837855
INTERPRO	IPR026983:Dynein heavy chain	3	1.1320754716981132	0.019008077820794955	DNAH7, DNAH8, DNAH9	250	16	18559	13.91925	0.9999438473901865	0.8078433073837855	0.8078433073837855
INTERPRO	IPR004273:Dynein heavy chain domain	3	1.1320754716981132	0.019008077820794955	DNAH7, DNAH8, DNAH9	250	16	18559	13.91925	0.9999438473901865	0.8078433073837855	0.8078433073837855
INTERPRO	IPR013602:Dynein heavy chain, domain-2	3	1.1320754716981132	0.019008077820794955	DNAH7, DNAH8, DNAH9	250	16	18559	13.91925	0.9999438473901865	0.8078433073837855	0.8078433073837855
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	5	1.8867924528301887	0.02513412606277449	DYNC1LI2, DNAH8, STARD9, KIF14, DNAH9	231	81	16792	4.487200042755598	0.9999999999999657	1.0	1.0
UP_KEYWORDS	Microtubule	9	3.3962264150943398	0.028504305956197122	TUBA1C, DYNC1LI2, DNAH7, DNAH8, MAP1A, KIF14, MAP7, DNAH9, TRIM54	265	280	20581	2.4963477088948784	0.9994572137908172	0.3087966478588022	0.28979377722133737
GOTERM_CC_DIRECT	GO:0005874~microtubule	9	3.3962264150943398	0.06208456115368296	TUBA1C, DYNC1LI2, DNAH7, DNAH8, MAP1A, KIF14, MAP7, DNAH9, TRIM54	248	311	18224	2.126542889741728	0.9999999731760795	1.0	1.0
INTERPRO	IPR003593:AAA+ ATPase domain	5	1.8867924528301887	0.11068830518350059	ABCC2, DNAH7, DNAH8, MCM9, DNAH9	250	136	18559	2.729264705882353	1.0	1.0	1.0
COG_ONTOLOGY	Cytoskeleton	3	1.1320754716981132	0.11843405338479046	DNAH7, DNAH8, DNAH9	40	31	2026	4.901612903225806	0.7796780994066139	0.9267803621801353	0.9267803621801353
SMART	SM00382:AAA	5	1.8867924528301887	0.15046466226178892	ABCC2, DNAH7, DNAH8, MCM9, DNAH9	153	136	10057	2.416618608227605	0.9999999998965848	1.0	1.0
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	5	1.8867924528301887	0.24892927073548068	DNAH7, DNAH8, STARD9, KIF14, DNAH9	235	183	16881	1.9626787582839202	1.0	1.0	1.0
UP_KEYWORDS	Cilium	5	1.8867924528301887	0.2749759012805253	DNAH7, DNAH8, IFT172, DNAH9, PKD2	265	207	20581	1.8759456749612615	1.0	1.0	0.9420849420849421
KEGG_PATHWAY	hsa05016:Huntington's disease	4	1.509433962264151	0.41001027546954677	DNAH7, DNAH8, DNAH9, SOD2	84	192	6879	1.7061011904761902	1.0	1.0	1.0

Annotation Cluster 4	Enrichment Score: 1.5474637798304027
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00181:EGF	10	3.7735849056603774	0.0021757952726217944	ACAN, TENM3, TNXB, TENM4, LAMB2, C1R, NRXN3, FAT3, TEK, TECTA	153	188	10057	3.496384369350577	0.2644386805790112	0.306787133439673	0.306787133439673
UP_SEQ_FEATURE	domain:EGF-like 3	6	2.2641509433962264	0.003124937971311193	TENM3, TNXB, TENM4, NRXN3, FAT3, TEK	262	76	20063	6.04550020088389	0.9689135218788322	0.8658018734859384	0.8658018734859384
INTERPRO	IPR000742:Epidermal growth factor-like domain	10	3.7735849056603774	0.004102313159583315	ACAN, TENM3, TNXB, TENM4, LAMB2, C1R, NRXN3, FAT3, TEK, TECTA	250	231	18559	3.2136796536796535	0.8771121185468257	0.6973932371291636	0.6973932371291636
UP_SEQ_FEATURE	domain:EGF-like 2	6	2.2641509433962264	0.006129011668874357	TENM3, TNXB, TENM4, NRXN3, FAT3, TEK	262	89	20063	5.162449609743545	0.9989060815458125	0.8658018734859384	0.8658018734859384
INTERPRO	IPR013032:EGF-like, conserved site	8	3.018867924528302	0.018115880747236815	ACAN, TENM3, TNXB, TENM4, LAMB2, C1R, FAT3, TEK	250	199	18559	2.984361809045226	0.9999107269615545	0.8078433073837855	0.8078433073837855
UP_KEYWORDS	EGF-like domain	8	3.018867924528302	0.03434474974420905	ACAN, TENM3, TNXB, TENM4, C1R, NRXN3, FAT3, TEK	265	238	20581	2.6105596955763435	0.9998868257608968	0.3571853973397741	0.33520475750348033
UP_SEQ_FEATURE	domain:EGF-like 8	3	1.1320754716981132	0.044640862398407054	TENM3, TNXB, TENM4	262	26	20063	8.8357310628303	1.0	0.9196818512830934	0.9196818512830934
UP_SEQ_FEATURE	domain:EGF-like 7	3	1.1320754716981132	0.051054097209931856	TENM3, TNXB, TENM4	262	28	20063	8.204607415485277	1.0	0.9196818512830934	0.9196818512830934
UP_SEQ_FEATURE	domain:EGF-like 1	5	1.8867924528301887	0.0717085529523094	TENM3, TENM4, NRXN3, FAT3, TEK	262	120	20063	3.190680661577608	1.0	1.0	1.0
UP_SEQ_FEATURE	domain:EGF-like 5	3	1.1320754716981132	0.10347502056930394	TENM3, TNXB, TENM4	262	42	20063	5.469738276990186	1.0	1.0	1.0
UP_SEQ_FEATURE	domain:EGF-like 6	3	1.1320754716981132	0.11182709104240474	TENM3, TNXB, TENM4	262	44	20063	5.221113809854268	1.0	1.0	1.0
UP_SEQ_FEATURE	domain:EGF-like 4	3	1.1320754716981132	0.17890697568535835	TENM3, TNXB, TENM4	262	59	20063	3.8937119937896236	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0050839~cell adhesion molecule binding	3	1.1320754716981132	0.2122405709948049	TENM3, TENM4, NRXN3	235	62	16881	3.4758407687028137	1.0	1.0	1.0

Annotation Cluster 5	Enrichment Score: 1.3659944748649424
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Voltage-gated channel	8	3.018867924528302	0.0032802043741790576	TMEM37, KCNJ5, KCNB2, KCNA3, SCN3A, CLCN1, KCNJ3, CACNA1G	265	150	20581	4.142088050314466	0.5743998421018544	0.11054266273913145	0.10374003733980028
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	7	2.6415094339622645	0.004243064711668186	TMEM37, KCNJ5, KCNB2, KCNA3, SCN3A, KCNJ3, CACNA1G	231	111	16792	4.584220584220584	0.9943666338688053	1.0	1.0
UP_SEQ_FEATURE	short sequence motif:Selectivity filter	4	1.509433962264151	0.03807138461156353	KCNJ5, KCNB2, KCNA3, KCNJ3	262	57	20063	5.373777956341235	1.0	0.9196818512830934	0.9196818512830934
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	4	1.509433962264151	0.10259499881711077	KCNJ5, KCNB2, KCNA3, KCNJ3	231	82	16792	3.545982472811741	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	4	1.509433962264151	0.11731038764761045	KCNJ5, KCNB2, KCNA3, KCNJ3	248	88	18224	3.340175953079179	0.9999999999999982	1.0	1.0
UP_KEYWORDS	Potassium transport	4	1.509433962264151	0.18693377664161864	KCNJ5, KCNB2, KCNA3, KCNJ3	265	116	20581	2.678074170461939	1.0	1.0	0.9420849420849421
UP_KEYWORDS	Potassium	4	1.509433962264151	0.22999002713425598	KCNJ5, KCNB2, KCNA3, KCNJ3	265	129	20581	2.4081907269270144	1.0	1.0	0.9420849420849421

Annotation Cluster 6	Enrichment Score: 1.2943442785693318
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR007087:Zinc finger, C2H2	23	8.679245283018867	0.001163858846149337	ZNF485, ZNF430, KCMF1, ZNF462, OSR2, EGR1, ZFHX3, BNC1, ZNF804A, ZBTB5, IKZF2, ZFHX4, ZNF609, ZNF608, MECOM, SALL2, ZNF879, ZNF614, HIVEP1, ZNF317, ZNF821, ZNF566, ZNF169	250	799	18559	2.1369561952440552	0.4478379431105439	0.5935680115361619	0.5935680115361619
UP_KEYWORDS	Zinc-finger	38	14.339622641509434	0.0024042909290995333	ZNF430, DNMT1, MYT1L, BNC1, WBP4, ZBTB5, IKZF2, ZNF609, TRIM6, ZNF608, PCLO, MECOM, SALL2, VPS8, HIVEP1, ZNF821, FBXO5, BSN, ZNF566, MORC2, ZNF169, ZNF485, KCMF1, ZNF462, OSR2, EGR1, ZFHX3, ZNF804A, ZFHX4, ASXL2, ZNF879, ZNF317, LNX1, ZNF614, TRIM38, TRIM54, FAN1, RNF220	265	1781	20581	1.6570677910438274	0.465203152336498	0.11054266273913145	0.10374003733980028
