Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR001751:S100/Calbindin-D9k, conserved site	2	18.181818181818183	0.011741855538903794	S100A8, S100A10	10	25	19066	152.52800000000002	0.33860017564772704	0.2039201814087045	0.2039201814087045
SMART	SM01394:SM01394	2	18.181818181818183	0.013498982531737256	S100A8, S100A10	6	28	10317	122.82142857142857	0.15048617653909213	0.16198779038084707	0.16198779038084707
INTERPRO	IPR013787:S100/CaBP-9k-type, calcium binding, subdomain	2	18.181818181818183	0.013609135410357505	S100A8, S100A10	10	29	19066	131.4896551724138	0.3809632257244757	0.2039201814087045	0.2039201814087045
UP_KW_BIOLOGICAL_PROCESS	KW-0552~Olfaction	3	27.27272727272727	0.014894605328761508	OR52J3, OR10G2, OR13A1	6	447	11111	12.428411633109619	0.1393492059760787	0.14140822853329466	0.14140822853329466
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	3	27.27272727272727	0.01620863203867899	OR52J3, OR10G2, OR13A1	10	433	19349	13.405773672055428	0.6428180691933342	0.5525324390894264	0.5525324390894264
INTERPRO	IPR000725:Olfactory receptor	3	27.27272727272727	0.01747887269217467	OR52J3, OR10G2, OR13A1	10	444	19066	12.882432432432433	0.4605310853217578	0.2039201814087045	0.2039201814087045
GOTERM_BP_DIRECT	GO:0008219~cell death	2	18.181818181818183	0.017540712352045282	PARP4, EMP1	10	38	19349	101.83684210526316	0.6720425934666838	0.5525324390894264	0.5525324390894264
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	3	27.27272727272727	0.018157329435729203	OR52J3, OR10G2, OR13A1	10	446	18770	12.625560538116591	0.35582234022618	0.30046436816907923	0.30046436816907923
UP_KW_BIOLOGICAL_PROCESS	KW-0716~Sensory transduction	3	27.27272727272727	0.02828164570665893	OR52J3, OR10G2, OR13A1	6	626	11111	8.874600638977636	0.24940777797175318	0.14140822853329466	0.14140822853329466
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	6	54.54545454545454	0.043114380900844906	OR52J3, OR10G2, C1R, EMP1, OR13A1, LRRC37B	11	4372	20406	2.545870415037844	0.9152457373229791	0.6396148422879347	0.6396148422879347
GOTERM_MF_DIRECT	GO:0048306~calcium-dependent protein binding	2	18.181818181818183	0.04326693855223808	S100A8, S100A10	10	92	18770	40.80434782608696	0.6540775348750298	0.30046436816907923	0.30046436816907923
INTERPRO	IPR000276:G protein-coupled receptor, rhodopsin-like	3	27.27272727272727	0.044189425848198786	OR52J3, OR10G2, OR13A1	10	731	19066	7.824623803009575	0.7944042756293213	0.3225383002829898	0.3225383002829898
INTERPRO	IPR017452:GPCR, rhodopsin-like, 7TM	3	27.27272727272727	0.04607690004042712	OR52J3, OR10G2, OR13A1	10	748	19066	7.646791443850267	0.8081473515730022	0.3225383002829898	0.3225383002829898
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	3	27.27272727272727	0.04694510361148149	C1R, S100A8, S100A10	10	744	18770	7.568548387096774	0.6846230084934322	0.30046436816907923	0.30046436816907923
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	3	27.27272727272727	0.05007739469484654	OR52J3, OR10G2, OR13A1	10	771	18770	7.303501945525292	0.7085813480911867	0.30046436816907923	0.30046436816907923
KEGG_PATHWAY	hsa04740:Olfactory transduction	3	27.27272727272727	0.05141102694049169	OR52J3, OR10G2, OR13A1	8	440	8112	6.913636363636364	0.6520142682807551	0.8270661156472846	0.8270661156472846
