Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	4	4.545454545454546	0.003093867435801931	TRPC7, SLC24A1, PKD2, TRPM3	79	70	18770	13.576853526220615	0.38521959752560553	0.4857371874209032	0.4857371874209032
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	32	36.36363636363637	0.009636693172749455	SLC24A1, USP15, TENM3, NPFFR1, KIF14, SLC7A14, OR10T2, HSPA14, PKD2, PCDH18, PTPRF, PCDH17, SYNGAP1, GAS2L2, SCN3A, TRPM3, TECTA, KCNJ3, TRPC7, KCMF1, KCNJ5, ERAP2, FZD4, KCNB2, ZNF804A, OR1L4, OR52R1, PLIN4, RAPGEF2, FAT3, VIM, SPAM1	86	4959	20164	1.5129832064791757	0.7749083650588362	0.5531757263671226	0.5531757263671226
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	15	17.045454545454543	0.010041453243896176	ZNF430, CREBZF, TSC22D1, MYT1L, MGA, ZBTB5, STOX2, ZNF608, MECOM, SALL2, ZNF879, REL, HIVEP1, ZNF821, SOX7	81	1713	19349	2.0917385570041724	0.9945800673761765	1.0	1.0
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	9	10.227272727272728	0.011970385042717184	FSTL5, PCLO, DNAH7, GLCE, RAPGEF2, FAT3, PKD2, PCDH18, PCDH17	79	744	18770	2.8741322988975093	0.8490322896490866	0.4859563069349585	0.4859563069349585
GOTERM_BP_DIRECT	GO:1904071~presynaptic active zone assembly	2	2.272727272727273	0.012353164022420792	PCLO, PCDH17	81	3	19349	159.25102880658434	0.9983816707291322	1.0	1.0
GOTERM_BP_DIRECT	GO:0099625~ventricular cardiac muscle cell membrane repolarization	2	2.272727272727273	0.012353164022420792	KCNJ5, KCNJ3	81	3	19349	159.25102880658434	0.9983816707291322	1.0	1.0
GOTERM_BP_DIRECT	GO:0001658~branching involved in ureteric bud morphogenesis	3	3.4090909090909087	0.012471318526687135	GDNF, GREB1L, PKD2	81	41	19349	17.478771454381206	0.9984787373482726	1.0	1.0
GOTERM_MF_DIRECT	GO:0005261~cation channel activity	3	3.4090909090909087	0.01258837265988	PKD2, SCN3A, TRPM3	79	41	18770	17.38499536894103	0.8631568048313311	0.4859563069349585	0.4859563069349585
GOTERM_CC_DIRECT	GO:1901588~dendritic microtubule	2	2.272727272727273	0.01259368755442039	MAP1A, ZNF804A	86	3	20164	156.31007751937983	0.8579737909718798	0.5531757263671226	0.5531757263671226
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	4	4.545454545454546	0.01263166575546393	TRPC7, SLC24A1, PKD2, TRPM3	81	117	19349	8.166719425978686	0.9986012381872089	1.0	1.0
