Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	57	57.57575757575758	1.167419591166843E-6	CREBZF, TENM3, MYT1L, KIF14, AFF3, PKD2, PTPRF, ZNF608, PCLO, SYNGAP1, SALL2, MECOM, TECTA, KCMF1, PARP4, BORA, TSC22D1, GLCE, STARD9, C2ORF16, LRRC37B, FNDC1, MAP1A, SPATA13, PLIN4, RAPGEF2, FAM161B, FAN1, HEMGN, USP15, TNXB, GREB1L, RASAL2, ZBTB5, HSPA14, PCDH18, FAM117B, PCDH17, STOX2, ARHGAP20, HIVEP1, ZNF821, GAS2L2, SCN3A, TRPM3, S100A10, KCNJ3, ZNF462, KDM4D, KCNB2, C2ORF78, MGA, TNRC6C, IGSF10, FAT3, VIM, EVI2B	99	6819	20406	1.7229665773440521	8.075286018183192E-4	8.078543570874554E-4	8.055195179051218E-4
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	44	44.44444444444444	2.872721965342261E-4	HEMGN, SLC24A1, TENM3, ECM2, DNAH7, MYT1L, GREB1L, RASAL2, ZBTB5, AFF3, PKD2, PCDH18, FAM117B, PCDH17, STOX2, ARHGAP20, ZNF608, PCLO, SYNGAP1, MECOM, HIVEP1, ZNF821, GAS2L2, SCN3A, TRPM3, CHGB, KCMF1, KCNB2, C2ORF78, MGA, STARD9, ZNF804A, C2ORF16, UTP18, TNRC6C, IGSF10, FNDC1, MAP1A, SPATA13, PLIN4, RAPGEF2, FAM161B, EVI2B, FAN1	99	5560	20406	1.6311750599520385	0.1803033278991294	0.08502374938385492	0.0847780160041328
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	37	37.37373737373738	3.6860006958318607E-4	SLC24A1, OR52J3, TENM3, NPFFR1, TNXB, ECM2, C1R, SLC7A14, OR10T2, PKD2, PCDH18, PTPRF, PCDH17, FSTL5, NTF3, SCN3A, TECTA, KCNJ3, TRPC7, OR10G2, ERAP2, FZD4, LAMB2, KCNB2, GLCE, EMP1, OR1L4, LRRC37B, IGSF10, OR52R1, FNDC1, GDNF, LRIT1, FAT3, EVI2B, OR13A1, SPAM1	99	4372	20406	1.7443926917851895	0.2251751454873081	0.08502374938385492	0.0847780160041328
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	12	12.121212121212121	7.004300585636736E-4	FSTL5, PCLO, DNAH7, C1R, GLCE, RAPGEF2, FAT3, PKD2, PCDH18, PCDH17, S100A8, S100A10	89	744	18770	3.401594780717651	0.11104928142862602	0.11767224983869716	0.11767224983869716
UP_SEQ_FEATURE	DOMAIN:C2H2-type	10	10.1010101010101	0.001222937249059569	KCMF1, ZNF430, ZNF462, ZNF608, SALL2, MECOM, HIVEP1, ZNF804A, ZNF821, ZBTB5	99	544	20406	3.788992869875223	0.5712110622658556	0.21156814408730545	0.21095667546277566
UP_SEQ_FEATURE	INTRAMEM:Pore-forming	4	4.040404040404041	0.0015883115209968774	KCNJ5, PKD2, SCN3A, KCNJ3	99	48	20406	17.17676767676768	0.6671240442566422	0.21982231450596784	0.21918698989756907
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	38	38.38383838383838	0.0016719544131698454	SLC24A1, USP15, OR52J3, TENM3, NPFFR1, KIF14, SLC7A14, OR10T2, HSPA14, PKD2, PCDH18, PTPRF, PCDH17, SYNGAP1, GAS2L2, SCN3A, TRPM3, S100A10, TECTA, KCNJ3, TRPC7, KCMF1, KCNJ5, OR10G2, ERAP2, FZD4, KCNB2, ZNF804A, EMP1, OR1L4, OR52R1, PLIN4, RAPGEF2, FAT3, VIM, OR13A1, S100A8, SPAM1	97	4959	20164	1.592921752182328	0.23616993602206626	0.2691846605203451	0.2691846605203451
GOTERM_BP_DIRECT	GO:0014002~astrocyte development	3	3.0303030303030303	0.002780612234966802	LAMB2, VIM, S100A8	91	17	19349	37.52230122818358	0.7920483586144985	1.0	1.0
UP_SEQ_FEATURE	MOTIF:Selectivity filter	4	4.040404040404041	0.003781985259620203	KCNJ5, KCNB2, PKD2, KCNJ3	99	65	20406	12.684382284382284	0.9273495208644248	0.43618896660953005	0.43492830485632333
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	4	4.040404040404041	0.00434600900873151	TRPC7, SLC24A1, PKD2, TRPM3	89	70	18770	12.051364365971107	0.5189195177313908	0.36506475673344685	0.36506475673344685
