Annotation Cluster 1	Enrichment Score: 1.3012196773082008
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0552~Olfaction	3	27.27272727272727	0.014894605328761508	OR52J3, OR10G2, OR13A1	6	447	11111	12.428411633109619	0.1393492059760787	0.14140822853329466	0.14140822853329466
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	3	27.27272727272727	0.01620863203867899	OR52J3, OR10G2, OR13A1	10	433	19349	13.405773672055428	0.6428180691933342	0.5525324390894264	0.5525324390894264
INTERPRO	IPR000725:Olfactory receptor	3	27.27272727272727	0.01747887269217467	OR52J3, OR10G2, OR13A1	10	444	19066	12.882432432432433	0.4605310853217578	0.2039201814087045	0.2039201814087045
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	3	27.27272727272727	0.018157329435729203	OR52J3, OR10G2, OR13A1	10	446	18770	12.625560538116591	0.35582234022618	0.30046436816907923	0.30046436816907923
UP_KW_BIOLOGICAL_PROCESS	KW-0716~Sensory transduction	3	27.27272727272727	0.02828164570665893	OR52J3, OR10G2, OR13A1	6	626	11111	8.874600638977636	0.24940777797175318	0.14140822853329466	0.14140822853329466
INTERPRO	IPR000276:G protein-coupled receptor, rhodopsin-like	3	27.27272727272727	0.044189425848198786	OR52J3, OR10G2, OR13A1	10	731	19066	7.824623803009575	0.7944042756293213	0.3225383002829898	0.3225383002829898
INTERPRO	IPR017452:GPCR, rhodopsin-like, 7TM	3	27.27272727272727	0.04607690004042712	OR52J3, OR10G2, OR13A1	10	748	19066	7.646791443850267	0.8081473515730022	0.3225383002829898	0.3225383002829898
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	3	27.27272727272727	0.05007739469484654	OR52J3, OR10G2, OR13A1	10	771	18770	7.303501945525292	0.7085813480911867	0.30046436816907923	0.30046436816907923
KEGG_PATHWAY	hsa04740:Olfactory transduction	3	27.27272727272727	0.05141102694049169	OR52J3, OR10G2, OR13A1	8	440	8112	6.913636363636364	0.6520142682807551	0.8270661156472846	0.8270661156472846
UP_KW_MOLECULAR_FUNCTION	KW-0297~G-protein coupled receptor	3	27.27272727272727	0.0654692330814952	OR52J3, OR10G2, OR13A1	7	849	11639	5.875315497223625	0.5562654477929889	0.45011907559356923	0.45011907559356923
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=7	3	27.27272727272727	0.07379147389763159	OR52J3, OR10G2, OR13A1	11	934	20406	5.958536110570372	0.9863324279103536	0.6396148422879347	0.6396148422879347
UP_KW_MOLECULAR_FUNCTION	KW-0807~Transducer	3	27.27272727272727	0.07501984593226153	OR52J3, OR10G2, OR13A1	7	916	11639	5.44557080474111	0.6077264932328781	0.45011907559356923	0.45011907559356923
UP_SEQ_FEATURE	TRANSMEM:Helical; Name=6	3	27.27272727272727	0.08415957424604413	OR52J3, OR10G2, OR13A1	11	1007	20406	5.526586620926243	0.9927237210585433	0.6396148422879347	0.6396148422879347
