Annotation Cluster 1	Enrichment Score: 1.4255116465082607
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	3	27.27272727272727	0.01620863203867899	OR52J3, OR10G2, OR13A1	10	433	19349	13.405773672055428	0.6486074996806444	0.5525324390894264	0.5525324390894264
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	3	27.27272727272727	0.018157329435729203	OR52J3, OR10G2, OR13A1	10	446	18770	12.625560538116591	0.35582234022618	0.30046436816907923	0.30046436816907923
GOTERM_MF_DIRECT	GO:0004930~G-protein coupled receptor activity	3	27.27272727272727	0.05007739469484654	OR52J3, OR10G2, OR13A1	10	771	18770	7.303501945525292	0.7085813480911867	0.30046436816907923	0.30046436816907923
KEGG_PATHWAY	hsa04740:Olfactory transduction	3	27.27272727272727	0.05141102694049169	OR52J3, OR10G2, OR13A1	8	440	8112	6.913636363636364	0.633154357047945	0.8270661156472846	0.8270661156472846
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	3	27.27272727272727	0.09838874605874502	OR52J3, OR10G2, OR13A1	10	1165	19349	4.982575107296137	0.9986779839346706	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.8858512156108146
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	3	27.27272727272727	0.04694510361148149	C1R, S100A8, S100A10	10	744	18770	7.568548387096774	0.6846230084934322	0.30046436816907923	0.30046436816907923
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	4	36.36363636363637	0.08829587980413249	PARP4, C1R, S100A8, S100A10	11	2217	20164	3.3073358756714644	0.9008373927609306	0.733215923791159	0.733215923791159
GOTERM_CC_DIRECT	GO:0005615~extracellular space	3	27.27272727272727	0.2437050585627703	C1R, S100A8, S100A10	11	1911	20164	2.877693734836592	0.9990725726707109	1.0	1.0
GOTERM_CC_DIRECT	GO:0005576~extracellular region	3	27.27272727272727	0.283269524412027	C1R, S100A8, S100A10	11	2117	20164	2.5976725211491387	0.9997579546299165	1.0	1.0

