Annotation Cluster 1	Enrichment Score: 1.8283776988705356
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	INTRAMEM:Pore-forming	4	4.545454545454546	0.0011270939435998812	KCNJ5, PKD2, SCN3A, KCNJ3	88	48	20406	19.32386363636364	0.5270721546018566	0.14967807571006422	0.14900181934390427
UP_SEQ_FEATURE	MOTIF:Selectivity filter	4	4.545454545454546	0.0027019244824038773	KCNJ5, KCNB2, PKD2, KCNJ3	88	65	20406	14.26993006993007	0.834122541070775	0.2990129760526958	0.2976620138114938
UP_KW_MOLECULAR_FUNCTION	KW-0851~Voltage-gated channel	5	5.681818181818182	0.005927268574980792	KCNJ5, KCNB2, PKD2, SCN3A, KCNJ3	57	151	11639	6.761357034971534	0.21630948413795548	0.160034611108573	0.160034611108573
UP_KW_MOLECULAR_FUNCTION	KW-0407~Ion channel	7	7.954545454545454	0.007806566395540147	TRPC7, KCNJ5, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	57	364	11639	3.926788124156545	0.27481253365225644	0.160034611108573	0.160034611108573
GOTERM_MF_DIRECT	GO:0005261~cation channel activity	3	3.4090909090909087	0.01258837265988	PKD2, SCN3A, TRPM3	79	41	18770	17.38499536894103	0.8631568048313311	0.4859563069349585	0.4859563069349585
INTERPRO	IPR005821:Ion transport domain	4	4.545454545454546	0.013006737277188898	TRPC7, KCNB2, SCN3A, TRPM3	85	111	19066	8.083094859565447	0.9474355244487737	0.9869839665075123	0.9869839665075123
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	4	4.545454545454546	0.018114747841671906	KCNJ5, KCNB2, SCN3A, KCNJ3	81	134	19349	7.130643080891836	0.9999199538781937	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0633~Potassium transport	4	4.545454545454546	0.02134076158648541	KCNJ5, KCNB2, PKD2, KCNJ3	55	122	11111	6.62354694485842	0.5400252362314322	0.25608913903782493	0.25608913903782493
UP_SEQ_FEATURE	DOMAIN:Ion_trans	3	3.4090909090909087	0.027949077636082613	TRPC7, SCN3A, TRPM3	88	61	20406	11.404247391952309	0.9999999933087526	1.0	0.9969834087481146
UP_KW_LIGAND	KW-0630~Potassium	4	4.545454545454546	0.034545437295964945	KCNJ5, KCNB2, PKD2, KCNJ3	36	140	6804	5.3999999999999995	0.32071780252944637	0.24445669848127705	0.24445669848127705
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	3.4090909090909087	0.037644239034847884	KCNJ5, KCNB2, KCNJ3	81	74	19349	9.684184184184184	0.9999999974811886	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0406~Ion transport	8	9.090909090909092	0.039246222454863006	TRPC7, KCNJ5, SLC24A1, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	55	659	11111	2.452421023589461	0.7633886213532722	0.353216002093767	0.353216002093767
INTERPRO	IPR027359:Voltage-dependent potassium channel, four helix bundle domain	3	3.4090909090909087	0.043266741886688095	KCNB2, PKD2, SCN3A	85	75	19066	8.972235294117645	0.9999523628217255	1.0	1.0
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	3	3.4090909090909087	0.04591719097876655	KCNJ5, KCNB2, KCNJ3	86	81	20164	8.683893195521103	0.9992817843216489	0.7935021863210237	0.7935021863210237

Annotation Cluster 2	Enrichment Score: 1.7924883273609924
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	4	4.545454545454546	0.003093867435801931	TRPC7, SLC24A1, PKD2, TRPM3	79	70	18770	13.576853526220615	0.38521959752560553	0.4857371874209032	0.4857371874209032
UP_KW_MOLECULAR_FUNCTION	KW-0407~Ion channel	7	7.954545454545454	0.007806566395540147	TRPC7, KCNJ5, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	57	364	11639	3.926788124156545	0.27481253365225644	0.160034611108573	0.160034611108573
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	4	4.545454545454546	0.01263166575546393	TRPC7, SLC24A1, PKD2, TRPM3	81	117	19349	8.166719425978686	0.9985833434552452	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0109~Calcium transport	4	4.545454545454546	0.012933432888244034	TRPC7, SLC24A1, PKD2, TRPM3	55	101	11111	8.0007200720072	0.37414760465211383	0.2328017919883926	0.2328017919883926
UP_KW_BIOLOGICAL_PROCESS	KW-0406~Ion transport	8	9.090909090909092	0.039246222454863006	TRPC7, KCNJ5, SLC24A1, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	55	659	11111	2.452421023589461	0.7633886213532722	0.353216002093767	0.353216002093767
UP_KW_MOLECULAR_FUNCTION	KW-0107~Calcium channel	3	3.4090909090909087	0.04119157484738197	TRPC7, PKD2, TRPM3	57	67	11639	9.142969363707776	0.8217598641932394	0.5629515229142202	0.5629515229142202
UP_KW_LIGAND	KW-0106~Calcium	10	11.363636363636363	0.044446672451141284	TRPC7, SLC24A1, FSTL5, PCLO, GLCE, FAT3, PKD2, PCDH18, TRPM3, PCDH17	36	942	6804	2.0063694267515926	0.39353712409961594	0.24445669848127705	0.24445669848127705

Annotation Cluster 3	Enrichment Score: 1.740212990329996
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	31	35.22727272727273	0.003374067389492203	SLC24A1, TENM3, NPFFR1, TNXB, ECM2, SLC7A14, OR10T2, PKD2, PCDH18, PTPRF, PCDH17, FSTL5, NTF3, SCN3A, TECTA, KCNJ3, TRPC7, ERAP2, FZD4, LAMB2, KCNB2, GLCE, OR1L4, IGSF10, OR52R1, FNDC1, GDNF, LRIT1, FAT3, EVI2B, SPAM1	88	4372	20406	1.6442079763786077	0.8939843832348763	0.32005439237468897	0.31860836349347804
