Annotation Cluster 1	Enrichment Score: 1.5850056366419225
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	INTRAMEM:Pore-forming	4	4.040404040404041	0.0015883115209968774	KCNJ5, PKD2, SCN3A, KCNJ3	99	48	20406	17.17676767676768	0.6671240442566422	0.21982231450596784	0.21918698989756907
UP_SEQ_FEATURE	MOTIF:Selectivity filter	4	4.040404040404041	0.003781985259620203	KCNJ5, KCNB2, PKD2, KCNJ3	99	65	20406	12.684382284382284	0.9273495208644248	0.43618896660953005	0.43492830485632333
UP_KW_MOLECULAR_FUNCTION	KW-0851~Voltage-gated channel	5	5.05050505050505	0.008966425838095524	KCNJ5, KCNB2, PKD2, SCN3A, KCNJ3	64	151	11639	6.021833609271523	0.3332292377091043	0.30660959272827776	0.30660959272827776
UP_KW_MOLECULAR_FUNCTION	KW-0407~Ion channel	7	7.07070707070707	0.01362709301014568	TRPC7, KCNJ5, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	64	364	11639	3.4972956730769234	0.460674359053715	0.30660959272827776	0.30660959272827776
GOTERM_MF_DIRECT	GO:0005261~cation channel activity	3	3.0303030303030303	0.0158282101500239	PKD2, SCN3A, TRPM3	89	41	18770	15.431625102767882	0.9314648652941646	0.6257441101125397	0.6257441101125397
INTERPRO	IPR005821:Ion transport domain	4	4.040404040404041	0.017551301020479516	TRPC7, KCNB2, SCN3A, TRPM3	95	111	19066	7.232242769084874	0.9876162920158782	1.0	1.0
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	4	4.040404040404041	0.02464887151998344	KCNJ5, KCNB2, SCN3A, KCNJ3	91	134	19349	6.347055929145482	0.9999992294535879	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0633~Potassium transport	4	4.040404040404041	0.028087301284753025	KCNJ5, KCNB2, PKD2, KCNJ3	61	122	11111	5.9720505240526744	0.6890306990265482	0.383859784224958	0.3744973504633737
UP_SEQ_FEATURE	DOMAIN:Ion_trans	3	3.0303030303030303	0.03477797919909125	TRPC7, SCN3A, TRPM3	99	61	20406	10.1371087928465	0.9999999999769836	1.0	0.9985528219971056
UP_KW_LIGAND	KW-0630~Potassium	4	4.040404040404041	0.042601352929665055	KCNJ5, KCNB2, PKD2, KCNJ3	39	140	6804	4.984615384615385	0.4321854425880177	0.27690879404282287	0.27690879404282287
GOTERM_BP_DIRECT	GO:0006813~potassium ion transport	3	3.0303030303030303	0.04656672881070252	KCNJ5, KCNB2, KCNJ3	91	74	19349	8.61998811998812	0.999999999997912	1.0	1.0
INTERPRO	IPR027359:Voltage-dependent potassium channel, four helix bundle domain	3	3.0303030303030303	0.05291581341866648	KCNB2, PKD2, SCN3A	95	75	19066	8.02778947368421	0.9999986056585143	1.0	1.0
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	3	3.0303030303030303	0.057030454710590386	KCNJ5, KCNB2, KCNJ3	97	81	20164	7.699121802214586	0.9999216346020597	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0406~Ion transport	8	8.080808080808081	0.0633917488334809	TRPC7, KCNJ5, SLC24A1, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	61	659	11111	2.2111992835642678	0.9317854282796167	0.5198123404345433	0.5071339906678471
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	9	9.090909090909092	0.9008669725578081	TRPC7, KCNJ5, SLC24A1, KCNB2, SLC7A14, PKD2, SCN3A, TRPM3, KCNJ3	61	2094	11111	0.7828690873220912	1.0	1.0	1.0

Annotation Cluster 2	Enrichment Score: 1.477659749223719
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SMART	SM00181:EGF	6	6.0606060606060606	0.004837202666622763	TENM3, TNXB, LAMB2, C1R, FAT3, TECTA	61	190	10317	5.340983606557376	0.3182322651880215	0.3821390106631983	0.3821390106631983
INTERPRO	IPR000742:Epidermal growth factor-like domain	6	6.0606060606060606	0.00706536168472354	TENM3, TNXB, LAMB2, C1R, FAT3, TECTA	95	243	19066	4.955425601039636	0.827684642518929	0.8761048489057189	0.8761048489057189
GOTERM_MF_DIRECT	GO:0005201~extracellular matrix structural constituent	4	4.040404040404041	0.027118572722824367	TNXB, LAMB2, COL8A1, TECTA	89	138	18770	6.113010910275199	0.9901357216763605	0.7479296985680817	0.7479296985680817
UP_KW_CELLULAR_COMPONENT	KW-0272~Extracellular matrix	5	5.05050505050505	0.043918252452728936	ECM2, TNXB, LAMB2, COL8A1, TECTA	86	272	17441	3.7279839261285908	0.6440527633585577	0.8542433534449185	0.8542433534449185
UP_SEQ_FEATURE	DOMAIN:EGF-like 3	3	3.0303030303030303	0.050521291998772457	TENM3, TNXB, FAT3	99	75	20406	8.244848484848486	0.9999999999999998	1.0	0.9985528219971056
UP_SEQ_FEATURE	DOMAIN:EGF-like 2	3	3.0303030303030303	0.06965513543526147	TENM3, TNXB, FAT3	99	90	20406	6.870707070707071	1.0	1.0	0.9985528219971056
UP_SEQ_FEATURE	DOMAIN:EGF-like	4	4.040404040404041	0.07609774074991721	TENM3, TNXB, C1R, FAT3	99	205	20406	4.021877309682188	1.0	1.0	0.9985528219971056
UP_KW_DOMAIN	KW-0245~EGF-like domain	4	4.040404040404041	0.13844653532350554	TENM3, TNXB, C1R, FAT3	80	243	14899	3.065637860082304	0.931596204710097	0.6047004418330583	0.6047004418330583

Annotation Cluster 3	Enrichment Score: 1.4764205201909324
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005262~calcium channel activity	4	4.040404040404041	0.00434600900873151	TRPC7, SLC24A1, PKD2, TRPM3	89	70	18770	12.051364365971107	0.5189195177313908	0.36506475673344685	0.36506475673344685
UP_KW_MOLECULAR_FUNCTION	KW-0407~Ion channel	7	7.07070707070707	0.01362709301014568	TRPC7, KCNJ5, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	64	364	11639	3.4972956730769234	0.460674359053715	0.30660959272827776	0.30660959272827776
UP_KW_BIOLOGICAL_PROCESS	KW-0109~Calcium transport	4	4.040404040404041	0.017160827702246154	TRPC7, SLC24A1, PKD2, TRPM3	61	101	11111	7.213763999350755	0.5082087948497581	0.35179696789604614	0.3432165540449231
GOTERM_BP_DIRECT	GO:0070588~calcium ion transmembrane transport	4	4.040404040404041	0.017296182196354613	TRPC7, SLC24A1, PKD2, TRPM3	91	117	19349	7.269277730816193	0.9999467437215039	1.0	1.0
UP_KW_LIGAND	KW-0106~Calcium	11	11.11111111111111	0.030202451026542138	TRPC7, SLC24A1, FSTL5, PCLO, GLCE, FAT3, PKD2, PCDH18, PCDH17, TRPM3, S100A8	39	942	6804	2.037236648701617	0.3287967230845714	0.27690879404282287	0.27690879404282287
UP_KW_MOLECULAR_FUNCTION	KW-0107~Calcium channel	3	3.0303030303030303	0.05092346263124109	TRPC7, PKD2, TRPM3	64	67	11639	8.142957089552239	0.9048178151375528	0.6970463005915783	0.6970463005915783
UP_KW_BIOLOGICAL_PROCESS	KW-0406~Ion transport	8	8.080808080808081	0.0633917488334809	TRPC7, KCNJ5, SLC24A1, KCNB2, PKD2, SCN3A, TRPM3, KCNJ3	61	659	11111	2.2111992835642678	0.9317854282796167	0.5198123404345433	0.5071339906678471
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	9	9.090909090909092	0.9008669725578081	TRPC7, KCNJ5, SLC24A1, KCNB2, SLC7A14, PKD2, SCN3A, TRPM3, KCNJ3	61	2094	11111	0.7828690873220912	1.0	1.0	1.0

Annotation Cluster 4	Enrichment Score: 1.3805353391857695
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	37	37.37373737373738	3.6860006958318607E-4	SLC24A1, OR52J3, TENM3, NPFFR1, TNXB, ECM2, C1R, SLC7A14, OR10T2, PKD2, PCDH18, PTPRF, PCDH17, FSTL5, NTF3, SCN3A, TECTA, KCNJ3, TRPC7, OR10G2, ERAP2, FZD4, LAMB2, KCNB2, GLCE, EMP1, OR1L4, LRRC37B, IGSF10, OR52R1, FNDC1, GDNF, LRIT1, FAT3, EVI2B, OR13A1, SPAM1	99	4372	20406	1.7443926917851895	0.2251751454873081	0.08502374938385492	0.0847780160041328
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	38	38.38383838383838	0.0016719544131698454	SLC24A1, USP15, OR52J3, TENM3, NPFFR1, KIF14, SLC7A14, OR10T2, HSPA14, PKD2, PCDH18, PTPRF, PCDH17, SYNGAP1, GAS2L2, SCN3A, TRPM3, S100A10, TECTA, KCNJ3, TRPC7, KCMF1, KCNJ5, OR10G2, ERAP2, FZD4, KCNB2, ZNF804A, EMP1, OR1L4, OR52R1, PLIN4, RAPGEF2, FAT3, VIM, OR13A1, S100A8, SPAM1	97	4959	20164	1.592921752182328	0.23616993602206626	0.2691846605203451	0.2691846605203451
UP_KW_PTM	KW-0325~Glycoprotein	40	40.4040404040404	0.004544063921619012	SLC24A1, OR52J3, TENM3, NPFFR1, TNXB, ECM2, C1R, SLC7A14, OR10T2, PKD2, PCDH18, PTPRF, PCDH17, FSTL5, NTF3, SCN3A, CHGB, TECTA, KCNJ3, TRPC7, ZNF462, OR10G2, ERAP2, FZD4, LAMB2, KCNB2, GLCE, EMP1, OR1L4, LRRC37B, IGSF10, OR52R1, FNDC1, GDNF, LRIT1, FAT3, VIM, EVI2B, OR13A1, SPAM1	82	4722	14062	1.4526709434819887	0.0660349801606851	0.0727050227459042	0.0727050227459042
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	23	23.232323232323232	0.019839920915917107	TRPC7, SLC24A1, KCNJ5, OR52J3, TENM3, NPFFR1, OR10G2, FZD4, KCNB2, OR10T2, OR1L4, PKD2, PCDH18, PTPRF, LRRC37B, PCDH17, OR52R1, FAT3, EVI2B, OR13A1, SCN3A, TRPM3, KCNJ3	99	2924	20406	1.6213364838535838	0.9999990504211437	1.0	0.9985528219971056
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	27	27.27272727272727	0.032893587972467456	SLC24A1, OR52J3, TENM3, SAMD8, NPFFR1, OR10T2, PKD2, PCDH18, PTPRF, PCDH17, SCN3A, TRPM3, KCNJ3, TRPC7, KCNJ5, OR10G2, ERAP2, FZD4, KCNB2, GLCE, OR1L4, LRRC37B, OR52R1, LRIT1, FAT3, EVI2B, OR13A1	99	3792	20406	1.4676352128883774	0.9999999999112457	1.0	0.9985528219971056
