Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0005515~protein binding	12	85.71428571428571	0.011591550971288514	SDCBP, ZNF462, ZFHX2, PTPRZ1, PPP1R3B, TUBB3, CCDC88C, TMED2, MANSC1, LRRFIP1, STOX1, S100A10	12	12518	18770	1.4994408052404538	0.415106680939497	0.5203891371442135	0.5203891371442135
UP_SEQ_FEATURE	COMPBIAS:Acidic residues	4	28.57142857142857	0.02194379585010484	ZFHX2, PTPRZ1, TUBB3, LRRFIP1	14	979	20406	5.9553480227637525	0.9128997596530553	1.0	1.0
GOTERM_MF_DIRECT	GO:0005109~frizzled binding	2	14.285714285714285	0.02262561465844407	SDCBP, CCDC88C	12	39	18770	80.2136752136752	0.6510173479243486	0.5203891371442135	0.5203891371442135
UP_SEQ_FEATURE	COMPBIAS:Polar residues	9	64.28571428571429	0.03512829383990142	ZNF462, ZFHX2, PTPRZ1, CCDC88C, NAV1, LRRFIP1, LRRC37B, STOX1, S100A10	14	6819	20406	1.9237634341021934	0.9804272048845801	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0206~Cytoskeleton	4	28.57142857142857	0.05469638334834778	SDCBP, TUBB3, NAV1, STOX1	13	1300	17441	4.128047337278107	0.49083817596016166	0.6563566001801734	0.6563566001801734
UP_KW_MOLECULAR_FUNCTION	KW-0238~DNA-binding	4	28.57142857142857	0.07507587775847308	ZNF462, ZFHX2, LRRFIP1, STOX1	7	2087	11639	3.1868026558970497	0.5046011947372893	0.6756828998262576	0.6756828998262576
UP_KW_DOMAIN	KW-0175~Coiled coil	6	42.857142857142854	0.08181640416472007	ZNF462, CCDC88C, TMED2, NAV1, LRRFIP1, LRRC37B	11	3772	14899	2.1544876120697967	0.49483153089850884	0.6545312333177605	0.6545312333177605
GOTERM_BP_DIRECT	GO:0006470~protein dephosphorylation	2	14.285714285714285	0.0846932783090768	PTPRZ1, PPP1R3B	12	155	19349	20.80537634408602	0.9999828499729924	1.0	1.0
GOTERM_BP_DIRECT	GO:0072659~protein localization to plasma membrane	2	14.285714285714285	0.0846932783090768	TMED2, S100A10	12	155	19349	20.80537634408602	0.9999828499729924	1.0	1.0
KEGG_PATHWAY	hsa05132:Salmonella infection	2	14.285714285714285	0.08929878953014977	TUBB3, S100A10	4	249	8112	16.289156626506024	0.7035940756829104	1.0	1.0
