Annotation Cluster 1	Enrichment Score: 0.70003237443519
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	TRANSMEM:Helical	5	62.5	0.08097540472709004	SDCBP, PTPRZ1, TMED2, MANSC1, LRRC37B	8	5323	20406	2.395970317490137	0.9994553532057132	1.0	1.0
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	5	62.5	0.08818080096137049	SDCBP, PTPRZ1, TMED2, MANSC1, LRRC37B	8	5401	20164	2.3333641918163304	0.9856846593006969	1.0	1.0
UP_SEQ_FEATURE	TOPO_DOM:Cytoplasmic	4	50.0	0.12450517568039203	PTPRZ1, TMED2, MANSC1, LRRC37B	8	3792	20406	2.6906645569620253	0.9999927461447176	1.0	1.0
UP_KW_DOMAIN	KW-1133~Transmembrane helix	5	62.5	0.1639691536459676	SDCBP, PTPRZ1, TMED2, MANSC1, LRRC37B	7	5792	14899	1.837386543014996	0.7145328686627392	0.40703352103215285	0.40703352103215285
UP_KW_DOMAIN	KW-0812~Transmembrane	5	62.5	0.1697707464555361	SDCBP, PTPRZ1, TMED2, MANSC1, LRRC37B	7	5857	14899	1.8169955364764994	0.7281143894752886	0.40703352103215285	0.40703352103215285
UP_KW_DOMAIN	KW-0732~Signal	4	50.0	0.23739726589034715	PTPRZ1, TMED2, MANSC1, LRRC37B	7	4321	14899	1.9703111052335769	0.8500009508977093	0.4154452153081075	0.4154452153081075
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	3	37.5	0.26470952537943915	PTPRZ1, MANSC1, LRRC37B	8	2924	20406	2.6170485636114913	0.9999999999986973	1.0	1.0
UP_KW_PTM	KW-0325~Glycoprotein	4	50.0	0.32447184351931935	ZNF462, PTPRZ1, MANSC1, LRRC37B	7	4722	14062	1.701700248078901	0.935804558799925	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	5	62.5	0.42849189213359173	SDCBP, PTPRZ1, TMED2, MANSC1, LRRC37B	8	8148	17441	1.3378283014236623	0.998785860041911	1.0	1.0
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	3	37.5	0.46213808802038436	PTPRZ1, MANSC1, LRRC37B	8	4372	20406	1.7502859103385178	1.0	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.4274312062594427
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0206~Cytoskeleton	3	37.5	0.09070333006259551	SDCBP, TUBB3, NAV1	8	1300	17441	5.031057692307693	0.6805026891044214	0.662398596229257	0.662398596229257
UP_KW_PTM	KW-0597~Phosphoprotein	5	62.5	0.5248281190164807	SDCBP, ZNF462, PTPRZ1, TUBB3, NAV1	7	8305	14062	1.2094263352541499	0.9945304055162426	1.0	1.0
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	3	37.5	0.5937674015359504	SDCBP, TUBB3, NAV1	8	5361	20164	1.4104644655847791	1.0	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	3	37.5	0.6902692022470107	SDCBP, TUBB3, NAV1	8	5397	17441	1.2118538076709282	0.9999992205061494	1.0	1.0

Annotation Cluster 3	Enrichment Score: 0.39851956336676264
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0677~Repeat	4	50.0	0.32446467383660116	SDCBP, ZNF462, PTPRZ1, LRRC37B	7	5003	14899	1.701721824048428	0.9357997893033874	0.4542505433712416	0.4542505433712416
UP_KW_PTM	KW-0325~Glycoprotein	4	50.0	0.32447184351931935	ZNF462, PTPRZ1, MANSC1, LRRC37B	7	4722	14062	1.701700248078901	0.935804558799925	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Polar residues	4	50.0	0.4312754309146315	ZNF462, PTPRZ1, NAV1, LRRC37B	8	6819	20406	1.4962604487461504	1.0	1.0	1.0
UP_SEQ_FEATURE	REGION:Disordered	6	75.0	0.560818837281476	ZNF462, PTPRZ1, TUBB3, NAV1, MANSC1, LRRC37B	8	13517	20406	1.132240881852482	1.0	1.0	1.0

