Annotation Cluster 1	Enrichment Score: 0.8705202713968424
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	5	83.33333333333334	0.04565992471055577	ZFHX2, CCDC88C, LRRFIP1, STOX1, S100A10	6	6819	20406	2.4937674145769173	0.845785057661331	1.0	1.0
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	4	66.66666666666666	0.12092970034919369	CCDC88C, LRRFIP1, STOX1, S100A10	6	5361	20164	2.5074923832618294	0.9484126801400952	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	6	100.0	0.13189787260619126	ZFHX2, PPP1R3B, CCDC88C, LRRFIP1, STOX1, S100A10	6	12518	18770	1.4994408052404538	0.9747162589690995	1.0	1.0
UP_SEQ_FEATURE	REGION:Disordered	5	83.33333333333334	0.4524941363939626	ZFHX2, CCDC88C, LRRFIP1, STOX1, S100A10	6	13517	20406	1.2580454242805357	0.9999999999656797	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.7532547641759183
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	3	50.0	0.06537798686250518	ZFHX2, LRRFIP1, STOX1	6	1713	19349	5.647694103911267	0.9773213958048004	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0238~DNA-binding	3	50.0	0.08490234560607952	ZFHX2, LRRFIP1, STOX1	4	2087	11639	4.182678485864878	0.2987550146251966	0.3396093824243181	0.3396093824243181
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	4	66.66666666666666	0.12859081677022058	ZFHX2, CCDC88C, LRRFIP1, STOX1	6	5560	20406	2.4467625899280576	0.9959366400553773	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	3	50.0	0.20267463119770468	ZFHX2, LRRFIP1, STOX1	5	2378	11111	2.803448275862069	0.8366629681332117	0.8509473248234336	0.8509473248234336
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	3	50.0	0.2127368312058584	ZFHX2, LRRFIP1, STOX1	5	2448	11111	2.72328431372549	0.8524431173439244	0.8509473248234336	0.8509473248234336
UP_KW_CELLULAR_COMPONENT	KW-0539~Nucleus	3	50.0	0.38430993797758733	ZFHX2, LRRFIP1, STOX1	5	5587	17441	1.873026669053159	0.9115270072920413	0.9607748449439684	0.9607748449439684
GOTERM_CC_DIRECT	GO:0005634~nucleus	3	50.0	0.45116122911368184	ZFHX2, LRRFIP1, STOX1	6	5848	20164	1.7240082079343366	0.99999898321294	1.0	1.0

