Annotation Cluster 1	Enrichment Score: 0.9228848909888904
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_CELLULAR_COMPONENT	KW-0206~Cytoskeleton	4	28.57142857142857	0.05469638334834778	SDCBP, TUBB3, NAV1, STOX1	13	1300	17441	4.128047337278107	0.49083817596016166	0.6563566001801734	0.6563566001801734
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	7	50.0	0.10325935300303345	SDCBP, TUBB3, CCDC88C, NAV1, LRRFIP1, STOX1, S100A10	14	5361	20164	1.880619287446372	0.9977646583090393	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	6	42.857142857142854	0.30161804230322553	SDCBP, TUBB3, CCDC88C, NAV1, LRRFIP1, STOX1	13	5397	17441	1.4915123786719118	0.9865377970628826	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.5492283734411363
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0238~DNA-binding	4	28.57142857142857	0.07507587775847308	ZNF462, ZFHX2, LRRFIP1, STOX1	7	2087	11639	3.1868026558970497	0.5046011947372893	0.6756828998262576	0.6756828998262576
GOTERM_MF_DIRECT	GO:0003677~DNA binding	3	21.428571428571427	0.16724288375102803	ZNF462, ZFHX2, LRRFIP1	12	1267	18770	3.7036306235201266	0.9997792787130443	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0805~Transcription regulation	4	28.57142857142857	0.17291571185144944	ZNF462, ZFHX2, LRRFIP1, STOX1	8	2378	11111	2.336206896551724	0.91524857291696	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0804~Transcription	4	28.57142857142857	0.1846335071981965	ZNF462, ZFHX2, LRRFIP1, STOX1	8	2448	11111	2.2694035947712417	0.929597645459163	1.0	1.0
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	3	21.428571428571427	0.25388227527518537	ZFHX2, LRRFIP1, STOX1	12	1713	19349	2.8238470519556333	0.9999999999999998	1.0	1.0
