Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0030286~dynein complex	3	5.660377358490567	0.0021002463858757585	DYNC1LI2, DNAH8, DNAH9	50	28	20164	43.20857142857143	0.21806779343289262	0.24572882714746375	0.24572882714746375
INTERPRO	IPR013320:Concanavalin A-like lectin/glucanase, subgroup	5	9.433962264150944	0.0034254541654194165	TRIM6, LRBA, NRXN3, PTX3, TRIM38	51	237	19066	7.886986018035906	0.37505574287349264	0.4692872206624601	0.4692872206624601
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	4	7.547169811320755	0.003547577828805218	DYNC1LI2, ZW10, TACC2, SPC25	48	126	19349	12.79695767195767	0.7034171902297175	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0243~Dynein	3	5.660377358490567	0.00361810105801456	DYNC1LI2, DNAH8, DNAH9	47	34	17441	32.74280350438047	0.08993678752542411	0.09407062750837857	0.09407062750837857
GOTERM_CC_DIRECT	GO:1990665~AnxA2-p11 complex	2	3.7735849056603774	0.004854361768126775	ANXA2, S100A10	50	2	20164	403.28000000000003	0.4341030853277331	0.2839801634354163	0.2839801634354163
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	8	15.09433962264151	0.008515472100945866	DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DNAH9, CHST5, RAD54B	51	897	19066	3.334163988895447	0.6901339638282719	0.5833098389147918	0.5833098389147918
GOTERM_BP_DIRECT	GO:0045920~negative regulation of exocytosis	2	3.7735849056603774	0.01208771347090068	RSC1A1, IL1RAPL1	48	5	19349	161.24166666666665	0.9843797399358941	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	3.7735849056603774	0.014488037988845199	ANXA2, S100A10	48	6	19349	134.36805555555554	0.9932021775235704	1.0	1.0
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	5.660377358490567	0.01895148435305062	DYNC1LI2, DNAH8, DNAH9	48	87	19349	13.900143678160921	0.9985607180663876	1.0	1.0
GOTERM_BP_DIRECT	GO:0010756~positive regulation of plasminogen activation	2	3.7735849056603774	0.019271575515683766	ANXA2, S100A10	48	8	19349	100.77604166666667	0.9987127087194222	1.0	1.0
INTERPRO	IPR013594:Dynein heavy chain, domain-1	2	3.7735849056603774	0.023360998654743264	DNAH8, DNAH9	51	9	19066	83.07625272331154	0.9607746613232566	0.7048670320296425	0.7048670320296425
GOTERM_CC_DIRECT	GO:0005811~lipid particle	3	5.660377358490567	0.024616790491187115	ANXA2, RDH10, ZW10	50	100	20164	12.0984	0.9458613769161892	0.7470611759813511	0.7470611759813511
INTERPRO	IPR026983:Dynein heavy chain	2	3.7735849056603774	0.025923414044041547	DNAH8, DNAH9	51	10	19066	74.76862745098039	0.9726312297567198	0.7048670320296425	0.7048670320296425
GOTERM_CC_DIRECT	GO:0036157~outer dynein arm	2	3.7735849056603774	0.026414845829788775	DNAH8, DNAH9	50	11	20164	73.32363636363635	0.956373405109697	0.7470611759813511	0.7470611759813511
KEGG_PATHWAY	hsa05132:Salmonella infection	4	7.547169811320755	0.02859772099025208	DYNC1LI2, ANXA2, EXOC4, S100A10	23	249	8112	5.665793609219486	0.5431473093794658	0.7721384667368061	0.7721384667368061
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	3.7735849056603774	0.02964613247196438	ANXA2, PTX3	48	12	18770	65.17361111111111	0.9737851678936285	1.0	1.0
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	6	11.320754716981133	0.030826965600540216	ACVR1, TRIM6, TRIM38, CLCN1, RBM44, S100A10	48	705	18770	3.3280141843971633	0.9773764904618415	1.0	1.0
UP_SEQ_FEATURE	REGION:AAA 6	2	3.7735849056603774	0.03263515766715009	DNAH8, DNAH9	53	13	20406	59.23367198838896	0.9999243470892274	1.0	1.0
UP_SEQ_FEATURE	REGION:AAA 5	2	3.7735849056603774	0.035101836028091846	DNAH8, DNAH9	53	14	20406	55.00269541778976	0.9999635495171808	1.0	1.0
UP_SEQ_FEATURE	REGION:AAA 3	2	3.7735849056603774	0.035101836028091846	DNAH8, DNAH9	53	14	20406	55.00269541778976	0.9999635495171808	1.0	1.0
