Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0030286~dynein complex	3	5.660377358490567	0.0021002463858757585	DYNC1LI2, DNAH8, DNAH9	50	28	20164	43.20857142857143	0.21806779343289262	0.24572882714746375	0.24572882714746375
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	4	7.547169811320755	0.003547577828805218	DYNC1LI2, ZW10, TACC2, SPC25	48	126	19349	12.79695767195767	0.7044693408300633	1.0	1.0
GOTERM_CC_DIRECT	GO:1990665~AnxA2-p11 complex	2	3.7735849056603774	0.004854361768126775	ANXA2, S100A10	50	2	20164	403.28000000000003	0.4341030853277331	0.2839801634354163	0.2839801634354163
GOTERM_BP_DIRECT	GO:0045920~negative regulation of exocytosis	2	3.7735849056603774	0.01208771347090068	RSC1A1, IL1RAPL1	48	5	19349	161.24166666666665	0.98456855316389	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	3.7735849056603774	0.014488037988845199	ANXA2, S100A10	48	6	19349	134.36805555555554	0.9933006646338504	1.0	1.0
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	5.660377358490567	0.01895148435305062	DYNC1LI2, DNAH8, DNAH9	48	87	19349	13.900143678160921	0.9985879945954321	1.0	1.0
GOTERM_BP_DIRECT	GO:0010756~positive regulation of plasminogen activation	2	3.7735849056603774	0.019271575515683766	ANXA2, S100A10	48	8	19349	100.77604166666667	0.9987375168505466	1.0	1.0
GOTERM_CC_DIRECT	GO:0005811~lipid particle	3	5.660377358490567	0.024616790491187115	ANXA2, RDH10, ZW10	50	100	20164	12.0984	0.9458613769161892	0.7470611759813511	0.7470611759813511
GOTERM_CC_DIRECT	GO:0036157~outer dynein arm	2	3.7735849056603774	0.026414845829788775	DNAH8, DNAH9	50	11	20164	73.32363636363635	0.956373405109697	0.7470611759813511	0.7470611759813511
KEGG_PATHWAY	hsa05132:Salmonella infection	4	7.547169811320755	0.02859772099025208	DYNC1LI2, ANXA2, EXOC4, S100A10	23	249	8112	5.665793609219486	0.5296977364658316	0.7721384667368061	0.7721384667368061
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	3.7735849056603774	0.02964613247196438	ANXA2, PTX3	48	12	18770	65.17361111111111	0.9737851678936285	1.0	1.0
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	6	11.320754716981133	0.030826965600540216	ACVR1, TRIM6, TRIM38, CLCN1, RBM44, S100A10	48	705	18770	3.3280141843971633	0.9773764904618415	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	9	16.9811320754717	0.03582871329646564	ACVR1, DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DNAH9, ACSM4, RAD54B	48	1540	18770	2.2853084415584415	0.987903563080542	1.0	1.0
GOTERM_BP_DIRECT	GO:0006790~sulfur compound metabolic process	2	3.7735849056603774	0.035835674153392644	ARSG, CHST5	48	15	19349	53.74722222222222	0.9999963372011363	1.0	1.0
GOTERM_BP_DIRECT	GO:0006900~membrane budding	2	3.7735849056603774	0.038179510055756705	ANXA2, S100A10	48	16	19349	50.388020833333336	0.9999984105367702	1.0	1.0
GOTERM_BP_DIRECT	GO:0046596~regulation of viral entry into host cell	2	3.7735849056603774	0.038179510055756705	TRIM6, TRIM38	48	16	19349	50.388020833333336	0.9999984105367702	1.0	1.0
GOTERM_BP_DIRECT	GO:0016075~rRNA catabolic process	2	3.7735849056603774	0.038179510055756705	SLFN14, MRPL44	48	16	19349	50.388020833333336	0.9999984105367702	1.0	1.0
GOTERM_CC_DIRECT	GO:0098797~plasma membrane protein complex	2	3.7735849056603774	0.03819446721616465	ANXA2, S100A10	50	16	20164	50.410000000000004	0.9894994823399897	0.7470611759813511	0.7470611759813511
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	3	5.660377358490567	0.039780616225195076	DYNC1LI2, MAP7, TACC2	48	130	19349	9.302403846153846	0.9999991024249338	1.0	1.0
GOTERM_MF_DIRECT	GO:0008569~ATP-dependent microtubule motor activity, minus-end-directed	2	3.7735849056603774	0.044144877030169796	DNAH8, DNAH9	48	18	18770	43.44907407407407	0.9957592689768665	1.0	1.0
GOTERM_CC_DIRECT	GO:0000776~kinetochore	3	5.660377358490567	0.04436246161469115	DYNC1LI2, ZW10, SPC25	50	138	20164	8.76695652173913	0.9950534260204309	0.7470611759813511	0.7470611759813511
GOTERM_CC_DIRECT	GO:0005874~microtubule	4	7.547169811320755	0.04469596779375605	DYNC1LI2, DNAH8, MAP7, DNAH9	50	326	20164	4.948220858895706	0.9952513685002233	0.7470611759813511	0.7470611759813511
GOTERM_BP_DIRECT	GO:0072659~protein localization to plasma membrane	3	5.660377358490567	0.05451601086666957	ANXA2, MAP7, S100A10	48	155	19349	7.802016129032258	0.9999999955395019	1.0	1.0
GOTERM_MF_DIRECT	GO:0051959~dynein light intermediate chain binding	2	3.7735849056603774	0.06549626761205031	DNAH8, DNAH9	48	27	18770	28.966049382716047	0.9997243830807447	1.0	1.0
GOTERM_CC_DIRECT	GO:0019897~extrinsic component of plasma membrane	2	3.7735849056603774	0.06589886996442636	ANXA2, S100A10	50	28	20164	28.805714285714288	0.9996563740099917	0.9637709732297355	0.9637709732297355
GOTERM_CC_DIRECT	GO:0016020~membrane	11	20.754716981132077	0.07691159004591272	ACVR1, DYNC1LI2, ABCC2, RPL32, ANXA2, LRBA, ZW10, EXOC4, SERPINB9, LARP4, SLC4A5	50	2511	20164	1.766658701712465	0.9999142042292962	0.9998506705968654	0.9998506705968654
GOTERM_BP_DIRECT	GO:0015698~inorganic anion transport	2	3.7735849056603774	0.07718197154270497	ABCC2, SLC4A5	48	33	19349	24.430555555555557	0.9999999999989165	1.0	1.0
GOTERM_MF_DIRECT	GO:1990782~protein tyrosine kinase binding	2	3.7735849056603774	0.08408291020403487	ACVR1, TRIM6	48	35	18770	22.345238095238095	0.9999757564811219	1.0	1.0
GOTERM_MF_DIRECT	GO:0045505~dynein intermediate chain binding	2	3.7735849056603774	0.08638064723113799	DNAH8, DNAH9	48	36	18770	21.724537037037035	0.999982110419982	1.0	1.0
