Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate	4	40.0	3.658983674056619E-5	ZNF462, ZFHX3, TCOF1, MKI67	9	180	20406	50.38518518518518	0.005800999328248069	0.005817784041750024	0.0057446043682688915
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate	4	40.0	2.49752744741156E-4	ZNF462, ZFHX3, TCOF1, MKI67	9	344	20406	26.36434108527132	0.038937317840106234	0.019855343206921904	0.019605590462180748
UP_SEQ_FEATURE	COMPBIAS:Polar residues	8	80.0	0.0026293714035174	ZNF462, ZFHX3, TCOF1, TENM4, EMILIN2, HSD11B1L, DCHS1, MKI67	9	6819	20406	2.660018575548712	0.34204625681574063	0.1393566843864222	0.13760377011741062
UP_SEQ_FEATURE	ZN_FING:C2H2-type 23	2	20.0	0.008593907631015644	ZNF462, ZFHX3	9	22	20406	206.12121212121212	0.7464861096756861	0.3409642492036657	0.3366753907231164
UP_SEQ_FEATURE	ZN_FING:C2H2-type 22	2	20.0	0.012090927353368804	ZNF462, ZFHX3	9	31	20406	146.2795698924731	0.8554564070160955	0.3409642492036657	0.3366753907231164
UP_SEQ_FEATURE	ZN_FING:C2H2-type 21	2	20.0	0.012866575441647762	ZNF462, ZFHX3	9	33	20406	137.4141414141414	0.8724262455156269	0.3409642492036657	0.3366753907231164
UP_SEQ_FEATURE	ZN_FING:C2H2-type 20	2	20.0	0.01635040146549954	ZNF462, ZFHX3	9	42	20406	107.96825396825396	0.9272845616007244	0.3713876904306324	0.36671614715477535
GOTERM_BP_DIRECT	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	2	20.0	0.01967805294802699	TENM4, DCHS1	9	48	19349	89.5787037037037	0.7960620523112613	1.0	1.0
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1)	2	20.0	0.029796558777307285	ZFHX3, MKI67	9	77	20406	58.89177489177489	0.9918494502886906	0.5651233750396597	0.5580149049133747
UP_SEQ_FEATURE	ZN_FING:C2H2-type 17	2	20.0	0.03512981930942705	ZNF462, ZFHX3	9	91	20406	49.83150183150183	0.9966072436367588	0.5651233750396597	0.5580149049133747
UP_SEQ_FEATURE	REGION:Disordered	9	90.0	0.037040398256745745	ZNF462, ZFHX3, TCOF1, TENM4, EMILIN2, TRIP11, HSD11B1L, DCHS1, MKI67	9	13517	20406	1.509654509136643	0.9975243867585426	0.5651233750396597	0.5580149049133747
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	6	60.0	0.03909658569456765	ZFHX3, TCOF1, TENM4, EMILIN2, TRIP11, MKI67	9	5560	20406	2.4467625899280576	0.9982377070307777	0.5651233750396597	0.5580149049133747
UP_SEQ_FEATURE	ZN_FING:C2H2-type 16	2	20.0	0.04421288782402751	ZNF462, ZFHX3	9	115	20406	39.43188405797101	0.9992459049985216	0.5858207636683646	0.5784519490310266
UP_KW_PTM	KW-1017~Isopeptide bond	4	40.0	0.04878213682722718	ZNF462, ZFHX3, TCOF1, MKI67	8	1794	14062	3.91917502787068	0.25923580150430636	0.34147495779059023	0.34147495779059023
UP_SEQ_FEATURE	ZN_FING:C2H2-type 15	2	20.0	0.05769720778302703	ZNF462, ZFHX3	9	151	20406	30.03090507726269	0.9999212435731122	0.705681233653946	0.696804740148865
UP_SEQ_FEATURE	ZN_FING:C2H2-type 14	2	20.0	0.06585542257382014	ZNF462, ZFHX3	9	173	20406	26.211946050096337	0.999980237519999	0.747929442088386	0.7385215245778401
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	5	50.0	0.07385450597625516	ZFHX3, TCOF1, TRIP11, HSD11B1L, MKI67	10	3846	20164	2.6214248569942797	0.9318018437923737	1.0	1.0
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)	3	30.0	0.08402399793848432	ZNF462, TCOF1, MKI67	9	1267	20406	5.3685872138910815	0.999999129895929	0.8400205730984983	0.8294542765815361
UP_SEQ_FEATURE	ZN_FING:C2H2-type 13	2	20.0	0.08453037213569795	ZNF462, ZFHX3	9	224	20406	20.244047619047617	0.9999992031317266	0.8400205730984983	0.8294542765815361
