Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate	5	7.936507936507936	0.002065260054155367	ZNF462, ZFHX3, TCOF1, ANXA2, MKI67	62	180	20406	9.142473118279568	0.5724566575599925	0.746893693621438	0.746893693621438
GOTERM_CC_DIRECT	GO:0030286~dynein complex	3	4.761904761904762	0.0030296425891244896	DYNC1LI2, DNAH8, DNAH9	60	28	20164	36.00714285714286	0.33002832564592266	0.3856773800102315	0.3856773800102315
UP_SEQ_FEATURE	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate	6	9.523809523809524	0.003634519190371961	ZNF462, ZFHX3, TCOF1, ANXA2, MKI67, S100A10	62	344	20406	5.740622655663916	0.7760894376756818	0.746893693621438	0.746893693621438
UP_KW_CELLULAR_COMPONENT	KW-0243~Dynein	3	4.761904761904762	0.0053183124144535465	DYNC1LI2, DNAH8, DNAH9	57	34	17441	26.998452012383897	0.12946309848110304	0.1382761227757922	0.1382761227757922
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	4	6.349206349206349	0.005812782546343544	DYNC1LI2, ZW10, TACC2, SPC25	57	126	19349	10.776385407964355	0.9056784624388364	1.0	1.0
GOTERM_CC_DIRECT	GO:1990665~AnxA2-p11 complex	2	3.1746031746031744	0.005843596666821689	ANXA2, S100A10	60	2	20164	336.06666666666666	0.5386587732955125	0.3856773800102315	0.3856773800102315
INTERPRO	IPR013320:Concanavalin A-like lectin/glucanase, subgroup	5	7.936507936507936	0.006587056419593752	TRIM6, LRBA, NRXN3, PTX3, TRIM38	61	237	19066	6.594037490489036	0.6526476133719366	0.9839836670184487	0.9839836670184487
GOTERM_BP_DIRECT	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	3	4.761904761904762	0.008521610101591153	TENM4, IL1RAPL1, DCHS1	57	48	19349	21.216008771929822	0.9687595416399388	1.0	1.0
GOTERM_BP_DIRECT	GO:0072659~protein localization to plasma membrane	4	6.349206349206349	0.010249048671251341	ANXA2, MAP7, DCHS1, S100A10	57	155	19349	8.760158460667798	0.9845829676701505	1.0	1.0
GOTERM_BP_DIRECT	GO:0045920~negative regulation of exocytosis	2	3.1746031746031744	0.0143889886447685	RSC1A1, IL1RAPL1	57	5	19349	135.78245614035086	0.9971767686524071	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Polar residues	30	47.61904761904761	0.015267377036676104	RSC1A1, C17ORF97, TENM4, WBP4, NRXN3, TRANK1, MKI67, CLCN1, SLC4A5, RAD54B, NPAP1, TCOF1, MAP7, EMILIN2, S100A10, ZNF462, ZFHX3, ABCC2, LRBA, HSD11B1L, LARP4, TEX2, LRRC37B, LRFN2, DYNC1LI2, TGIF2LX, DCHS1, TACC2, BRWD1, RBM44	62	6819	20406	1.447993982657565	0.9982059609140658	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	3.1746031746031744	0.017242287685225566	ANXA2, S100A10	57	6	19349	113.15204678362572	0.9991273972489274	1.0	1.0
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	7	11.11111111111111	0.018145334721712023	ACVR1, TRIM6, TENM4, TRIM38, CLCN1, RBM44, S100A10	57	705	18770	3.2696279706358093	0.90917942449143	1.0	1.0
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	8	12.698412698412698	0.02203178569749248	DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DNAH9, CHST5, RAD54B	61	897	19066	2.7875797284207837	0.971688795393146	0.9839836670184487	0.9839836670184487
GOTERM_BP_DIRECT	GO:0010756~positive regulation of plasminogen activation	2	3.1746031746031744	0.022924569154150285	ANXA2, S100A10	57	8	19349	84.8640350877193	0.999916655375623	1.0	1.0
UP_KW_DOMAIN	KW-0677~Repeat	25	39.682539682539684	0.02408474485247119	C17ORF97, TENM4, DNAH8, WBP4, NRXN3, TRANK1, DNAH9, MKI67, CLCN1, GAR1, ANKRD52, ZNF169, ZNF485, ZNF462, ZFHX3, ABCC2, ANXA2, LRBA, LRRC37B, PDGFRL, LRFN2, IL1RAPL1, ZNF614, DCHS1, BRWD1	51	5003	14899	1.4598103882768378	0.3707401405665828	0.4576101521969526	0.4576101521969526
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	4.761904761904762	0.026306418329242652	DYNC1LI2, DNAH8, DNAH9	57	87	19349	11.705384150030248	0.9999795339306651	1.0	1.0
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	25	39.682539682539684	0.02673332676732059	C17ORF97, TENM4, DNAH8, WBP4, NRXN3, MKI67, SLC4A5, RAD54B, NPAP1, LACTB, TCOF1, MAP7, EMILIN2, ANKRD52, ZNF169, ZFHX3, SWT1, LARP4, TEX2, PDGFRL, TGIF2LX, TRIP11, TACC2, BRWD1, RBM44	62	5560	20406	1.4798967277790671	0.9999854356417222	1.0	1.0
INTERPRO	IPR013594:Dynein heavy chain, domain-1	2	3.1746031746031744	0.027974548407261362	DNAH8, DNAH9	61	9	19066	69.45719489981785	0.9893236729708712	0.9839836670184487	0.9839836670184487
INTERPRO	IPR026983:Dynein heavy chain	2	3.1746031746031744	0.031034921348373795	DNAH8, DNAH9	61	10	19066	62.51147540983607	0.9935538550268578	0.9839836670184487	0.9839836670184487
GOTERM_BP_DIRECT	GO:1903441~protein localization to ciliary membrane	2	3.1746031746031744	0.03138753865908776	EXOC4, TRIP11	57	11	19349	61.719298245614034	0.9999975409290268	1.0	1.0
GOTERM_CC_DIRECT	GO:0036157~outer dynein arm	2	3.1746031746031744	0.031727053436281606	DNAH8, DNAH9	60	11	20164	61.103030303030295	0.9858189195528774	1.0	1.0
