Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0030286~dynein complex	3	4.761904761904762	0.0030296425891244896	DYNC1LI2, DNAH8, DNAH9	60	28	20164	36.00714285714286	0.33002832564592266	0.3856773800102315	0.3856773800102315
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	4	6.349206349206349	0.005812782546343544	DYNC1LI2, ZW10, TACC2, SPC25	57	126	19349	10.776385407964355	0.9062267330261162	1.0	1.0
GOTERM_CC_DIRECT	GO:1990665~AnxA2-p11 complex	2	3.1746031746031744	0.005843596666821689	ANXA2, S100A10	60	2	20164	336.06666666666666	0.5386587732955125	0.3856773800102315	0.3856773800102315
GOTERM_BP_DIRECT	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	3	4.761904761904762	0.008521610101591153	TENM4, IL1RAPL1, DCHS1	57	48	19349	21.216008771929822	0.9690257606454782	1.0	1.0
GOTERM_BP_DIRECT	GO:0072659~protein localization to plasma membrane	4	6.349206349206349	0.010249048671251341	ANXA2, MAP7, DCHS1, S100A10	57	155	19349	8.760158460667798	0.9847409775848655	1.0	1.0
GOTERM_BP_DIRECT	GO:0045920~negative regulation of exocytosis	2	3.1746031746031744	0.0143889886447685	RSC1A1, IL1RAPL1	57	5	19349	135.78245614035086	0.9972173920962092	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	3.1746031746031744	0.017242287685225566	ANXA2, S100A10	57	6	19349	113.15204678362572	0.9991424429165964	1.0	1.0
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	7	11.11111111111111	0.018145334721712023	ACVR1, TRIM6, TENM4, TRIM38, CLCN1, RBM44, S100A10	57	705	18770	3.2696279706358093	0.90917942449143	1.0	1.0
GOTERM_BP_DIRECT	GO:0010756~positive regulation of plasminogen activation	2	3.1746031746031744	0.022924569154150285	ANXA2, S100A10	57	8	19349	84.8640350877193	0.9999185660152282	1.0	1.0
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	4.761904761904762	0.026306418329242652	DYNC1LI2, DNAH8, DNAH9	57	87	19349	11.705384150030248	0.9999800723196465	1.0	1.0
GOTERM_BP_DIRECT	GO:1903441~protein localization to ciliary membrane	2	3.1746031746031744	0.03138753865908776	EXOC4, TRIP11	57	11	19349	61.719298245614034	0.9999976181132121	1.0	1.0
GOTERM_CC_DIRECT	GO:0036157~outer dynein arm	2	3.1746031746031744	0.031727053436281606	DNAH8, DNAH9	60	11	20164	61.103030303030295	0.9858189195528774	1.0	1.0
GOTERM_CC_DIRECT	GO:0005811~lipid particle	3	4.761904761904762	0.03469387534896721	ANXA2, RDH10, ZW10	60	100	20164	10.082	0.9905422431526263	1.0	1.0
GOTERM_MF_DIRECT	GO:0046790~virion binding	2	3.1746031746031744	0.03523029260487948	ANXA2, PTX3	57	12	18770	54.88304093567251	0.9908904004110458	1.0	1.0
GOTERM_BP_DIRECT	GO:0010468~regulation of gene expression	4	6.349206349206349	0.03542191588507121	ZNF462, TRIM6, TRIM38, SLC4A5	57	249	19349	5.453110688367505	0.9999995624976084	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	10	15.873015873015872	0.037471522795392134	ACVR1, DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DNAH9, ACSM4, MKI67, RAD54B	57	1540	18770	2.138300296195033	0.9932829289712926	1.0	1.0
GOTERM_BP_DIRECT	GO:0006790~sulfur compound metabolic process	2	3.1746031746031744	0.04255959519175993	ARSG, CHST5	57	15	19349	45.26081871345029	0.9999999785527823	1.0	1.0
KEGG_PATHWAY	hsa05132:Salmonella infection	4	6.349206349206349	0.044164996170649104	DYNC1LI2, ANXA2, EXOC4, S100A10	27	249	8112	4.826416778224007	0.7420782743082006	1.0	1.0
GOTERM_BP_DIRECT	GO:0046596~regulation of viral entry into host cell	2	3.1746031746031744	0.045332775220269024	TRIM6, TRIM38	57	16	19349	42.43201754385965	0.999999993394325	1.0	1.0
GOTERM_BP_DIRECT	GO:0001702~gastrulation with mouth forming second	2	3.1746031746031744	0.045332775220269024	ACVR1, TENM4	57	16	19349	42.43201754385965	0.999999993394325	1.0	1.0
GOTERM_BP_DIRECT	GO:0016075~rRNA catabolic process	2	3.1746031746031744	0.045332775220269024	SLFN14, MRPL44	57	16	19349	42.43201754385965	0.999999993394325	1.0	1.0
GOTERM_BP_DIRECT	GO:0006900~membrane budding	2	3.1746031746031744	0.045332775220269024	ANXA2, S100A10	57	16	19349	42.43201754385965	0.999999993394325	1.0	1.0
GOTERM_CC_DIRECT	GO:0098797~plasma membrane protein complex	2	3.1746031746031744	0.04581929502611941	ANXA2, S100A10	60	16	20164	42.00833333333333	0.9979524091218049	1.0	1.0
GOTERM_MF_DIRECT	GO:0008569~ATP-dependent microtubule motor activity, minus-end-directed	2	3.1746031746031744	0.05238539544510363	DNAH8, DNAH9	57	18	18770	36.588693957115005	0.999131522345161	1.0	1.0
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	3	4.761904761904762	0.05451768484223176	DYNC1LI2, MAP7, TACC2	57	130	19349	7.833603238866396	0.999999999869598	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	13	20.634920634920633	0.057352041013655125	ACVR1, ABCC2, ANXA2, RPL32, LRBA, SERPINB9, MKI67, LARP4, SLC4A5, DYNC1LI2, ZW10, EXOC4, DCHS1	60	2511	20164	1.7398911456259127	0.9995887194587117	1.0	1.0
GOTERM_CC_DIRECT	GO:0000776~kinetochore	3	4.761904761904762	0.06177781549757564	DYNC1LI2, ZW10, SPC25	60	138	20164	7.305797101449276	0.9997790204416942	1.0	1.0
GOTERM_BP_DIRECT	GO:0014032~neural crest cell development	2	3.1746031746031744	0.06180694812536853	TCOF1, RDH10	57	22	19349	30.859649122807017	0.9999999999943683	1.0	1.0
GOTERM_MF_DIRECT	GO:0003723~RNA binding	9	14.285714285714285	0.06573945821477256	RPL32, TCOF1, ANXA2, WBP4, GAR1, MKI67, LARP4, RBM44, MRPL44	57	1455	18770	2.0368963646228972	0.9998646965380659	1.0	1.0
GOTERM_CC_DIRECT	GO:0005874~microtubule	4	6.349206349206349	0.0702424845494743	DYNC1LI2, DNAH8, MAP7, DNAH9	60	326	20164	4.1235173824130875	0.9999331963677391	1.0	1.0
GOTERM_MF_DIRECT	GO:0051959~dynein light intermediate chain binding	2	3.1746031746031744	0.077557736646966	DNAH8, DNAH9	57	27	18770	24.392462638076672	0.999974470973913	1.0	1.0
GOTERM_CC_DIRECT	GO:0019897~extrinsic component of plasma membrane	2	3.1746031746031744	0.07882324730413352	ANXA2, S100A10	60	28	20164	24.004761904761907	0.9999803540988943	1.0	1.0
GOTERM_BP_DIRECT	GO:0015698~inorganic anion transport	2	3.1746031746031744	0.09128756331589641	ABCC2, SLC4A5	57	33	19349	20.573099415204677	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:1990782~protein tyrosine kinase binding	2	3.1746031746031744	0.09938102825299167	ACVR1, TRIM6	57	35	18770	18.81704260651629	0.9999988911240814	1.0	1.0
