Annotation Cluster 1	Enrichment Score: 1.7291451499544577
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0030286~dynein complex	3	5.660377358490567	0.0021002463858757585	DYNC1LI2, DNAH8, DNAH9	50	28	20164	43.20857142857143	0.21806779343289262	0.24572882714746375	0.24572882714746375
UP_KW_CELLULAR_COMPONENT	KW-0243~Dynein	3	5.660377358490567	0.00361810105801456	DYNC1LI2, DNAH8, DNAH9	47	34	17441	32.74280350438047	0.08993678752542411	0.09407062750837857	0.09407062750837857
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	8	15.09433962264151	0.008515472100945866	DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DNAH9, CHST5, RAD54B	51	897	19066	3.334163988895447	0.6901339638282719	0.5833098389147918	0.5833098389147918
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	5.660377358490567	0.01895148435305062	DYNC1LI2, DNAH8, DNAH9	48	87	19349	13.900143678160921	0.9985607180663876	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	9	16.9811320754717	0.03582871329646564	ACVR1, DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DNAH9, ACSM4, RAD54B	48	1540	18770	2.2853084415584415	0.987903563080542	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-0493~Microtubule	4	7.547169811320755	0.04051956740283425	DYNC1LI2, DNAH8, MAP7, DNAH9	47	289	17441	5.13612603990282	0.658854867572962	0.5267543762368453	0.5267543762368453
GOTERM_CC_DIRECT	GO:0005874~microtubule	4	7.547169811320755	0.04469596779375605	DYNC1LI2, DNAH8, MAP7, DNAH9	50	326	20164	4.948220858895706	0.9952513685002233	0.7470611759813511	0.7470611759813511
UP_KW_MOLECULAR_FUNCTION	KW-0505~Motor protein	3	5.660377358490567	0.05421948070112911	DYNC1LI2, DNAH8, DNAH9	33	137	11639	7.7232913072329135	0.7900430751986627	1.0	1.0
UP_SEQ_FEATURE	NP_BIND:ATP	7	13.20754716981132	0.06349960717465467	ACVR1, DYNC1LI2, DNAH8, SLFN14, DNAH9, ACSM4, RAD54B	53	1117	20406	2.4128308643435075	0.9999999928996841	1.0	1.0

Annotation Cluster 2	Enrichment Score: 1.5248350270917423
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	8	15.09433962264151	0.008515472100945866	DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DNAH9, CHST5, RAD54B	51	897	19066	3.334163988895447	0.6901339638282719	0.5833098389147918	0.5833098389147918
INTERPRO	IPR003593:AAA+ ATPase domain	3	5.660377358490567	0.0528205534517915	ABCC2, DNAH8, DNAH9	51	141	19066	7.954109303295787	0.9994094993685788	0.8040462025439372	0.8040462025439372
SMART	SM00382:AAA	3	5.660377358490567	0.05922202330910056	ABCC2, DNAH8, DNAH9	30	141	10317	7.317021276595745	0.8955221420767021	1.0	1.0

