Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	13	3.110047846889952	1.918138527746816E-4	PTPRT, TENM3, PCDH7, PCDH20, PCDH19, PCDH18, PCDH17, CDH11, CDH23, PCDHA3, FAT3, CD200, CDH19	369	158	16792	3.744228328359233	0.27508631443301	0.32148001725036635	0.32148001725036635
GOTERM_MF_DIRECT	GO:0008093~cytoskeletal adaptor activity	5	1.1961722488038278	3.493627465870292E-4	SDCBP, NCK2, ANK2, GAS2L2, BICD1	375	16	16881	14.0675	0.1673135055811078	0.1830660792116033	0.1830660792116033
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	8	1.9138755980861244	0.0019652588285451844	CENPE, DNAH1, DNAH11, DNAH7, DNAH8, STARD9, KIF14, KIF2B	375	80	16881	4.5016	0.6432816918113196	0.5148978130788383	0.5148978130788383
GOTERM_BP_DIRECT	GO:0034765~regulation of ion transmembrane transport	9	2.15311004784689	0.0030691441817874586	KCNJ5, KCND2, SCN11A, KCNB2, KCNH8, KCNQ3, KCNA10, SCN3A, KCNJ3	369	111	16792	3.689738519006812	0.9942287660441393	1.0	1.0
KEGG_PATHWAY	hsa04740:Olfactory transduction	17	4.0669856459330145	0.0038690555693783276	OR2C3, OR6K6, OR9K2, OR13J1, OR5M3, OR10T2, OR4L1, OR1L4, OR5P2, OR1M1, OR52K1, OR2S2, OR52R1, OR4K15, OR51T1, OR10A4, OR4D5	133	399	6879	2.2036859064955623	0.4430949491228031	0.5880964465455057	0.5880964465455057
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	20	4.784688995215311	0.006112929483527841	CNTNAP3, PTPRT, TNXB, LAMB2, TNC, HAPLN3, PCDH18, GP5, PTPRF, PCDH17, SELP, VCAN, RELN, THEMIS2, CDH11, COL8A1, CCR8, PCDHA3, MPDZ, SPAM1	369	459	16792	1.9828660160239948	0.9999657849178646	1.0	1.0
GOTERM_BP_DIRECT	GO:0019985~translesion synthesis	5	1.1961722488038278	0.007686557024781954	RFC1, REV3L, SPRTN, DTL, POLH	369	36	16792	6.320385426076483	0.9999976002660946	1.0	1.0
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	11	2.631578947368421	0.007845531721606534	CENPE, DNAH1, DNAH11, MSH2, DNAH7, DNAH8, STARD9, KIF14, ATP13A5, KIF2B, MYH4	375	183	16881	2.705879781420765	0.9838731580030503	1.0	1.0
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	63	15.07177033492823	0.007925649905407221	ZNF133, ZNF572, STEAP3, ZNF174, PRDM4, ZNF292, LRRK1, NUDT4, ZNF608, SALL2, MECOM, ZSCAN30, DZIP1L, REV3L, ZNF800, PELO, POLH, KCMF1, PLA2G4F, KCND2, MUSK, ZNF281, ARAP2, YOD1, GTPBP8, DICER1, MUT, ZNF879, ZNF711, ZNF157, ZNF430, ZNF672, ZBTB49, TSHZ2, ZNF3, ZBTB5, ABO, PTS, FGD4, RELN, UGP2, ZNF507, HIVEP1, CLCA1, ZNF789, ZNF821, ZNF227, ARSE, PDZD8, HMOX2, ZNF462, KDM4D, ZNF804A, CYBRD1, ZBTB12, MYO9A, SOD3, KLF8, PDP2, SPRTN, ATP13A5, ZNF211, GZF1	375	2069	16881	1.370714354760754	0.9845413382612103	1.0	1.0
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	45	10.76555023923445	0.009033339191909528	CHRM2, SLC24A1, STEAP3, ENPEP, TENM3, SAMD8, NPFFR1, SLC5A11, SLC7A14, LPAR1, PTPRJ, PKD2, BEST3, PTPRF, PROKR2, PTPRZ1, CNGA1, CCR8, CLCA1, HAS2, PCDHA3, TRPC7, SLC34A2, KCND2, MUSK, FZD4, ATP8B1, FAM26E, TRPC4, SLC6A15, KCNH8, TIE1, PCDH7, GPR55, NRG1, NMBR, GP5, SELP, P2RX7, DCSTAMP, TMEM5, ATP13A5, RAPGEF2, EVI2B, CD200	394	1415	18224	1.4709691305985542	0.9555110664664912	1.0	1.0
GOTERM_BP_DIRECT	GO:0008366~axon ensheathment	3	0.7177033492822966	0.009351502345437189	PRX, NRG1, PPARD	369	7	16792	19.502903600464577	0.9999998564032964	1.0	1.0
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	18	4.30622009569378	0.013046912441084408	OR2C3, OR6K6, OR9K2, OR13J1, OR5M3, OR10T2, OR4L1, OR1L4, OR5P2, OR1M1, OR52K1, OR2S2, OR52R1, OR4K15, OR51T1, OR10A4, OR4C5, OR4D5	369	425	16792	1.9273457675753227	0.9999999997275748	1.0	1.0
