Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Polymorphism	305	72.96650717703349	4.710499226632808E-10	MDC1, ERRFI1, ANKLE2, OR9K2, NPFFR1, CCNI, IFT172, ZNF292, ITSN1, THUMPD1, ISM1, RPL6, SYNGAP1, ZNF608, PNP, GJA3, SCN11A, ZSCAN30, MYB, DZIP1L, TRIM24, PIEZO2, EPC1, FBXO8, TRIM21, PELO, CHGB, FNBP4, SLC34A2, MUSK, SLC6A15, GLCE, ZNF281, STARD9, C8ORF4, COG2, ANK2, GTPBP8, NIF3L1, FNDC1, OR4K15, MAP1A, ARMC4, SPATA13, KCNQ3, ULK2, ZNF711, RIN2, ENPEP, OR13J1, DHX9, TSHZ2, LPAR1, OR10T2, PRDM11, PCDH19, ZBTB5, SLC30A10, LY9, ABO, TTBK1, MED12L, DHX34, HIVEP1, STXBP5, PCDHA3, CEP192, RAB11FIP2, SCN3A, RALGDS, HMOX2, TRPM3, DNAH11, PHC1, RNASE11, ST13, FZD4, PCDH20, INTS2, MTHFR, NR1D2, NMBR, OR5P2, MINA, OR52K1, GRIN3A, TREML2, SPRTN, FAT3, ATM, CD200, DCP1B, ZNF133, PTPRT, PHF3, INTS12, ECM2, TENM3, USPL1, KIF14, SLC7A14, EFCAB5, PTPRJ, FMN1, C12ORF42, PTPRF, TRIM9, PCLO, MECOM, MIS18BP1, ZMYM4, PRX, ZMYM6, REV3L, CCR8, ZNF800, DLGAP2, SPTAN1, TSC22D1, NCOA5, FSHB, ZFR, SERPINB8, CNKSR2, DCSTAMP, OR52R1, ENAM, PLIN4, KIF2B, SPAM1, TNXB, RPL10, NOL8, HTT, AKAP6, ZNF3, HSPA14, RASIP1, FSTL5, PROKR2, RELN, FAM184B, NTF3, RPL14, CCT4, ZNF462, PCGF6, SPRYD4, KCNB2, GPR55, MOCOS, OR1L4, XPO7, OTOP1, MYO9A, POU4F2, KBTBD3, CENPE, THEMIS2, ZNF211, GZF1, ZNF572, STEAP3, OLFML2B, WWC2, TNC, HDLBP, BEST3, CASC1, SYDE2, SALL2, C1RL, KPNA2, TECTA, GUCY1A3, BORA, KCNH8, THEMIS, C2ORF16, ALG11, THNSL1, TANC2, MID2, MSH2, KAT6B, GPRIN1, FSCN3, FAM161B, OR2C3, OR6K6, IQCA1, YTHDC2, FAM109B, SLC38A11, RASAL2, THADA, SDCBP, OR2S2, ARHGAP20, UBD, GRK7, CDH23, CLCA1, ZNF789, MPDZ, PDZD8, GAS2L2, FAM83B, SPECC1, NEK4, ODF1, ATP8B1, PTCH1, CCDC136, CYBRD1, TDRD5, SELP, IGSF10, UBOX5, GDNF, LRIT1, FAM175A, NF1, MANSC1, NFE2L2, CNTNAP3, RTP1, LRRK1, KIAA0100, PKD2, PPP1R9A, AFF3, TTC29, BICD1, KBTBD12, CNGA1, CYTIP, POLH, DIS3L2, PLA2G4F, RFC1, TRPC4, ARAP2, OR4L1, NRG1, NAV1, WNT16, MUT, MMS22L, VCAN, ALS2, THRAP3, CDH11, CRH, UGT2B4, KCNA10, SMCR8, MNS1, MYH4, C3ORF67, OR10A4, DTL, FAN1, GTF3C1, SLC24A1, DNAH1, DNAH7, DNAH8, ZBTB49, OR5M3, SLC5A11, NTN4, RBM4B, PKD1L2, ASB18, PTHLH, CLN5, KRT83, LRP6, NWD1, UGP2, PTPRZ1, MARVELD2, CDC37L1, CEACAM21, CCDC77, KCNJ3, KCNJ5, SEC24A, ERAP2, KDM4D, LAMB2, MGA, TIE1, ERAP1, ZNF804A, KIAA1683, PTPN13, SOD3, DYTN, TNRC6C, P2RX7, SNRK, ATP13A5, EVI2B	418	12043	20581	1.246968101146331	1.4790968183575615E-7	1.2984661820408465E-7	1.2323023001534147E-7
UP_KEYWORDS	Phosphoprotein	229	54.78468899521531	8.270485235928958E-10	MDC1, ERRFI1, ANKLE2, RPL32, MYT1L, ZNF292, ITSN1, THUMPD1, RPL6, SYNGAP1, ZNF608, PNP, SCN11A, MYB, DZIP1L, TRIM24, PIEZO2, EPC1, TRIM21, PELO, CHGB, DDX17, FNBP4, MUSK, SLC6A15, ZNF281, STARD9, ANK2, DICER1, RC3H2, NIF3L1, CCDC80, FNDC1, MAP1A, SPATA13, KCNQ3, ULK2, RIN2, EPB42, DHX9, TSHZ2, MEPCE, LPAR1, SLAIN1, BCL10, PRDM11, ZBTB5, LY9, TTBK1, MED12L, CDKN2AIP, DHX34, HIVEP1, STXBP5, CEP192, RAB11FIP2, SCN3A, HMOX2, PHC1, ST13, NR1D2, NMBR, MINA, MLLT10, REL, SPRTN, ATM, DCP1B, PTPRT, PHF3, INTS12, USPL1, KIF14, SLC7A14, MED19, EFCAB5, PTPRJ, FMN1, IKBKAP, PTPRF, TRIM9, PCLO, MECOM, MIS18BP1, ZMYM4, PRX, ZMYM6, REV3L, ZNF800, DLGAP2, SPTAN1, TSC22D1, KCND2, NCOA5, ZFR, BAZ1B, CNKSR2, ENAM, PLIN4, RAPGEF2, KIF2B, NOL8, HTT, AKAP6, ZNF3, RASIP1, PTS, FAM117B, FGD4, RPL14, CCT4, ZNF462, PCGF6, KCNB2, MOCOS, XPO7, MYO9A, CENPE, THEMIS2, RAB9B, GZF1, CHRM2, STEAP3, ZFAND6, WWC2, TNC, HDLBP, EDC3, EDC4, SYDE2, SALL2, TUBB3, KPNA6, KPNA2, KCMF1, GUCY1A3, BORA, THEMIS, TANC2, MID2, DOK1, MSH2, KAT6B, GPRIN1, GMNC, YTHDC2, RASAL2, THADA, SDCBP, ARHGAP20, GRK7, LRRC4C, MPDZ, PDZD8, FAM83B, MFAP3L, SPECC1, NEK4, ODF1, ATP8B1, PTCH1, CCDC136, CPSF2, CYBRD1, ZBTB12, TDRD5, IGSF10, FAM175B, FAM175A, NF1, ZCCHC3, NFE2L2, CREBZF, KIAA0100, PKD2, PPP1R9A, AFF3, BICD1, TMEM100, NCK2, DIS3L2, TRPC7, MAPK1IP1L, RBM15, RFC1, TRPC4, ARAP2, NAV1, UTP18, MUT, VCAN, ALS2, THRAP3, CDH11, SMCR8, MNS1, MYH4, DTL, FAN1, GTF3C1, SLC24A1, USP15, DNAH8, RBM4B, MLLT3, LRP6, UGP2, PTPRZ1, MARVELD2, ZNF507, CDC37L1, CCDC77, KCNJ3, KCNJ5, SPAG5, LAMB2, MGA, TIE1, PCDH7, PTPN13, TNRC6C, P2RX7, SNRK, GOLPH3, OCIAD1, VIM, SYCP3, EVI2B, RBMX	418	8246	20581	1.3673583364182955	2.596932081599945E-7	1.2984661820408465E-7	1.2323023001534147E-7
UP_KEYWORDS	Coiled coil	99	23.684210526315788	1.1908641977563821E-6	OLFML2B, MYT1L, ZNF292, ITSN1, WWC2, TNC, HDLBP, CASC1, EDC4, SYNGAP1, ZNF608, TUBB3, DZIP1L, TRIM24, PIEZO2, TRIM21, KCMF1, GUCY1A3, STARD9, MID2, LRRC37B, CCDC80, MSH2, KAT6B, MAP1A, ARMC4, GMNC, FAM161B, IQCA1, TSHZ2, FAM109B, THADA, SLAIN1, RASAL2, TTBK1, ZNF821, STXBP5, SCN3A, PDZD8, TRPM3, SPECC1, DNAH11, ST13, CCDC136, CPSF2, MLLT10, GRIN3A, FAM175B, FAM175A, NFE2L2, CREBZF, KIF14, EFCAB5, FMN1, KIAA0100, PPP1R9A, PKD2, BICD1, TRIM9, PCLO, CNGA1, TMED2, CYTIP, SPTAN1, TSC22D1, TRPC4, NAV1, BAZ1B, CNKSR2, MNS1, KIF2B, MYH4, FAN1, SLC24A1, DNAH1, TNXB, DNAH7, DNAH8, HTT, NOL8, HSPA14, KRT83, FAM184B, MARVELD2, CDC37L1, CCDC77, ZNF462, PCGF6, SPAG5, LAMB2, C2ORF78, MGA, PTPN13, MYO9A, DYTN, TNRC6C, CENPE, VIM, SYCP3	418	3036	20581	1.6055491990846682	3.7386167706265905E-4	1.2464378603183467E-4	1.1829251031046729E-4
UP_SEQ_FEATURE	sequence variant	299	71.5311004784689	3.961457492494256E-6	MDC1, ERRFI1, ANKLE2, OR9K2, NPFFR1, CCNI, IFT172, THUMPD1, ISM1, RPL6, ZNF608, PNP, RPS19, GJA3, SCN11A, ZSCAN30, MYB, DZIP1L, TRIM24, PIEZO2, FBXO8, TRIM21, PELO, CHGB, FNBP4, SLC34A2, MUSK, SLC6A15, GLCE, ZNF281, STARD9, C8ORF4, COG2, ANK2, GTPBP8, NIF3L1, FNDC1, OR4K15, MAP1A, ARMC4, SPATA13, KCNQ3, ULK2, RIN2, ENPEP, EPB42, OR13J1, DHX9, TSHZ2, LPAR1, OR10T2, BCL10, PCDH19, ZBTB5, LY9, ABO, TTBK1, MED12L, DHX34, HIVEP1, STXBP5, PCDHA3, CEP192, RAB11FIP2, SCN3A, RALGDS, ARSE, HMOX2, TRPM3, DNAH11, PHC1, RNASE11, ST13, FZD4, PCDH20, INTS2, MTHFR, NR1D2, NMBR, OR5P2, MINA, OR52K1, GRIN3A, TREML2, SPRTN, FAT3, ATM, CD200, DCP1B, ZNF133, PTPRT, PHF3, INTS12, ECM2, TENM3, USPL1, KIF14, SLC7A14, EFCAB5, PTPRJ, FMN1, IKBKAP, C12ORF42, PTPRF, TRIM9, PCLO, MECOM, MIS18BP1, ZMYM4, PRX, ZMYM6, REV3L, CCR8, ZNF800, DLGAP2, SPTAN1, TSC22D1, NCOA5, FSHB, ZFR, SERPINB8, CNKSR2, DCSTAMP, OR52R1, ENAM, PLIN4, KIF2B, SPAM1, TNXB, RPL10, NOL8, HTT, AKAP6, ZNF3, HSPA14, RASIP1, PTS, FSTL5, FGD4, PROKR2, RELN, FAM184B, NTF3, RPL14, CCT4, ZNF462, PCGF6, SPRYD4, KCNB2, GPR55, MOCOS, OR1L4, XPO7, OTOP1, MYO9A, POU4F2, KBTBD3, CENPE, THEMIS2, ZNF211, GZF1, ZNF572, STEAP3, OLFML2B, WWC2, TNC, HDLBP, BEST3, CASC1, SYDE2, SALL2, TUBB3, C1RL, KPNA2, GUCY1A3, BORA, KCNH8, THEMIS, C2ORF16, ALG11, THNSL1, MID2, MSH2, KAT6B, GPRIN1, FSCN3, FAM161B, OR2C3, OR6K6, IQCA1, YTHDC2, FAM109B, SLC38A11, RASAL2, THADA, SDCBP, OR2S2, ARHGAP20, UBD, GRK7, CDH23, CLCA1, ZNF789, PDZD8, GAS2L2, FAM83B, SPECC1, NEK4, ODF1, ATP8B1, PTCH1, CCDC136, CYBRD1, TDRD5, SELP, IGSF10, UBOX5, GDNF, LRIT1, FAM175A, NF1, MANSC1, NFE2L2, CNTNAP3, RTP1, LRRK1, KIAA0100, PKD2, PPP1R9A, AFF3, TTC29, KBTBD12, CNGA1, CYTIP, POLH, DIS3L2, PLA2G4F, RFC1, TRPC4, ARAP2, OR4L1, NRG1, NAV1, WNT16, MUT, MMS22L, VCAN, ALS2, THRAP3, CDH11, UGT2B4, KCNA10, SMCR8, MNS1, MYH4, C3ORF67, OR10A4, DTL, FAN1, GTF3C1, SLC24A1, DNAH1, DNAH7, DNAH8, ZBTB49, OR5M3, SLC5A11, NTN4, PKD1L2, ASB18, PTHLH, CLN5, KRT83, LRP6, NWD1, UGP2, PTPRZ1, MARVELD2, CDC37L1, CEACAM21, CCDC77, KCNJ3, SEC24A, ERAP2, KDM4D, LAMB2, MGA, TIE1, ERAP1, ZNF804A, KIAA1683, PTPN13, SOD3, DYTN, TNRC6C, P2RX7, SNRK, ATP13A5, EVI2B	412	12443	20063	1.1701586418534538	0.0055188817861853146	0.00553811757450697	0.005466811339642073
UP_KEYWORDS	Zinc-finger	65	15.550239234449762	4.697963022156108E-6	ZNF133, PHF3, INTS12, ZNF572, ZNF174, PRDM4, MYT1L, ZFAND6, ZNF292, TRIM9, ZNF608, PCLO, SALL2, MECOM, ZSCAN30, ZMYM4, ZMYM6, DZIP1L, REV3L, TRIM24, ZNF800, RNF150, TRIM21, KCMF1, ZNF281, ARAP2, YOD1, BAZ1B, RC3H2, MID2, KAT6B, ZNF879, ZNF711, ZNF157, FAN1, PPARD, ZNF430, ZNF672, ZBTB49, TSHZ2, RBM4B, ZNF3, ZBTB5, FGD4, ZNF507, HIVEP1, ZNF789, ZNF821, ZNF227, PDZD8, ZNF462, PCGF6, PHC1, ZNF804A, ZBTB12, NR1D2, MYO9A, DYTN, KLF8, MLLT10, UBOX5, SPRTN, ZCCHC3, ZNF211, GZF1	418	1781	20581	1.7969650403380717	0.0014740763347175223	3.687900972392545E-4	3.4999824515063E-4
UP_KEYWORDS	Isopeptide bond	44	10.526315789473683	5.803249738792126E-5	GTF3C1, INTS12, MDC1, RPL10, IFT172, TSHZ2, KIF14, NOL8, ZNF3, ZBTB5, MLLT3, PRDM11, CDKN2AIP, LRP6, ZNF608, MECOM, SALL2, TUBB3, MIS18BP1, ZMYM4, RPL14, TRIM24, ZNF800, SAP18, POLH, FNBP4, DDX17, ZNF462, RFC1, PTCH1, MGA, ZNF281, BAZ1B, KLF8, MLLT10, CENPE, CCDC80, KAT6B, THRAP3, SPRTN, VIM, MYH4, RBMX, ZCCHC3	418	1132	20581	1.9137995164589918	0.018057702895571737	0.0036444408359614547	0.003458736844320107
UP_SEQ_FEATURE	domain:Ras-associating	7	1.674641148325359	5.89424430007515E-5	ARHGAP20, ARAP2, RAPGEF2, RIN2, MYO9A, RALGDS, RASIP1	412	34	20063	10.025770988006853	0.07904584345518184	0.0412007676575253	0.04067028567051854
UP_KEYWORDS	Zinc	75	17.942583732057415	7.347386797688665E-5	ZNF133, PHF3, INTS12, ZNF572, ZNF174, PRDM4, MYT1L, ZFAND6, ZNF292, TRIM9, ZNF608, PCLO, SALL2, MECOM, ZSCAN30, ZMYM4, ZMYM6, DZIP1L, REV3L, TRIM24, ZNF800, RNF150, TRIM21, KCMF1, KCND2, ZNF281, ARAP2, YOD1, BAZ1B, RC3H2, MID2, KAT6B, ZNF879, ZNF711, ZNF157, FAN1, PPARD, ZNF430, ZNF672, ENPEP, ZBTB49, TSHZ2, RBM4B, ZNF3, ZBTB5, SLC30A10, PTS, FGD4, RELN, ZNF507, HIVEP1, CLCA1, ZNF789, ZNF821, ZNF227, PDZD8, ZNF462, PCGF6, PHC1, KDM4D, ERAP2, ERAP1, ZNF804A, ZBTB12, NR1D2, MYO9A, SOD3, DYTN, KLF8, MLLT10, UBOX5, SPRTN, ZCCHC3, ZNF211, GZF1	418	2348	20581	1.5727270689500583	0.022807526891098773	0.0038451324241237346	0.0036492021095187034
INTERPRO	IPR005821:Ion transport domain	11	2.631578947368421	9.7810133677179E-5	TRPC7, KCND2, SCN11A, TRPC4, KCNB2, KCNH8, KCNQ3, CNGA1, KCNA10, SCN3A, TRPM3	401	106	18559	4.802827836070201	0.07091664425940225	0.04936899496924097	0.04910639393217054
UP_KEYWORDS	Ion transport	29	6.937799043062201	1.3055418997057062E-4	SLC24A1, STEAP3, SLC5A11, SLC38A11, PKD1L2, SLC30A10, PKD2, BEST3, SCN11A, PIEZO2, CNGA1, CLCA1, ATP6V1D, SCN3A, TRPM3, KCNJ3, TRPC7, SLC34A2, KCNJ5, KCND2, FAM26E, TRPC4, SLC6A15, KCNH8, KCNB2, P2RX7, GRIN3A, KCNQ3, KCNA10	418	642	20581	2.2240941137891457	0.04016769479198801	0.005469492153612261	0.005190791916485522
