Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04740:Olfactory transduction	13	8.609271523178808	2.2036659864954286E-4	OR52J3, OR10G2, OR6K2, OR4N5, OR52N1, OR5W2, OR2T1, OR11A1, OR8D4, OR13A1, OR5AK2, CALM2, OR9G1	64	399	6879	3.501997180451128	0.028030082328989514	0.02864765782444057	0.02864765782444057
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	19	12.582781456953644	4.90188742008122E-4	ABCA1, CX3CR1, OR52J3, XCR1, OR10G2, OR6K2, APLP2, OR4N5, OR52N1, HTR4, OR5W2, OR2T1, GPR150, OR11A1, OR8D4, OR13A1, OR5AK2, CALM2, OR9G1	141	899	16792	2.5169652647938214	0.3548911249243568	0.39029156578616236	0.39029156578616236
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	12	7.9470198675496695	8.333764513647621E-4	OR5W2, OR52J3, OR2T1, OR10G2, OR6K2, OR4N5, OR52N1, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	139	431	16881	3.3813283479944585	0.21607927479235522	0.24334592379851053	0.24334592379851053
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	12	7.9470198675496695	8.741132492411251E-4	OR5W2, OR52J3, OR2T1, OR10G2, OR6K2, OR4N5, OR52N1, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	141	425	16792	3.3626032540675843	0.5424179129192475	0.39029156578616236	0.39029156578616236
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	50	33.11258278145696	0.0011202838869935597	KCNG1, OR52J3, KCNC1, OR52N1, HTR4, ACTG1, ROBO1, MC4R, OR5W2, DAG1, TRIM69, OR8D4, FAM21A, LRRFIP1, ATP7A, HSP90AA1, TRPC3, APLP2, RHOG, EMP1, VAMP7, OR2T1, SPINT1, TLR9, PKP4, OR5AK2, S100A8, TLR2, CX3CR1, OR6K2, KCNA4, HSP90B1, GPR150, CDH24, PCDHA3, MAP4, PCDH1, ABCA1, AOC3, XCR1, OR10G2, GABRA4, OR4N5, XKR8, SERBP1, ACIN1, OR11A1, OR13A1, CALM2, OR9G1	145	4121	18224	1.52490607401953	0.20885228314379578	0.23413933238165396	0.23413933238165396
GOTERM_MF_DIRECT	GO:0044325~ion channel binding	6	3.9735099337748347	0.002352417618682445	HSP90AA1, KCNC1, AKAP9, NPTN, CALM2, S100A10	139	113	16881	6.448462468962883	0.49727659903031196	0.343452972327637	0.343452972327637
GOTERM_BP_DIRECT	GO:0051260~protein homooligomerization	7	4.635761589403973	0.0036927767794528886	KCNG1, VCP, KCNC1, CCDC88C, SMARCAD1, KCNA4, KCTD6	141	177	16792	4.709860960852668	0.9633907028093786	1.0	1.0
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	5	3.3112582781456954	0.005219501677037663	KCNG1, KCNC1, AKAP9, KCNA4, CALM2	145	88	18224	7.141065830721003	0.6650361655746526	0.5419863266655012	0.5419863266655012
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	9	5.960264900662252	0.009386892474575588	FRMD3, AKAP9, DAG1, TBCC, PKP4, LRRFIP1, FRMD4B, S100A8, ACTG1	145	371	18224	3.048907891067943	0.8607001458382042	0.5419863266655012	0.5419863266655012
GOTERM_CC_DIRECT	GO:0048471~perinuclear region of cytoplasm	12	7.9470198675496695	0.010372944051014377	ABCA1, CX3CR1, DNAJA1, VCP, HSP90AA1, CCNT2, VAMP7, SERBP1, PKP4, PPIB, ATP7A, HSP90B1	145	621	18224	2.4286523404964186	0.8868756541850447	0.5419863266655012	0.5419863266655012
