Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	307	54.04929577464789	8.566403070705851E-12	MDC1, ERRFI1, ANKLE2, RPL32, MAML2, MYT1L, TRIL, ZNF292, ITSN1, DMP1, THUMPD1, RPL6, SYNGAP1, ZNF608, PNP, SCN11A, MYB, DZIP1L, DAG1, TRIM24, PIEZO2, EPC1, TRIM21, PELO, CHGB, DDX17, FNBP4, MUSK, TSTD2, LIMCH1, SLC6A15, ZNF281, STARD9, TALDO1, ANK2, DICER1, RC3H2, NIF3L1, CCDC80, FNDC1, PPP1R3B, MAP1A, AKAP9, SPATA13, KCNQ3, ULK2, RIN2, CGGBP1, EPB42, DHX9, TSHZ2, MEPCE, MYNN, LPAR1, SLAIN1, BCL10, PRDM11, ZBTB5, LY9, TTBK1, MED12L, CDKN2AIP, BRIP1, INPP5F, DHX34, HIVEP1, STXBP5, CEP192, MAP4, RAB11FIP2, RREB1, SCN3A, HMOX2, ABCA1, PHC1, ST13, NR1D2, NMBR, MINA, PARP14, TRERF1, MLLT10, GOLGB1, CCDC88C, REL, SPRTN, ATM, CALM2, DCP1B, PTPRT, PHF3, INTS12, USPL1, KCNC1, RPLP1, RPLP0, KIF14, SLC7A14, MED19, EFCAB5, PTPRJ, FMN1, IKBKAP, PTPRF, ROBO1, TUBA1C, TRIM9, TUBA1A, PCLO, MECOM, MIS18BP1, ZMYM4, PRX, ZMYM6, REV3L, ZNF800, FAM21A, DLGAP2, SPTAN1, PARP4, TSC22D1, KCND2, NCOA5, ZFR, RHOG, BAZ1B, TERF2, CNKSR2, VAMP7, ENAM, PLIN4, RAPGEF2, KIF2B, INPP1, KCNA4, NOL8, HTT, AKAP6, ZNF3, AKAP3, RASIP1, PTS, FAM117B, FGD4, RPL14, EXTL3, CCT4, ZNF462, PCGF6, KCNB2, MOCOS, XPO7, MYO9A, CENPE, THEMIS2, SERBP1, TRIP12, RAB9B, GZF1, CHRM2, STEAP3, CCNT2, DCLRE1C, DENND5B, ZFAND6, WWC2, TNC, HDLBP, TTF2, EDC3, EDC4, SYDE2, SALL2, TUBB3, KPNA6, SMARCAD1, KPNA2, KCMF1, GUCY1A3, BORA, APLP2, THEMIS, FRMD4B, TANC2, MID2, DOK1, MSH2, KAT6B, GPRIN1, GMNC, PKP4, VCP, YTHDC2, RASAL2, THADA, PHF21A, HSP90B1, SDCBP, ARHGAP20, GRK7, ABL2, LRRC4C, MPDZ, PDZD8, SKIL, FAM83B, MFAP3L, SPECC1, NEK4, ODF1, ATP8B1, PTCH1, CCDC136, CPSF2, CYBRD1, TBCC, ZBTB12, TDRD6, TDRD5, LRP1B, IGSF10, FAM175B, FAM175A, NF1, ZCCHC3, NFE2L2, CREBZF, CHD7, KIAA0100, PKD2, PPP1R9A, AFF3, BICD1, AFF4, TMEM100, SIX4, NCK2, TRIM69, CCIN, ZNF644, LRRFIP1, ATP7A, DIS3L2, TRPC7, MAPK1IP1L, HSP90AA1, RBM15, RFC1, TRPC4, ARAP2, NAV1, UTP18, MUT, PTBP2, TTI1, PPM1A, VCAN, ALS2, THRAP3, ZNF638, CDH11, SMCR8, MNS1, MYH4, DTL, FAN1, MCPH1, HEMGN, GTF3C1, CX3CR1, SLC24A1, USP15, C1R, DNAH8, RBM4B, MLLT3, LRP6, UGP2, PALMD, PTPRZ1, MARVELD2, ZNF507, FAM63B, CDC37L1, CCDC77, PCDH1, BUB1, KCNJ3, KCNJ5, SPAG5, LAMB2, MGA, TIE1, PCDH7, KIAA0232, PTPN13, DNAJA1, TNRC6C, P2RX7, SNRK, GOLPH3, OCIAD1, ACIN1, VIM, SYCP3, EVI2B, RBMX	568	8246	20581	1.349003827720141	3.0239285520039516E-9	3.0239402839591654E-9	2.76694819183799E-9
UP_KEYWORDS	Polymorphism	403	70.95070422535211	4.007803226935841E-10	MDC1, ANKLE2, MAML2, ZNF292, IFT172, TRIL, ITSN1, DMP1, HTR4, ISM1, RPL6, SYNGAP1, GJA3, SCN11A, ZSCAN30, NDST3, MYB, CHGB, FNBP4, TSTD2, GLCE, ZNF281, STARD9, GTPBP8, SPINT1, OR4K15, MAP1A, ARMC4, ENPEP, OR13J1, ENDOD1, SLC30A10, PRDM11, LY9, ABO, PCDHA3, RREB1, HMOX2, ABCA1, DNAH11, PHC1, RNASE11, FZD4, ST13, OR4N5, MTHFR, NR1D2, OR5P2, MINA, GRIN3A, TREML2, FAT3, ZNF133, PHF3, EFCAB5, FMN1, C12ORF42, TRIM9, OR5W2, TUBA1A, MECOM, DLGAP2, EMP1, TMC5, SERPINB8, TERF2, PLIN4, RPL10, HTT, HSPA14, FSTL5, PROKR2, NTF3, RPL14, EXTL3, CSMD1, PMS1, AOC3, ZNF462, PCGF6, OR10G2, KCNB2, GABRA4, GPR55, MOCOS, OR1L4, ZNF79, POU4F2, CENPE, ZNF211, GZF1, KCNG1, ZNF572, OLFML2B, TNC, BEST3, CASC1, SALL2, SMARCAD1, KPNA2, TECTA, KCNH8, THNSL1, FRMD3, OR2T1, MSH2, KAT6B, FSCN3, IQCA1, FAM109B, SLC38A11, RASAL2, THADA, PHF21A, OR2S2, ABL2, CLCA1, ZNF789, SKIL, MPDZ, NEK4, ODF1, ATP8B1, TMEM132B, CYBRD1, FBXO34, IGSF10, UBOX5, LRIT1, NF1, NFE2L2, CNTNAP3, LRRK1, KIAA0100, BICD1, KBTBD12, CNGA1, TRIM69, OR8D4, CCIN, ZNF644, ATP7A, DIS3L2, RFC1, TRPC4, NRG1, MMS22L, SLC25A15, ZNF638, CRH, UGT2B4, SMCR8, C3ORF67, OR10A4, DTL, CX3CR1, GTF3C1, SLC24A1, C1R, ZBTB49, SLC5A11, NTN4, LRP6, PTPRZ1, CDC37L1, CEACAM21, CCDC77, PCDH1, STOX1, KCNJ3, KCNJ5, SEC24A, ERAP2, MGA, TIE1, ERAP1, KIAA1683, PTPN13, DYTN, TNRC6C, P2RX7, SNRK, OR11A1, EVI2B, ERRFI1, OR9K2, NPFFR1, CCNI, OR52N1, THUMPD1, ZNF608, PNP, PIEZO2, DZIP1L, DAG1, TRIM24, EPC1, FBXO8, TRIM21, PELO, SLC34A2, MUSK, LIMCH1, SLC6A15, COG2, C8ORF4, ANK2, NIF3L1, FNDC1, PPP1R3B, AKAP9, SPATA13, KCNQ3, ULK2, ZNF711, OR5AK2, RIN2, DHX9, TSHZ2, LPAR1, OR10T2, PCDH19, ZBTB5, MED12L, TTBK1, BRIP1, INPP5F, DHX34, HIVEP1, STXBP5, CEP192, MAP4, RAB11FIP2, SCN3A, RALGDS, TRPM3, PCDH20, INTS2, ST8SIA3, SETDB2, DCLK3, IFI44, NMBR, TRERF1, OR52K1, GOLGB1, CCDC88C, SPRTN, ATM, CALM2, VSX1, CD200, OR9G1, DCP1B, PTPRT, INTS12, TENM3, ECM2, USPL1, SLC7A14, KIF14, PTPRJ, PTPRF, ROBO1, MC4R, PCLO, MIS18BP1, ZMYM4, PRX, ZMYM6, REV3L, CCR8, SOSTDC1, ZNF800, SPTAN1, PARP4, NCOA5, TSC22D1, FSHB, ZFR, CNKSR2, DCSTAMP, OR52R1, ENAM, TLR9, ARHGEF4, KIF2B, SPAM1, TLR2, TNXB, INPP1, NOL8, AKAP6, ZNF3, AKAP3, RASIP1, RELN, FAM184B, XDH, CCT4, SPRYD4, XPO7, OTOP1, MYO9A, KBTBD3, THEMIS2, STEAP3, DCLRE1C, ZFAND4, DENND5B, WWC2, HDLBP, TTF2, ACTG1, SYDE2, C1RL, GUCY1A3, BORA, APLP2, THEMIS, C2ORF16, ALG11, TANC2, MID2, GPRIN1, FAM161B, PPIB, OR2C3, OR6K6, VCP, OR6K2, YTHDC2, SDCBP, ARHGAP20, UBD, GRK7, CDH23, LRRIQ4, PDZD8, GAS2L2, FAM83B, SPECC1, CCDC136, PTCH1, TBCC, TDRD6, TDRD5, LRP1B, SELP, GDNF, FAM175A, MANSC1, OR52J3, RTP1, CHD7, PKD2, PPP1R9A, AFF3, TTC29, AFF4, SIX4, LRRFIP1, CYTIP, POLH, PLA2G4F, ARAP2, OR4L1, NAV1, WNT16, TMPRSS11E, MUT, TTI1, VCAN, ALS2, THRAP3, CDH11, KCNA10, MNS1, MYH4, FAN1, MCPH1, DNAH1, DNAH7, DNAH8, OR5M3, RBM4B, PKD1L2, ASB18, PTHLH, CLN5, KRT83, NWD1, UGP2, PALMD, MARVELD2, BUB1, KDM4D, LAMB2, ZNF804A, SOD3, ACIN1, ATP13A5, ASB4	568	12043	20581	1.212518843861141	1.4147543514475558E-7	7.07377269554176E-8	6.472602211501383E-8
UP_KEYWORDS	Isopeptide bond	61	10.73943661971831	9.151032984041921E-7	INTS12, MDC1, IFT172, RPLP0, KIF14, ACTG1, ZNF608, TUBA1A, PSMD7, SALL2, MECOM, TUBB3, MIS18BP1, ZMYM4, TRIM24, ZNF800, SMARCAD1, ZNF644, LRRFIP1, POLH, DDX17, FNBP4, RFC1, ZNF281, BAZ1B, CCDC80, KAT6B, THRAP3, PKP4, MYH4, GTF3C1, RPL10, TSHZ2, CUL1, NOL8, ZNF3, PRDM11, ZBTB5, MLLT3, CDKN2AIP, PHF21A, LRP6, PALMD, RPL14, SAP18, MAP4, RREB1, SKIL, ZNF462, PTCH1, MGA, KLF8, CENPE, MLLT10, SERBP1, SPRTN, ACIN1, VIM, CALM2, RBMX, ZCCHC3	568	1132	20581	1.9525472179365948	3.229794430311683E-4	1.0767715477889327E-4	9.852612179485136E-5
UP_SEQ_FEATURE	topological domain:Extracellular	119	20.950704225352112	1.7402313631986195E-6	CHRM2, OR9K2, NPFFR1, TRIL, OR52N1, HTR4, BEST3, GJA3, TUBB3, DAG1, SLC34A2, MUSK, SLC6A15, APLP2, LRRC37B, OR2T1, OR4K15, OR51T1, OR5AK2, OR2C3, OR6K6, ENPEP, OR6K2, OR13J1, LPAR1, OR10T2, SLC38A11, PCDH19, SLC30A10, LY9, PCDH18, PCDH17, OR2S2, CDH23, CDH24, PCDHA3, TRPM3, MFAP3L, ABCA1, XCR1, ATP8B1, FZD4, PTCH1, TMEM132B, PCDH20, OR4N5, OR5P2, NMBR, OR52K1, GP5, LRP1B, SELP, GRIN3A, TREML2, FAT3, MANSC1, OR13A1, CD200, OR9G1, CNTNAP3, PTPRT, OR52J3, TENM3, RTP1, PTPRJ, PKD2, PTPRF, ROBO1, MC4R, OR5W2, NPTN, CNGA1, CCR8, OR8D4, RNF150, ATP7A, OR4D5, TRPC7, TRPC3, TRPC4, OR4L1, NRG1, TMPRSS11E, TMC5, OR52R1, TMEM5, CDH11, TLR9, OR10A4, OR4C5, CDH19, TLR2, CX3CR1, SLC24A1, OR5M3, SLC5A11, PKD1L2, OR1M1, LRP6, PROKR2, PTPRZ1, MARVELD2, GPR150, CEACAM21, HAS2, PCDH1, CSMD1, KCNJ3, AOC3, KCNJ5, OR10G2, TIE1, PCDH7, GABRA4, GPR55, OR1L4, P2RX7, OR11A1, EVI2B	562	2787	20063	1.5242968433767863	0.0031309878474949926	0.003137637147847111	0.0031184946028519262
KEGG_PATHWAY	hsa04740:Olfactory transduction	30	5.28169014084507	2.422924501296787E-6	OR2C3, OR6K6, OR9K2, OR52J3, OR6K2, OR13J1, OR5M3, OR52N1, OR10T2, OR1M1, OR2S2, OR5W2, OR8D4, OR4D5, OR10G2, OR4N5, OR4L1, OR1L4, OR5P2, OR52K1, OR2T1, OR52R1, OR4K15, OR51T1, OR11A1, OR10A4, OR13A1, OR5AK2, CALM2, OR9G1	197	399	6879	2.6254723102171673	5.014202262039191E-4	5.01545371768435E-4	5.01545371768435E-4
INTERPRO	IPR005821:Ion transport domain	15	2.640845070422535	2.7171273858197847E-6	KCNG1, TRPC7, KCNC1, KCND2, TRPC3, TRPC4, KCNB2, KCNH8, KCNA4, SCN11A, KCNQ3, CNGA1, KCNA10, SCN3A, TRPM3	547	106	18559	4.801231416646545	0.0026782155376656736	0.0026818047298041276	0.00265191632856011
UP_SEQ_FEATURE	topological domain:Cytoplasmic	139	24.471830985915492	4.644769127853943E-6	CHRM2, KCNG1, OR9K2, STEAP3, NPFFR1, TRIL, OR52N1, HTR4, BEST3, GJA3, TUBB3, NDST3, DAG1, SLC34A2, MUSK, KCNH8, SLC6A15, APLP2, GLCE, LRRC37B, OR2T1, OR4K15, OR51T1, OR5AK2, OR2C3, OR6K6, ENPEP, OR6K2, OR13J1, LPAR1, OR10T2, SLC38A11, PCDH19, SLC30A10, LY9, PCDH18, ABO, PCDH17, OR2S2, CHST11, CDH23, CDH24, PCDHA3, TRPM3, MFAP3L, XCR1, ATP8B1, FZD4, PTCH1, TMEM132B, PCDH20, OR4N5, ST8SIA3, OR5P2, NMBR, OR52K1, GP5, LRP1B, SELP, GRIN3A, LRIT1, GOLGB1, TREML2, FAT3, MANSC1, OR13A1, CD200, OR9G1, CNTNAP3, PTPRT, OR52J3, RTP3, TENM3, KCNC1, RTP1, PTPRJ, PKD2, PTPRF, ROBO1, MC4R, OR5W2, NPTN, CNGA1, TMED2, CCR8, OR8D4, RNF150, ATP7A, OR4D5, TRPC7, TRPC3, KCND2, TRPC4, OR4L1, NRG1, TMPRSS11E, TMC5, DCSTAMP, VAMP7, OR52R1, TMEM5, CDH11, TLR9, OR10A4, OR4C5, CDH19, TLR2, CX3CR1, SLC24A1, SAMD8, OR5M3, SLC5A11, PKD1L2, OR1M1, LRP6, PROKR2, PTPRZ1, MARVELD2, GPR150, CEACAM21, HAS2, PCDH1, EXTL3, CSMD1, KCNJ3, AOC3, KCNJ5, OR10G2, ERAP2, KCNB2, TIE1, PCDH7, GABRA4, ERAP1, GPR55, OR1L4, P2RX7, OR11A1, EVI2B	562	3456	20063	1.4358220681758271	0.008334963370225879	0.0039545241624156496	0.003930397836410895
UP_SEQ_FEATURE	sequence variant	398	70.07042253521126	6.579907092205739E-6	MDC1, ANKLE2, IFT172, TRIL, DMP1, HTR4, ISM1, RPL6, GJA3, SCN11A, ZSCAN30, NDST3, MYB, CHGB, FNBP4, TSTD2, GLCE, ZNF281, STARD9, GTPBP8, SPINT1, OR4K15, MAP1A, ARMC4, ENPEP, OR13J1, ENDOD1, BCL10, LY9, ABO, PCDHA3, RREB1, HMOX2, ABCA1, DNAH11, PHC1, RNASE11, FZD4, ST13, OR4N5, MTHFR, NR1D2, OR5P2, MINA, GRIN3A, TREML2, FAT3, ZNF133, PHF3, EFCAB5, FMN1, C12ORF42, TRIM9, OR5W2, TUBA1A, MECOM, DLGAP2, EMP1, TMC5, SERPINB8, TERF2, PLIN4, RPL10, HTT, HSPA14, FSTL5, FGD4, PROKR2, NTF3, RPL14, EXTL3, CSMD1, PMS1, AOC3, ZNF462, PCGF6, OR10G2, KCNB2, GABRA4, GPR55, MOCOS, OR1L4, ZNF79, POU4F2, CENPE, ZNF211, GZF1, KCNG1, ZNF572, OLFML2B, TNC, BEST3, CASC1, SALL2, TUBB3, SMARCAD1, KPNA2, KCNH8, THNSL1, FRMD3, OR2T1, MSH2, KAT6B, FSCN3, PKP4, IQCA1, FAM109B, SLC38A11, RASAL2, THADA, PHF21A, OR2S2, ABL2, CLCA1, ZNF789, SKIL, NEK4, ODF1, ATP8B1, TMEM132B, CYBRD1, FBXO34, IGSF10, UBOX5, LRIT1, NF1, NFE2L2, CNTNAP3, LRRK1, KIAA0100, KBTBD12, CNGA1, TRIM69, OR8D4, CCIN, ZNF644, ATP7A, DIS3L2, HSP90AA1, RFC1, TRPC4, NRG1, MMS22L, SLC25A15, ZNF638, UGT2B4, SMCR8, C3ORF67, OR10A4, DTL, CX3CR1, GTF3C1, SLC24A1, C1R, ZBTB49, SLC5A11, NTN4, LRP6, PTPRZ1, CDC37L1, CEACAM21, CCDC77, PCDH1, STOX1, KCNJ3, SEC24A, ERAP2, MGA, TIE1, ERAP1, KIAA1683, PTPN13, DYTN, TNRC6C, P2RX7, SNRK, OR11A1, EVI2B, ERRFI1, OR9K2, NPFFR1, CCNI, OR52N1, THUMPD1, ZNF608, PNP, RPS19, PIEZO2, DZIP1L, DAG1, TRIM24, FBXO8, TRIM21, PELO, SLC34A2, MUSK, LIMCH1, SLC6A15, COG2, C8ORF4, TALDO1, ANK2, NIF3L1, FNDC1, PPP1R3B, AKAP9, SPATA13, KCNQ3, ULK2, OR5AK2, RIN2, EPB42, DHX9, TSHZ2, LPAR1, OR10T2, PCDH19, ZBTB5, MED12L, TTBK1, BRIP1, INPP5F, DHX34, HIVEP1, STXBP5, CEP192, MAP4, RAB11FIP2, SCN3A, ARSE, RALGDS, TRPM3, PCDH20, INTS2, ST8SIA3, SETDB2, DCLK3, IFI44, NMBR, TRERF1, OR52K1, GOLGB1, CCDC88C, SPRTN, ATM, CALM2, VSX1, CD200, OR9G1, DCP1B, PTPRT, INTS12, TENM3, ECM2, USPL1, SLC7A14, KIF14, PTPRJ, IKBKAP, PTPRF, ROBO1, MC4R, PCLO, MIS18BP1, ZMYM4, PRX, ZMYM6, REV3L, CCR8, SOSTDC1, ZNF800, SPTAN1, PARP4, NCOA5, TSC22D1, FSHB, ZFR, CNKSR2, DCSTAMP, OR52R1, ENAM, TLR9, ARHGEF4, KIF2B, SPAM1, TLR2, TNXB, INPP1, NOL8, AKAP6, ZNF3, AKAP3, RASIP1, PTS, RELN, FAM184B, XDH, CCT4, SPRYD4, XPO7, OTOP1, MYO9A, KBTBD3, THEMIS2, STEAP3, DCLRE1C, ZFAND4, DENND5B, WWC2, HDLBP, TTF2, ACTG1, SYDE2, C1RL, GUCY1A3, BORA, APLP2, THEMIS, C2ORF16, ALG11, MID2, GPRIN1, FAM161B, PPIB, OR2C3, OR6K6, VCP, OR6K2, YTHDC2, SDCBP, ARHGAP20, UBD, GRK7, CDH23, LRRIQ4, PDZD8, GAS2L2, FAM83B, SPECC1, CCDC136, PTCH1, TBCC, TDRD6, TDRD5, LRP1B, SELP, GDNF, FAM175A, MANSC1, OR52J3, RTP1, CHD7, PKD2, PPP1R9A, AFF3, TTC29, AFF4, SIX4, LRRFIP1, CYTIP, POLH, PLA2G4F, ARAP2, OR4L1, NAV1, WNT16, MUT, TTI1, VCAN, ALS2, THRAP3, CDH11, KCNA10, MNS1, MYH4, FAN1, MCPH1, DNAH1, DNAH7, DNAH8, OR5M3, PKD1L2, ASB18, PTHLH, CLN5, KRT83, NWD1, UGP2, PALMD, MARVELD2, BUB1, KDM4D, LAMB2, ZNF804A, SOD3, ACIN1, ATP13A5, ASB4	562	12443	20063	1.14187227565528	0.011787013997011542	0.0039545241624156496	0.003930397836410895
UP_KEYWORDS	Olfaction	30	5.28169014084507	1.6928036980641312E-5	OR2C3, OR6K6, OR9K2, OR52J3, OR6K2, OR13J1, OR5M3, OR52N1, OR10T2, OR1M1, OR2S2, OR5W2, OR8D4, OR4D5, OR10G2, OR4N5, OR4L1, OR1L4, OR5P2, OR52K1, OR2T1, OR52R1, OR4K15, OR51T1, OR11A1, OR10A4, OR4C5, OR13A1, OR5AK2, OR9G1	568	443	20581	2.453780243537977	0.0059578289603471335	0.0014938992635415958	0.001366938986186786
UP_SEQ_FEATURE	zinc finger region:C2H2-type 1	35	6.161971830985916	1.727335248267189E-5	ZNF430, ZNF133, ZNF672, ZNF572, ZNF174, ZBTB49, ZNF292, TSHZ2, MYNN, ZNF3, ZBTB5, ZNF829, MECOM, SALL2, ZSCAN30, ZNF507, HIVEP1, ZNF789, ZNF821, ZNF227, ZNF644, RREB1, ZNF462, ZFHX2, ZNF281, ZBTB12, ZNF79, TRERF1, ZFP90, KLF8, ZNF711, ZNF630, ZNF157, ZNF211, GZF1	562	554	20063	2.2553701966930895	0.03064739710776687	0.0077859636315643545	0.007738461912237007
UP_KEYWORDS	Ion channel	26	4.577464788732395	2.3342005424135202E-5	KCNG1, KCNC1, KCNA4, PKD1L2, PKD2, BEST3, SCN11A, PIEZO2, CNGA1, SCN3A, TRPM3, KCNJ3, TRPC7, KCNJ5, KCND2, TRPC3, FAM26E, TRPC4, KCNH8, KCNB2, GABRA4, TMC5, P2RX7, GRIN3A, KCNQ3, KCNA10	568	359	20581	2.6242006355682843	0.008205969779945255	0.0015901055746328128	0.001454969123530874
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	17	2.992957746478873	2.4513156802838306E-5	PTPRT, TENM3, PCDH7, PCDH20, PCDH19, PCDH18, PCDH17, ROBO1, CDH11, CDH23, NPTN, CDH24, PCDHA3, FAT3, PCDH1, CD200, CDH19	509	158	16792	3.5495759866703143	0.05161818045916333	0.04488610158534086	0.04488610158534086
UP_SEQ_FEATURE	short sequence motif:Selectivity filter	10	1.7605633802816902	2.66594319172266E-5	KCNG1, KCNJ5, KCNC1, KCND2, KCNB2, KCNH8, KCNQ3, KCNA4, KCNA10, KCNJ3	562	57	20063	6.26303302740838	0.04690523026604487	0.009613391149351913	0.009554740399134013
