Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04740:Olfactory transduction	30	5.28169014084507	2.422924501296787E-6	OR2C3, OR6K6, OR9K2, OR52J3, OR6K2, OR13J1, OR5M3, OR52N1, OR10T2, OR1M1, OR2S2, OR5W2, OR8D4, OR4D5, OR10G2, OR4N5, OR4L1, OR1L4, OR5P2, OR52K1, OR2T1, OR52R1, OR4K15, OR51T1, OR11A1, OR10A4, OR13A1, OR5AK2, CALM2, OR9G1	197	399	6879	2.6254723102171673	4.989985107384243E-4	5.01545371768435E-4	5.01545371768435E-4
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	17	2.992957746478873	2.4513156802838306E-5	PTPRT, TENM3, PCDH7, PCDH20, PCDH19, PCDH18, PCDH17, ROBO1, CDH11, CDH23, NPTN, CDH24, PCDHA3, FAT3, PCDH1, CD200, CDH19	509	158	16792	3.5495759866703143	0.051641428291414715	0.04488610158534086	0.04488610158534086
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	30	5.28169014084507	4.1522758173303293E-5	OR2C3, OR6K6, OR9K2, OR52J3, OR6K2, OR13J1, OR5M3, OR52N1, OR10T2, OR1M1, OR2S2, OR5W2, OR8D4, OR4D5, OR10G2, OR4N5, OR4L1, OR1L4, OR5P2, OR52K1, OR2T1, OR52R1, OR4K15, OR51T1, OR11A1, OR10A4, OR4C5, OR13A1, OR5AK2, OR9G1	509	425	16792	2.3287183635733273	0.08590026172035103	0.04488610158534086	0.04488610158534086
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	30	5.28169014084507	5.612533984948545E-5	OR2C3, OR6K6, OR9K2, OR52J3, OR6K2, OR13J1, OR5M3, OR52N1, OR10T2, OR1M1, OR2S2, OR5W2, OR8D4, OR4D5, OR10G2, OR4N5, OR4L1, OR1L4, OR5P2, OR52K1, OR2T1, OR52R1, OR4K15, OR51T1, OR11A1, OR10A4, OR4C5, OR13A1, OR5AK2, OR9G1	513	431	16881	2.2904709569748034	0.03663642897773345	0.03732335099990782	0.03715497498035937
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	11	1.936619718309859	2.6084348545302324E-4	KCNG1, KCNJ5, KCNC1, KCND2, KCNB2, AKAP9, KCNQ3, KCNA4, KCNA10, CALM2, KCNJ3	538	88	18224	4.234200743494424	0.10167257114704131	0.10720667252119255	0.10720667252119255
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	16	2.8169014084507045	4.7297503451766546E-4	ABCA1, VCP, HSP90AA1, DNAH1, DNAH11, DNAH7, DNAH8, STARD9, KIF14, CENPE, MSH2, ACIN1, ATP13A5, KIF2B, MYH4, PMS1	513	183	16881	2.8770651583421207	0.2699211985373252	0.15047588199680106	0.14979704343140196
GOTERM_MF_DIRECT	GO:0005251~delayed rectifier potassium channel activity	7	1.232394366197183	6.788385653991026E-4	KCNG1, KCNC1, KCND2, KCNB2, KCNQ3, KCNA4, KCNA10	513	36	16881	6.398473034437946	0.36337910293221587	0.15047588199680106	0.14979704343140196
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	154	27.11267605633803	7.536089467923722E-4	CHRM2, KCNG1, OR9K2, NPFFR1, ITSN1, OR52N1, HDLBP, HTR4, ACTG1, SCN11A, DAG1, TECTA, GUCY1A3, SLC34A2, KCNH8, SLC6A15, APLP2, ANK2, OR2T1, SPINT1, OR4K15, GPRIN1, OR51T1, KCNQ3, PKP4, OR5AK2, S100A8, OR2C3, OR6K6, ENPEP, EPB42, OR6K2, OR13J1, LPAR1, OR10T2, BCL10, PCDH19, SLC30A10, LY9, PCDH18, PCDH17, HSP90B1, OR2S2, SDCBP, CDH23, CDH24, CLCA1, STXBP5, PCDHA3, MAP4, RAB11FIP2, SCN3A, HMOX2, TRPM3, MFAP3L, ABCA1, XCR1, ATP8B1, FZD4, PTCH1, PCDH20, OR4N5, CYBRD1, OR5P2, NMBR, OR52K1, GP5, SELP, XKR8, GRIN3A, TREML2, FAT3, OR13A1, CALM2, CD200, OR9G1, NFE2L2, CNTNAP3, PTPRT, OR52J3, KCNC1, RTP1, KIF14, PTPRJ, FMN1, PKD2, PTPRF, ROBO1, MC4R, TMEM100, OR5W2, PRX, CNGA1, TRIM69, CCR8, FAM21A, OR8D4, LRRFIP1, ATP7A, OR4D5, TRPC7, HSP90AA1, TRPC3, KCND2, TRPC4, RHOG, OR4L1, EMP1, CNKSR2, VAMP7, OR52R1, CDH11, PLIN4, TLR9, RAPGEF2, KCNA10, OR10A4, OR4C5, SPAM1, CDH19, TLR2, CX3CR1, SLC24A1, OR5M3, SLC5A11, NTN4, KCNA4, OR1M1, LRP6, PROKR2, RELN, GPR150, PCDH1, KCNJ3, AOC3, KCNJ5, OR10G2, ERAP2, KCNB2, PCDH7, GABRA4, ERAP1, GPR55, OR1L4, PTPN13, DYTN, P2RX7, GOLPH3, SERBP1, ATP13A5, ACIN1, OR11A1, VIM, RAB9B	538	4121	18224	1.2658421053106357	0.26644305125916135	0.1548666385658325	0.1548666385658325
GOTERM_MF_DIRECT	GO:0008093~cytoskeletal adaptor activity	5	0.8802816901408451	0.0011383811206435433	SDCBP, NCK2, ANK2, GAS2L2, BICD1	513	16	16881	10.283260233918128	0.5311416881543242	0.18925586130698907	0.18840207546650642
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	45	7.922535211267606	0.0011448490622584647	OR2C3, CHRM2, CX3CR1, OR6K6, OR9K2, OR52J3, OR6K2, OR13J1, OR5M3, LPAR1, OR52N1, OR10T2, HTR4, OR1M1, OR2S2, OR5W2, PROKR2, GPR150, CCR8, OR8D4, OR4D5, ABCA1, XCR1, OR10G2, FZD4, APLP2, GPR55, OR4N5, OR4L1, OR1L4, OR5P2, NMBR, OR52K1, OR2T1, OR52R1, OR4K15, OR51T1, RAPGEF2, OR11A1, OR10A4, OR4C5, OR13A1, OR5AK2, CALM2, OR9G1	509	899	16792	1.651343667161286	0.9160662183088264	0.8250545575342669	0.8250545575342669
