Annotation Cluster 1	Enrichment Score: 3.008446136943471
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	13	3.110047846889952	1.918138527746816E-4	PTPRT, TENM3, PCDH7, PCDH20, PCDH19, PCDH18, PCDH17, CDH11, CDH23, PCDHA3, FAT3, CD200, CDH19	369	158	16792	3.744228328359233	0.27494723926950937	0.32148001725036635	0.32148001725036635
UP_SEQ_FEATURE	domain:Cadherin 5	10	2.3923444976076556	3.09078741011E-4	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	412	105	20063	4.637771613499768	0.35069306735474204	0.08454976155774523	0.08346113801837511
UP_SEQ_FEATURE	domain:Cadherin 3	10	2.3923444976076556	4.985915100442502E-4	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	412	112	20063	4.347910887656034	0.5017762670164545	0.08454976155774523	0.08346113801837511
UP_SEQ_FEATURE	domain:Cadherin 4	10	2.3923444976076556	4.985915100442502E-4	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	412	112	20063	4.347910887656034	0.5017762670164545	0.08454976155774523	0.08346113801837511
UP_SEQ_FEATURE	domain:Cadherin 1	10	2.3923444976076556	6.047908552056167E-4	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	412	115	20063	4.234487125369354	0.570506391750331	0.08454976155774523	0.08346113801837511
UP_SEQ_FEATURE	domain:Cadherin 2	10	2.3923444976076556	6.047908552056167E-4	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	412	115	20063	4.234487125369354	0.570506391750331	0.08454976155774523	0.08346113801837511
INTERPRO	IPR020894:Cadherin conserved site	10	2.3923444976076556	7.612831894404763E-4	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	401	113	18559	4.09573411603734	0.4360011016154717	0.12560391080507333	0.1249358048965357
UP_KEYWORDS	Cell adhesion	22	5.263157894736842	8.365948851553819E-4	CNTNAP3, TENM3, TNXB, LAMB2, PCDH7, PCDH20, TNC, PCDH19, PCDH18, GP5, LY9, PTPRF, PCDH17, SELP, RELN, CDH11, CDH23, COL8A1, PCDHA3, FAT3, SPAM1, CDH19	418	479	20581	2.2613998461707503	0.23110490649328919	0.02388098126716272	0.02266411597966398
INTERPRO	IPR002126:Cadherin	10	2.3923444976076556	0.0010379309382052837	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	401	118	18559	3.9221860602730465	0.5420198383921977	0.12560391080507333	0.1249358048965357
INTERPRO	IPR015919:Cadherin-like	10	2.3923444976076556	0.001169185339940842	PCDH20, PCDH7, CDH11, CDH23, PCDHA3, FAT3, PCDH19, PCDH18, PCDH17, CDH19	401	120	18559	3.8568162926018292	0.5851099636440356	0.12560391080507333	0.1249358048965357
