Annotation Cluster 1	Enrichment Score: 2.7456203348438413
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04740:Olfactory transduction	13	8.609271523178808	2.2036659864954286E-4	OR52J3, OR10G2, OR6K2, OR4N5, OR52N1, OR5W2, OR2T1, OR11A1, OR8D4, OR13A1, OR5AK2, CALM2, OR9G1	64	399	6879	3.501997180451128	0.028244272033736362	0.02864765782444057	0.02864765782444057
INTERPRO	IPR017452:GPCR, rhodopsin-like, 7TM	17	11.258278145695364	2.271731695033972E-4	CX3CR1, OR52J3, XCR1, OR10G2, OR6K2, OR4N5, OR52N1, HTR4, MC4R, OR5W2, OR2T1, GPR150, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	147	736	18559	2.916139825495416	0.08417135830217637	0.07800906694699133	0.07800906694699133
UP_SEQ_FEATURE	topological domain:Cytoplasmic	44	29.13907284768212	3.3807243825945675E-4	KCNG1, CX3CR1, OR52J3, KCNC1, OR6K2, TRIL, OR52N1, HTR4, ROBO1, MC4R, OR5W2, CHST11, GPR150, NDST3, DAG1, NPTN, CDH24, PCDHA3, OR8D4, ATP7A, PCDH1, EXTL3, CSMD1, AOC3, XCR1, OR10G2, TRPC3, APLP2, TMEM132B, GABRA4, OR4N5, ST8SIA3, TMC5, TMPRSS11E, LRP1B, OR2T1, VAMP7, GOLGB1, TLR9, OR11A1, OR13A1, OR5AK2, OR9G1, TLR2	151	3456	20063	1.6916007480990924	0.20001758630357003	0.19913518008832345	0.19913518008832345
UP_KEYWORDS	Olfaction	12	7.9470198675496695	4.145277891088074E-4	OR5W2, OR52J3, OR2T1, OR10G2, OR6K2, OR4N5, OR52N1, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	151	443	20581	3.6920455055087977	0.08755697535515161	0.04848406089606427	0.04694836665953735
UP_KEYWORDS	G-protein coupled receptor	17	11.258278145695364	4.38769781864835E-4	CX3CR1, OR52J3, XCR1, OR10G2, OR6K2, OR4N5, OR52N1, HTR4, MC4R, OR5W2, OR2T1, GPR150, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	151	842	20581	2.7518601248997183	0.09243437495431173	0.04848406089606427	0.04694836665953735
GOTERM_BP_DIRECT	GO:0007186~G-protein coupled receptor signaling pathway	19	12.582781456953644	4.90188742008122E-4	ABCA1, CX3CR1, OR52J3, XCR1, OR10G2, OR6K2, APLP2, OR4N5, OR52N1, HTR4, OR5W2, OR2T1, GPR150, OR11A1, OR8D4, OR13A1, OR5AK2, CALM2, OR9G1	141	899	16792	2.5169652647938214	0.35457474473041595	0.39029156578616236	0.39029156578616236
INTERPRO	IPR000276:G protein-coupled receptor, rhodopsin-like	16	10.596026490066226	5.520550021465879E-4	CX3CR1, OR52J3, XCR1, OR10G2, OR6K2, OR4N5, HTR4, MC4R, OR5W2, OR2T1, GPR150, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	147	719	18559	2.8094954254302555	0.19241283021867905	0.07800906694699133	0.07800906694699133
UP_SEQ_FEATURE	topological domain:Extracellular	37	24.503311258278146	6.025270199344129E-4	CX3CR1, OR52J3, OR6K2, TRIL, OR52N1, HTR4, ROBO1, MC4R, OR5W2, GPR150, DAG1, NPTN, CDH24, PCDHA3, OR8D4, ATP7A, PCDH1, CSMD1, ABCA1, AOC3, XCR1, OR10G2, TRPC3, APLP2, TMEM132B, GABRA4, OR4N5, TMC5, TMPRSS11E, LRP1B, OR2T1, TLR9, OR11A1, OR13A1, OR5AK2, OR9G1, TLR2	151	2787	20063	1.7639394825074792	0.32819535267624167	0.19913518008832345	0.19913518008832345
INTERPRO	IPR000725:Olfactory receptor	12	7.9470198675496695	6.047214492014832E-4	OR5W2, OR52J3, OR2T1, OR10G2, OR6K2, OR4N5, OR52N1, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	147	430	18559	3.523303274798291	0.20871572586132758	0.07800906694699133	0.07800906694699133
GOTERM_MF_DIRECT	GO:0004984~olfactory receptor activity	12	7.9470198675496695	8.333764513647621E-4	OR5W2, OR52J3, OR2T1, OR10G2, OR6K2, OR4N5, OR52N1, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	139	431	16881	3.3813283479944585	0.21607927479235522	0.24334592379851053	0.24334592379851053
UP_KEYWORDS	Receptor	25	16.55629139072848	8.429164117689965E-4	CX3CR1, OR52J3, OR6K2, OR52N1, HTR4, ROBO1, MC4R, OR5W2, GPR150, DAG1, OR8D4, XCR1, OR10G2, TRPC3, GABRA4, OR4N5, LRP1B, OR2T1, TLR9, OR11A1, TRIP12, OR13A1, OR5AK2, OR9G1, TLR2	151	1648	20581	2.0676276281103325	0.1700278079361568	0.048910243779706986	0.047361050537815814
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	12	7.9470198675496695	8.741132492411251E-4	OR5W2, OR52J3, OR2T1, OR10G2, OR6K2, OR4N5, OR52N1, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	141	425	16792	3.3626032540675843	0.5420175844218711	0.39029156578616236	0.39029156578616236
UP_KEYWORDS	Transducer	17	11.258278145695364	8.852532810806694E-4	CX3CR1, OR52J3, XCR1, OR10G2, OR6K2, OR4N5, OR52N1, HTR4, MC4R, OR5W2, OR2T1, GPR150, OR11A1, OR8D4, OR13A1, OR5AK2, OR9G1	151	899	20581	2.5773817855011822	0.17776383691509134	0.048910243779706986	0.047361050537815814
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	50	33.11258278145696	0.0011202838869935597	KCNG1, OR52J3, KCNC1, OR52N1, HTR4, ACTG1, ROBO1, MC4R, OR5W2, DAG1, TRIM69, OR8D4, FAM21A, LRRFIP1, ATP7A, HSP90AA1, TRPC3, APLP2, RHOG, EMP1, VAMP7, OR2T1, SPINT1, TLR9, PKP4, OR5AK2, S100A8, TLR2, CX3CR1, OR6K2, KCNA4, HSP90B1, GPR150, CDH24, PCDHA3, MAP4, PCDH1, ABCA1, AOC3, XCR1, OR10G2, GABRA4, OR4N5, XKR8, SERBP1, ACIN1, OR11A1, OR13A1, CALM2, OR9G1	145	4121	18224	1.52490607401953	0.20885228314379578	0.23413933238165396	0.23413933238165396
UP_KEYWORDS	Sensory transduction	13	8.609271523178808	0.0017130725398736358	OR52J3, OR10G2, OR6K2, OR4N5, OR52N1, OR5W2, OR2T1, OR11A1, OR8D4, OR13A1, OR5AK2, VSX1, OR9G1	151	609	20581	2.9094813993192616	0.3153952930009136	0.0757178062624147	0.07331950470659161
UP_KEYWORDS	Cell membrane	38	25.165562913907287	0.002088272857467369	KCNG1, CX3CR1, OR52J3, KCNC1, OR6K2, OR52N1, KCNA4, HTR4, ROBO1, MC4R, OR5W2, GPR150, DAG1, NPTN, CDH24, PCDHA3, OR8D4, FAM21A, ATP7A, PCDH1, AOC3, HSP90AA1, XCR1, OR10G2, APLP2, GABRA4, OR4N5, RHOG, TMPRSS11E, XKR8, OR2T1, ARHGEF4, OR11A1, PKP4, OR13A1, OR5AK2, S100A8, OR9G1	151	3175	20581	1.6312833081295302	0.3699718959849464	0.07691805025004811	0.07448173191633617
UP_SEQ_FEATURE	disulfide bond	36	23.841059602649008	0.002666982124613089	CX3CR1, OR52J3, C1R, OR6K2, OR52N1, TXN, HTR4, ROBO1, HSP90B1, NDST3, DAG1, NPTN, TIMP2, SOSTDC1, OR8D4, XDH, EXTL3, CSMD1, ABCA1, AOC3, XCR1, OR10G2, APLP2, GABRA4, OR4N5, ST8SIA3, TMPRSS11E, LRP1B, OR2T1, SPINT1, SLPI, OR11A1, OR13A1, OR5AK2, OR9G1, TLR2	151	2917	20063	1.639777781309383	0.8283949401140686	0.5836136280332075	0.5836136280332075
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	47	31.125827814569533	0.0037259421926025445	OR52J3, KCNC1, DENND5B, C1R, OR6K2, TRIL, OR52N1, KCNA4, DMP1, HTR4, ROBO1, HSP90B1, MC4R, OR5W2, TMEM168, CHST11, NDST3, DAG1, NPTN, SOSTDC1, CDH24, PCDHA3, OR8D4, ATP7A, PCDH1, XDH, EXTL3, CSMD1, ABCA1, AOC3, OR10G2, TMEM132B, GABRA4, OR4N5, ST8SIA3, EMP1, TMPRSS11E, LRP1B, OR2T1, SPINT1, TLR9, OR11A1, PPIB, OR13A1, OR5AK2, OR9G1, TLR2	151	4234	20063	1.4749113921674741	0.9148818111856198	0.5836136280332075	0.5836136280332075
UP_KEYWORDS	Transmembrane helix	57	37.74834437086093	0.00486115621804107	KCNG1, OR52J3, KCNC1, DENND5B, TRIL, OR52N1, HTR4, ROBO1, MC4R, OR5W2, NDST3, NPTN, DAG1, OR8D4, ATP7A, TRPC3, APLP2, EMP1, TMPRSS11E, TMC5, FRMD3, SLC25A15, PPM1A, VAMP7, OR2T1, SPINT1, TLR9, ARHGEF4, OR5AK2, TLR2, CX3CR1, OR6K2, KCNA4, TMEM168, CHST11, GPR150, CDH24, PCDHA3, PCDH1, EXTL3, CSMD1, S100A10, ABCA1, AOC3, XCR1, OR10G2, TMEM132B, GABRA4, OR4N5, ST8SIA3, LRP1B, XKR8, XKR9, GOLGB1, OR11A1, OR13A1, OR9G1	151	5634	20581	1.378946885865617	0.6593620940590144	0.12112790795019787	0.11729127738163955
UP_KEYWORDS	Transmembrane	57	37.74834437086093	0.005203166458966943	KCNG1, OR52J3, KCNC1, DENND5B, TRIL, OR52N1, HTR4, ROBO1, MC4R, OR5W2, NDST3, NPTN, DAG1, OR8D4, ATP7A, TRPC3, APLP2, EMP1, TMPRSS11E, TMC5, FRMD3, SLC25A15, PPM1A, VAMP7, OR2T1, SPINT1, TLR9, ARHGEF4, OR5AK2, TLR2, CX3CR1, OR6K2, KCNA4, TMEM168, CHST11, GPR150, CDH24, PCDHA3, PCDH1, EXTL3, CSMD1, S100A10, ABCA1, AOC3, XCR1, OR10G2, TMEM132B, GABRA4, OR4N5, ST8SIA3, LRP1B, XKR8, XKR9, GOLGB1, OR11A1, OR13A1, OR9G1	151	5651	20581	1.3747985763523072	0.684280704374709	0.12112790795019787	0.11729127738163955
