Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005874~microtubule	7	8.333333333333332	0.0021586552951358834	RP1, DYNC1LI2, DNAH8, TUBB3, MAP7, NAV1, DNAH9	79	311	18224	5.192234116162644	0.26265500234794403	0.30437039661415954	0.30437039661415954
GOTERM_CC_DIRECT	GO:0045121~membrane raft	5	5.952380952380952	0.011800240144063856	SDCBP, NPC1, ANXA2, S100A10, HK1	79	206	18224	5.599115153004793	0.8124535248986736	0.8319169301565019	0.8319169301565019
GOTERM_BP_DIRECT	GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation	3	3.571428571428571	0.018483485192500947	ACVR1, SDCBP, DAB2	74	48	16792	14.182432432432433	0.9998227468114608	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	2.380952380952381	0.025805801490610025	ANXA2, S100A10	74	6	16792	75.63963963963964	0.9999944679699276	1.0	1.0
GOTERM_BP_DIRECT	GO:0006900~membrane budding	2	2.380952380952381	0.03004243776444528	ANXA2, S100A10	74	7	16792	64.83397683397683	0.9999992646136906	1.0	1.0
GOTERM_BP_DIRECT	GO:0002091~negative regulation of receptor internalization	2	2.380952380952381	0.03004243776444528	SDCBP, ANXA2	74	7	16792	64.83397683397683	0.9999992646136906	1.0	1.0
GOTERM_BP_DIRECT	GO:0051099~positive regulation of binding	2	2.380952380952381	0.03004243776444528	ANXA2, S100A10	74	7	16792	64.83397683397683	0.9999992646136906	1.0	1.0
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	3	3.571428571428571	0.0382041815655874	DYNC1LI2, MAP7, TACC2	74	71	16792	9.588123334602209	0.9999999852980291	1.0	1.0
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	3	3.571428571428571	0.043532005622441576	DYNC1LI2, DNAH8, DNAH9	71	80	16881	8.916021126760564	0.9995265042956231	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	16	19.047619047619047	0.04470154270208368	ACVR1, ANXA2, RPL32, LRBA, SERPINB9, LARP4, RASGRP1, SLC4A5, CLCN1, SDCBP, DYNC1LI2, ATIC, NPC1, ZW10, EXOC4, DEGS1	79	2200	18224	1.677698504027618	0.9984165302412588	1.0	1.0
GOTERM_CC_DIRECT	GO:0005930~axoneme	3	3.571428571428571	0.04611360331478267	RP1, ARMC4, DNAH9	79	80	18224	8.650632911392405	0.9987146292605943	1.0	1.0
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	3.571428571428571	0.048456969508327376	DYNC1LI2, DNAH8, DNAH9	74	81	16792	8.404404404404405	0.9999999998971121	1.0	1.0
