Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005874~microtubule	7	6.306306306306306	0.00924611541710443	RP1, DYNC1LI2, DNAH8, TUBB3, MAP7, NAV1, DNAH9	106	311	18224	3.869683916762725	0.7695409106445152	1.0	1.0
GOTERM_CC_DIRECT	GO:0005730~nucleolus	11	9.90990990990991	0.025949422771671508	DAB2, ZFHX3, TCOF1, MCRS1, GAR1, FCF1, URB2, TACC2, MKI67, BRWD1, STOX1	106	857	18224	2.206732568635653	0.9843007728991369	1.0	1.0
GOTERM_CC_DIRECT	GO:0045121~membrane raft	5	4.504504504504505	0.031328443643056245	SDCBP, NPC1, ANXA2, S100A10, HK1	106	206	18224	4.172925444220554	0.9934552282675368	1.0	1.0
GOTERM_BP_DIRECT	GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation	3	2.7027027027027026	0.03255919442691864	ACVR1, SDCBP, DAB2	100	48	16792	10.495	0.9999999975508438	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	1.8018018018018018	0.034861799320351855	ANXA2, S100A10	100	6	16792	55.973333333333336	0.9999999994123566	1.0	1.0
GOTERM_BP_DIRECT	GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	3	2.7027027027027026	0.035092876622111156	TENM4, IL1RAPL1, DCHS1	100	50	16792	10.075199999999999	0.9999999994908778	1.0	1.0
GOTERM_BP_DIRECT	GO:0051099~positive regulation of binding	2	1.8018018018018018	0.040553964331207205	ANXA2, S100A10	100	7	16792	47.97714285714286	0.9999999999830054	1.0	1.0
GOTERM_BP_DIRECT	GO:0002091~negative regulation of receptor internalization	2	1.8018018018018018	0.040553964331207205	SDCBP, ANXA2	100	7	16792	47.97714285714286	0.9999999999830054	1.0	1.0
GOTERM_BP_DIRECT	GO:0006900~membrane budding	2	1.8018018018018018	0.040553964331207205	ANXA2, S100A10	100	7	16792	47.97714285714286	0.9999999999830054	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	20	18.01801801801802	0.04572015001858233	ACVR1, ANXA2, RPL32, LRBA, WRNIP1, SERPINB9, MKI67, LARP4, RASGRP1, SLC4A5, CLCN1, SDCBP, DYNC1LI2, LOXHD1, ATIC, NPC1, ZW10, EXOC4, DCHS1, DEGS1	106	2200	18224	1.5629502572898801	0.9993851501505742	1.0	1.0
