Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Coiled coil	35	31.53153153153153	1.2606706923337005E-5	DNAH8, TRANK1, DNAH9, RASGRP1, LOXHD1, TRIM6, TCOF1, TUBB3, XIRP1, MAP7, EMILIN2, TMED2, LRRFIP1, SRRM2, ZNF462, ZFHX3, ZFHX2, ABCC2, MCRS1, LRBA, DDX10, NAV1, PXDNL, LRRC37B, DAB2, ZW10, CCDC88C, ARMC4, EXOC4, TRIP11, PTX3, TACC2, TRIM38, SMAP1, SPC25	111	3036	20581	2.1375179527353443	0.0023924229972308586	0.0023952743154340306	0.002382667608510694
UP_KEYWORDS	Polymorphism	83	74.77477477477478	3.2286046655542207E-4	RSC1A1, TENM4, TNFAIP3, ACSM4, MKI67, SLC4A5, HK1, NPAP1, LACTB, TRIM6, ATIC, EMILIN2, LRRFIP1, ZNF169, ZNF485, ACVR1, SRRM2, ABCC2, ANXA2, OR13G1, DDX10, NAV1, URB2, TEX2, MRPL44, DISP2, RP1, NPC1, PPP1R3B, TGIF2LX, SLFN14, ZW10, IL1RAPL1, ARMC4, EXOC4, CHST5, WDFY4, C17ORF97, DNAH8, WBP4, TRANK1, NLRC5, DNAH9, NYAP2, CLCN1, RAD54B, SDCBP, LOXHD1, FGD6, TCOF1, PTPRZ1, PENK, XIRP1, MAP7, ARSG, ZNF544, STOX1, ZNF462, SDR42E1, ZFHX3, OR5H2, SWT1, MCRS1, LRBA, PXDNL, LARP4, LRFN2, DAB2, FAM179A, MFAP3, CCDC88C, ATP13A4, ZNF614, TADA1, TRIP11, MANSC1, PTX3, DCHS1, TACC2, TRIM38, BRWD1, SMAP1, RBM44	111	12043	20581	1.2778706631567216	0.05950918227311153	0.030671744322765097	0.030510314089487386
UP_SEQ_FEATURE	sequence variant	85	76.57657657657657	9.704143890932793E-4	RSC1A1, KDM5C, TENM4, TNFAIP3, ACSM4, MKI67, SLC4A5, HK1, NPAP1, LACTB, TRIM6, ATIC, TUBB3, EMILIN2, LRRFIP1, ZNF169, ZNF485, ACVR1, SRRM2, ABCC2, ANXA2, OR13G1, DDX10, NAV1, URB2, TEX2, PDGFRL, MRPL44, DISP2, RP1, NPC1, PPP1R3B, TGIF2LX, SLFN14, ZW10, IL1RAPL1, ARMC4, EXOC4, CHST5, WDFY4, C17ORF97, DNAH8, WBP4, TRANK1, NLRC5, DNAH9, NYAP2, CLCN1, RAD54B, SDCBP, LOXHD1, FGD6, TCOF1, PTPRZ1, PENK, XIRP1, MAP7, ARSG, ZNF544, STOX1, ZNF462, SDR42E1, ZFHX3, OR5H2, SWT1, MCRS1, LRBA, PXDNL, LARP4, LRFN2, DAB2, FAM179A, CCDC88C, ATP13A4, ZNF614, TADA1, TRIP11, MANSC1, PTX3, DCHS1, TACC2, TRIM38, BRWD1, SMAP1, RBM44	111	12443	20063	1.2347149850163592	0.4266835338850373	0.5570178593395423	0.5570178593395423
UP_KEYWORDS	Microtubule	7	6.306306306306306	0.003955245097007503	RP1, DYNC1LI2, DNAH8, TUBB3, MAP7, NAV1, DNAH9	111	280	20581	4.63536036036036	0.5290421481307563	0.25049885614380857	0.2491804411114727
UP_KEYWORDS	Cytoskeleton	14	12.612612612612612	0.007696940633942822	DNAH8, NAV1, DNAH9, SDCBP, RP1, DYNC1LI2, FGD6, TUBB3, ZW10, ARMC4, MAP7, TRIP11, TACC2, STOX1	111	1138	20581	2.2810209154673124	0.7696316760658973	0.36560468011228403	0.36368044495379837
INTERPRO	IPR003593:AAA+ ATPase domain	5	4.504504504504505	0.007958438334220287	ABCC2, DNAH8, WRNIP1, NAV1, DNAH9	108	136	18559	6.317742374727668	0.891531628364971	1.0	1.0
GOTERM_CC_DIRECT	GO:0005874~microtubule	7	6.306306306306306	0.00924611541710443	RP1, DYNC1LI2, DNAH8, TUBB3, MAP7, NAV1, DNAH9	106	311	18224	3.869683916762725	0.7695409106445152	1.0	1.0
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	12	10.81081081081081	0.01249234785466835	DYNC1LI2, ABCC2, DNAH8, SLFN14, NLRC5, TRANK1, DDX10, WRNIP1, NAV1, DNAH9, CHST5, RAD54B	108	879	18559	2.3459739603084313	0.9696435795728146	1.0	1.0
INTERPRO	IPR003604:Zinc finger, U1-type	3	2.7027027027027026	0.012894589570534394	ZFHX3, ZFHX2, WBP4	108	30	18559	17.18425925925926	0.9728942151164761	1.0	1.0
UP_KEYWORDS	Dynein	3	2.7027027027027026	0.01341661708373409	DYNC1LI2, DNAH8, DNAH9	111	33	20581	16.855855855855857	0.9231893740168952	0.5098314491818954	0.5071481257651486
