Annotation Cluster 1	Enrichment Score: 1.859757331008745
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Microtubule	7	8.333333333333332	9.443102922825807E-4	RP1, DYNC1LI2, DNAH8, TUBB3, MAP7, NAV1, DNAH9	84	280	20581	6.125297619047618	0.15078498087519943	0.16336568056488646	0.16336568056488646
GOTERM_CC_DIRECT	GO:0005874~microtubule	7	8.333333333333332	0.0021586552951358834	RP1, DYNC1LI2, DNAH8, TUBB3, MAP7, NAV1, DNAH9	79	311	18224	5.192234116162644	0.26265500234794403	0.30437039661415954	0.30437039661415954
UP_KEYWORDS	Dynein	3	3.571428571428571	0.00782341618408497	DYNC1LI2, DNAH8, DNAH9	84	33	20581	22.273809523809522	0.7430241278431557	0.4511503332822332	0.4511503332822332
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	10	11.904761904761903	0.013182327981965022	DYNC1LI2, ABCC2, DNAH8, SLFN14, TRANK1, DDX10, NAV1, DNAH9, CHST5, RAD54B	81	879	18559	2.6066377336760347	0.9527402736712457	1.0	1.0
UP_KEYWORDS	Cytoskeleton	11	13.095238095238097	0.01600582204372606	SDCBP, RP1, DYNC1LI2, DNAH8, TUBB3, ZW10, ARMC4, MAP7, NAV1, DNAH9, TACC2	84	1138	20581	2.3683048790693784	0.9386651245971137	0.5538014427129218	0.5538014427129218
INTERPRO	IPR003593:AAA+ ATPase domain	4	4.761904761904762	0.02099236648521225	ABCC2, DNAH8, NAV1, DNAH9	81	136	18559	6.738925199709513	0.9924002735192492	1.0	1.0
SMART	SM00382:AAA	4	4.761904761904762	0.033041533550678695	ABCC2, DNAH8, NAV1, DNAH9	53	136	10057	5.581021087680355	0.8911280148645637	1.0	1.0
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	3	3.571428571428571	0.043532005622441576	DYNC1LI2, DNAH8, DNAH9	71	80	16881	8.916021126760564	0.9995265042956231	1.0	1.0
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	3.571428571428571	0.048456969508327376	DYNC1LI2, DNAH8, DNAH9	74	81	16792	8.404404404404405	0.9999999998918726	1.0	1.0
UP_KEYWORDS	Cilium	4	4.761904761904762	0.051306881208021654	RP1, DNAH8, ARMC4, DNAH9	84	207	20581	4.734529560616517	0.999889654446742	1.0	1.0

